OBJECTID,LWC_MGMT,ECRMP_Description,SHAPE_Length,SHAPE_Area
1,LWCM,War Dance Mine,6430.2632759649,1858483.23482306
2,LWCM,N of Steel Bridge,6988.36411888853,2172117.02820136
4,LWCP,Crown Point,4067.24133575969,654330.417170573
5,LWCM,Copper Gulch,7954.43563478028,2692470.40873751
6,LWCM,Dead Mule,18701.4628842057,-7369650.11212739
7,LWCP,East Pierce Gulch,7965.75278788062,3117731.89851346
8,LWCM,Horseshoe Mountain,3876.9307322224,606311.124449888
9,LWCM,NW corner of Beaver Creek WSA ,3039.57864656717,240629.73656542
10,LWCP,Pierce Gulch,5365.13881451679,976949.543252736
12,LWCM,North Hondo,9725.58622529018,2093464.73850281
20,LWCM,Echo Canyon AltD_LWCM_20180514,123479.488755748,-119706913.406401
22,LWCM,Bear Mountain,53816.0592636708,-33176435.928582
23,LWCM,North Badger Creek,76848.536512592,-43157914.7316956
26,LWCP,Sheep Basin,5731.35336241041,522821.187977474
27,LWCP,Turkey Creek,21815.0276052527,-9318749.57048784
28,LWCM,Texas Creek Gulch,14993.1677924332,8627199.82697694
29,LWCM,"East McCoy Gulch, Race Path",36041.9778560895,26504062.0054377
30,LWCM,Suzie's Ridge,20023.8205900132,-11265345.5352637
31,LWCM,Railroad Gulch,16489.2334916543,-7643175.28469222
34,LWCM,Eightmile Mountain,64867.6114822115,-49586016.809624
37,LWCM,Cooper Mountain,36134.1530265437,33944056.6974723
41,LWCM,N Coaldale/ Cotopaxi,89402.2396596914,-69125108.0819757
42,LWCM,Badger Creek South,36622.5181472534,29300992.5595512
