objectid,coundist,counname,counadd,counloc,counyrelected,counterm,counparty,counphoneno,counfax,counemail,commentsvalue,counweb,shapearea,shapelen
1,1.0,TAMMY HAWKINS,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1101,,tammy.hawkins@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-1,414899914.612513,131358.183366462
2,2.0,BARBARA SHANKLIN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1102,,barbara.shanklin@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-2,234207454.721223,92924.4875420553
3,3.0,KUMAR RASHAD,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2023,4,D,502-574-1103,,kumar.rashad@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-3,196534401.011038,94013.1690786463
4,4.0,JECOREY ARTHUR,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1104,,jecorey.arthur@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-4,242396106.626503,99586.9781930827
5,5.0,DONNA PURVIS,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1105,,donna.purvis@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-5,253647976.449338,71838.4159785312
6,6.0,PHILLIP BAKER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1106,,phillip.baker@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-6,126467342.890891,72882.7598208967
7,7.0,PAULA MCCRANEY,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1107,,paula.mccraney@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-7,281624330.476539,113809.855948397
8,8.0,BEN RENO-WEBER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2023,4,D,502-574-1108,,ben.reno-weber@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-8,223082815.57099,78321.4006242745
9,9.0,ANDREW OWEN,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1109,,andrew.owen@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-9,218812724.493387,109295.467379833
10,10.0,PAT MULVIHILL,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1110,,pat.mulvihill@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-10,278507148.040574,117151.730714538
