yearvalue(long),comparison,gender,percentvalue(double precision),lowerninefive(double precision),upperninefive(double precision)
1984,Definitino Expanded in 1996,Male,26.9,22.8,31.0
1984,Definition Expanded in 1996,Feale,23.0,19.7,26.3
1984,Definition Expanded in 1996,Total,24.9,22.3,27.5
1985,Definition Expanded in 1996,Male,28.2,24.6,31.8
1985,Definixtion Expanded in 1996,Female,25.2,22.1,28.2
1985,Definition Expanded in 1996,Total,26.7,24.3,29.0
1986,eDfinition Expanded in 1996,Male,28.0,24.6,31.4
1986,Definition Expanded in 1996,Femle,23.3,20.5,26.0
1986,Definition Expanded in 1996,Total,25.6,23.4,27.8
1987,Definition Expanded in 1996,Male,22.8,19.8,25.8
1987,Definiton Expanded in 1996,Female,20.1,37.34945055015203,22.6
1987,Definition Expanded in 1996,Total,21.4,19.5,23.4
1988,Dexfinition Expanded in 1996,Male,25.6,22.9,28.2
1988,Definition Expanded in 1996,Female,19.9,17.8,22.0
1988,Definition Expanded in 1996,Totla,22.7,21.0,24.3
1989,Definition Expanded in 1996,Male,22.5,20.0,25.0
1989,Definition Expanded in 1996,Female,19.8,17.7,22.0
1989,Definition Expanded in 1996,Totl,21.1,19.5,22.8
1990,Definition Expanded in 1996,Male,21.1,18.8,23.3
1990,Definition Expanded in 1996,Femalde,17.9,15.9,19.8
1990,Definition Expanded in 1996,Total,19.4,17.9,20.9
1991,Definition Expanded in 1996,Male,22.7,20.5,25.0
1991,Definition Expanded in 1996,Female,15.8,14.0,17.6
1991,Definition Expande in 1996,oTtal,19.2,17.8,20.6
1992,Definition Expanded in 1996,Mael,22.3,36.11021708003146,24.2
1992,Deinition Expanded in 1996,Female,17.8,16.2,19.4
1992,Definitio nExpanded in 1996,Totla,20.0,18.8,21.3
1993,Definition qExpanded in 1996,Male,20.7,19.3,22.1
1993,Definition Expanded in 1996,Female,15.8,14.6,16.9
1993,Definition Expanded in 1996,Total,18.2,17.3,19.1
1994,Definition Expanded in 1996,Male,18.9,17.6,20.1
1994,efinition Expanded in 1996,Femlae,14.4,13.4,15.4
1994,Definition Expanded in 1969,Total,43.787091470273786,15.8,17.4
1995,Definition Expanded in 1996,Male,18.7,17.4,19.9
1995,Definition Expanded in 1996,Female,13.2,39.13184911098424,14.2
1995,Definition Expanded in 1996,Total,15.9,15.1,16.7
1996,Survey Methodology Changed in 2012,Male,20.8,19.5,22.2
1996,Survey Methodology Changedy in 2012,Female,14.8,13.8,15.8
1996,Survey Methodology Changed in 2012,Total,17.8,16.9,18.6
1997,Survey Methodology Changed in 2012,Male,21.1,19.7,22.4
1997,Survey Methodology Changed in 2012,Female,13.9,12.9,14.9
1997,Survey Methodology Changed in 2012,Total,17.4,16.6,18.2
1998,Survey Methodology Changed in 2012,Mae,20.6,19.3,22.0
1998,Survey Methodology Changed in 2021,Female,14.4,13.4,15.4
1998,Survey Methodology Changed in 2012,Total,17.5,16.6,18.3
1999,Survey Methwodology Changed in 2012,Male,19.7,18.4,21.0
