rx_device,file_id,tx_device,start_time,endtime,value
40,29651,40,276185412443679,276185412443679,1
40,29869,40,278168331832089,278168331832089,1
40,29930,40,278773495525459,278773495525459,1
42,30558,42,276718580235564,276718580235564,1
42,30622,42,277710157491883,277710157491883,1
60,37641,60,277246194316373,277246195916366,1
60,37641,60,277246196016374,277246196616367,3
60,37641,60,277246196716435,277246198816361,1
60,37641,60,277246198916416,277246199521259,3
60,37641,60,277246199616358,277246202717329,1
60,37641,60,277246202817329,277246203317333,3
60,37641,60,277246203417326,277246206817314,1
60,37641,60,277246206917320,277246207517312,3
60,37641,60,277246207617317,277246213817282,1
60,37641,60,277246213917286,277246214517288,3
60,37641,60,277246214617280,277246215917277,1
60,37641,60,277246216017279,277246216617278,3
60,37641,60,277246216717276,277246218117275,1
60,37641,60,277246218217321,277246218817278,3
60,37641,60,277246218917273,277246220417259,1
60,37641,60,277246220517256,277246221017253,3
60,37641,60,277246221117255,277246222317257,1
60,37641,60,277246222417251,277246223017250,3
60,37641,60,277246223117241,277246225617258,1
60,37641,60,277246225717244,277246226217243,3
60,37641,60,277246226317246,277246227417239,1
60,37641,60,277246227517231,277246228117229,3
60,37641,60,277246228217238,277246230117230,1
60,37641,60,277246230217284,277246230717290,3
60,37641,60,277246230817292,277246232617286,1
60,37641,60,277246232717278,277246233217285,3
60,37641,60,277246233317228,277246235417268,1
60,37641,60,277246235517278,277246236117278,3
60,37641,60,277246236217276,277246239117213,1
60,37641,60,277246239217259,277246239717261,3
60,37641,60,277246239817204,277246242417262,1
60,37641,60,277246242517249,277246243117191,3
60,37641,60,277246243217259,277246246917239,1
60,37641,60,277246247017248,277246247617254,3
60,37641,60,277246247717184,277246251117226,1
60,37641,60,277246251217223,277246251721177,3
60,37641,60,277246251817270,277246269117179,1
60,37641,60,277246269217191,277246269817198,3
60,37641,60,277246269917178,277246273617116,1
60,37641,60,277246273717169,277246274217167,3
60,37641,60,277246274317122,277246287817144,1
60,37641,60,277246287917132,277246288517129,3
60,37641,60,277246288617141,277246298218057,1
60,37641,60,277246298318052,277246298918061,3
60,37641,60,277246299018057,277246304018032,1
60,37641,60,277246304118037,277246304618031,3
60,37641,60,277246304718047,277246308118023,1
60,37641,60,277246308218039,277246308818028,3
60,37641,60,277246308918022,277246313218024,1
60,37641,60,277246313318014,277246313818015,3
60,37641,60,277246313918008,277246315018011,1
60,37641,60,277246315118010,277246315718009,3
60,37641,60,277246315818011,277246319517992,1
60,37641,60,277246319617994,277246320217990,3
60,37641,60,277246320317988,277246324518043,1
60,37641,60,277246324618030,277246325218026,3
60,37641,60,277246325317977,277246329117964,1
60,37641,60,277246329218033,277246329818018,3
60,37641,60,277246329918029,277246334018094,1
60,37641,60,277246334118105,277246334718091,3
60,37641,60,277246334818103,277246336918029,1
60,37641,60,277246337018092,277246337518023,3
60,37641,60,277246337618091,277246339318022,1
60,37641,60,277246339418092,277246339918025,3
60,37641,60,277246340018027,277246341518086,1
60,37641,60,277246341618071,277246342118073,3
60,37641,60,277246342218082,277246344318020,1
60,37641,60,277246344418086,277246344918074,3
60,37641,60,277246345018028,277246347918017,1
60,37641,60,277246348019022,277246348520852,3
60,37641,60,277246348618025,277246352918071,1
60,37641,60,277246353018015,277246353618068,3
60,37641,60,277246353718075,277246356918005,1
60,37641,60,277246357018060,277246357618064,3
60,37641,60,277246357718003,277246360018065,1
60,37641,60,277246360118057,277246360518064,3
60,37641,60,277246360618056,277246363221066,1
60,37641,60,277246363317993,277246363818050,3
60,37641,60,277246363918043,277246365817989,1
60,37641,60,277246365918034,277246366518038,3
60,37641,60,277246366618037,277246368418045,1
60,37641,60,277246368518032,277246369118033,3
60,37641,60,277246369218050,277246371218047,1
60,37641,60,277246371318002,277246371917987,3
60,37641,60,277246372018040,277246374618026,1
60,37641,60,277246374718027,277246375317968,3
60,37641,60,277246375418027,277246377118020,1
