168.shape_area,731936.73828125,692286.4296875
297.namelsad,Census Tract 5311.02,Census Tract 84.04
618.tractce,143200.0,805
237.objectid,11.0,237
4408.namevalue,246.01,178.01
399.shape_length,4882.74807317722,3230.52555543476
625.geoid,6.0371392E9,6073003303
245.shape_area,2290793.09765625,5.27410728949219E8
427.shape_length,5706.54437597325,4400.33612037876
2896.namevalue,86.0,4.0
354.shape_area,782907.875,1391022.765625
28.objectid,10.0,28
374.shape_area,1266062.875,2.05463683183984E9
168.shape_length,3802.01654083384,3369.11885774476
4189.tractce,503944,503902
2957.namelsad,Census Tract 71,Census Tract 17
322.aland,3.4354206E8,1436815
2142.tractce,10730,10700
389.namevalue,1432.0,404.0
2421.namelsad,Census Trac t34,Census Tract 34
2470.namelsad,Census Trac t1.02,Census Tract 1.02
525.shape_length,4323.69951326916,7020.61032529133
449.geoid,6.03718382E9,6065042007
2456.namevalue,109.02,29.02
236.tractce,530801.0,12700
325.aland,4365064.0,1052159
545.objectid,4.0,545
453.objectid,41.0,453
159.tractce,143200.0,15601
4712.namelsad,Cesus Tract 5.02,Census Tract 5.02
3526.namelsad,Cenlsus Tract 53,Census Tract 53
540.shape_length,7877.4605034406,4894.70217129927
134.namevalue,1836.1,7002.0
355.tractce,181600.0,900
2940.namelsad,eCnsus Tract 104,Census Tract 104
161.aland,3960101.0,4973504
4512.tractce,5130,5100
394.objectid,16.0,394
369.aland,1250035.0,212012755
2944.namelsad,eCnsus Tract 14,Census Tract 14
742.namelsad,Census Turact 102,Census Tract 102
571.objectid,4.0,571
4312.tractce,31483,31402
456.aland,1941232.0,2990531
557.objectid,27.0,557
221.aland,948156.0,8842817
250.tractce,201301.0,200
4421.tractce,2724,2707
209.geoid,6.0371432E9,6071001501
2291.namelsad,Census Tarct 23.01,Census Tract 23.01
457.aland,4365064.0,2222668
340.namelsad,Census Tracty 1,Census Tract 1
411.objectid,24.0,411
40.objectid,9.0,40
352.tractce,139302.0,800
538.objectid,3.0,538
289.tractce,201402.0,4800
131.geoid,6.03718322E9,6107002904
544.geoid,6.03718382E9,6077003403
4733.tractce,1384,1303
178.tractce,602002.0,25100
522.shape_area,1687319.19140625,3461334.00390625
