Cited Patent,Filing date,Publication date,Applicant,Title
US5742763,29 Dec 1995,21 Apr 1998,At&T Corp.,Universal message delivery system for handles identifying network presences
US5870559,11 Apr 1997,9 Feb 1999,Mercury Interactive,Software system and associated methods for facilitating the analysis and management of web sites
US5892904,6 Dec 1996,6 Apr 1999,Microsoft Corporation,Code certification for network transmission
US6018724,30 Jun 1997,25 Jan 2000,"Sun Micorsystems, Inc.",Method and apparatus for authenticating on-line transaction data
US6065055,20 Apr 1998,16 May 2000,Hughes; Patrick Alan,Inappropriate site management software
US6219786,9 Sep 1998,17 Apr 2001,"Surfcontrol, Inc.",Method and system for monitoring and controlling network access
US6285999,9 Jan 1998,4 Sep 2001,The Board Of Trustees Of The Leland Stanford Junior University,Method for node ranking in a linked database
US6356937,6 Jul 1999,12 Mar 2002,David Montville,Interoperable full-featured web-based and client-side e-mail system
US6366912,6 Apr 1998,2 Apr 2002,Microsoft Corporation,Network security zones
US6539430,30 Nov 1999,25 Mar 2003,Symantec Corporation,System and method for filtering data received by a computer system
US6606659,28 Jan 2000,12 Aug 2003,"Websense, Inc.",System and method for controlling access to internet sites
US6647400,30 Aug 2000,11 Nov 2003,Symantec Corporation,System and method for analyzing filesystems to detect intrusions
US6658394,8 Aug 2000,2 Dec 2003,"Squaretrade, Inc.",Electronic seals
US6742128,28 Aug 2002,25 May 2004,Networks Associates Technology,Threat assessment orchestrator system and method
US6826697,30 Aug 2000,30 Nov 2004,Symantec Corporation,System and method for detecting buffer overflow attacks
US6856963 *,11 Jan 2000,15 Feb 2005,Intel Corporation,Facilitating electronic commerce through automated data-based reputation characterization
US6886102,14 Jul 2000,26 Apr 2005,Symantec Corporation,System and method for protecting a computer network against denial of service attacks
US6907533,23 Apr 2001,14 Jun 2005,Symantec Corporation,System and method for computer security using multiple cages
US6938003,30 Jun 2001,30 Aug 2005,Mahesh Harpale,Method and apparatus for a credibility reporting system to augment an online exchange
US7024630,16 Jan 2002,4 Apr 2006,International Business Machines Corporation,Method for managing browser display
US7084760,4 May 2004,1 Aug 2006,International Business Machines Corporation,"System, method, and program product for managing an intrusion detection system"
US7114177,4 Jan 2002,26 Sep 2006,"Geotrust, Inc.",Web site identity assurance
US7207480,2 Sep 2004,24 Apr 2007,Sprint Spectrum L.P.,Certified digital photo authentication system
US7231395,24 May 2002,12 Jun 2007,"Overture Services, Inc.",Method and apparatus for categorizing and presenting documents of a distributed database
US7257549 *,26 Sep 2003,14 Aug 2007,Broadcom Corporation,Systems and circuits for providing support for user transactions on a media exchange network
US7313691,18 Nov 2003,25 Dec 2007,International Business Machines Corporation,Internet site authentication service
US20010007098,6 Feb 2001,5 Jul 2001,Hinrichs Susan E.,Gift certificate award and exchange program and method
US20010011284,24 Jun 1998,2 Aug 2001,Richard James Humpleman,Method and apparatus for a home network auto-tree builder
US20010014164,12 Nov 1997,16 Aug 2001,Edward P. Daniels,System and method for electronic and physical mass mailing
US20010027450,19 Mar 2001,4 Oct 2001,Takashi Shinoda,Method of detecting changed contents
US20010029532,28 Mar 2001,11 Oct 2001,Naonori Kato,Gateway apparatus
US20010044744,12 Mar 2001,22 Nov 2001,Rhoads Geoffrey B.,Internet media commerce system
US20010044809,21 Dec 2000,22 Nov 2001,Parasnis Shashank Mohan,Process of localizing objects in markup language documents
US20010044901,24 Mar 1998,22 Nov 2001,Symantec Corporation,Bubble-protected system for automatic decryption of file data on a per-use basis and automatic re-encryption
US20020012443,8 Dec 2000,31 Jan 2002,Rhoads Geoffrey B.,Controlling operation of a device using a re-configurable watermark detector
