Period,Abstracts,Downloads,Unnamed: 3
2015 Jul,2,2,
2015 Jun,1,2,
2015 May,1,0,
2015 Apr,1,2,
2015 Mar,0,4,
2015 Feb,0,2,
2015 Jan,0,0,
2014 Dec,2,1,
2014 Nov,0,1,
2014 Oct,0,0,
2014 Sep,1,1,
2014 Aug,0,1,
2014 Jul,0,2,
2014 Jun,0,2,
2014 May,1,5,
2014 Apr,1,3,
2014 Mar,0,1,
2014 Feb,0,1,
2014 Jan,2,4,
2013 Dec,0,1,
2013 Nov,1,1,
2013 Oct,1,0,
2013 Sep,0,1,
2013 Aug,1,0,
2013 Jul,0,0,
2013 Jun,1,1,
2013 May,1,1,
2013 Apr,0,0,
2013 Mar,0,0,
2013 Feb,0,5,
2013 Jan,0,1,
2012 Dec,0,0,
2012 Nov,0,1,
2012 Oct,0,4,
2012 Sep,1,2,
2012 Aug,3,2,
2012 Jul,1,3,
2012 Jun,3,3,
2012 May,1,3,
2012 Apr,0,1,
2012 Mar,0,0,
2012 Feb,0,0,
2012 Jan,0,0,
2011 Dec,0,1,
2011 Nov,1,1,
2011 Oct,0,1,
2011 Sep,0,3,
2011 Aug,1,1,
2011 Jul,1,4,
2011 Jun,0,1,
2011 May,0,0,
2011 Apr,0,3,
2011 Mar,0,2,
2011 Feb,1,2,
2011 Jan,0,0,
2010 Dec,0,0,
2010 Nov,0,3,
2010 Oct,0,0,
2010 Sep,3,6,
2010 Aug,0,0,
2010 Jul,1,1,
2010 Jun,1,2,
2010 May,2,2,
2010 Apr,1,1,
2010 Mar,2,2,
2010 Feb,2,4,
2010 Jan,0,2,
2009 Dec,0,1,
2009 Nov,0,0,
2009 Oct,0,0,
2009 Sep,0,1,
2009 Aug,1,0,
2009 Jul,1,0,
2009 Jun,3,1,
2009 May,1,1,
2009 Apr,0,3,
2009 Mar,0,1,
2009 Feb,2,0,
2009 Jan,1,0,
2008 Dec,1,0,
2008 Nov,4,2,
2008 Oct,2,0,
2008 Sep,4,6,
2008 Aug,3,1,
2008 Jul,3,3,
2008 Jun,2,0,
2008 May,2,0,
2008 Apr,3,2,
2008 Mar,3,2,
2008 Feb,2,1,
2008 Jan,2,4,
2007 Dec,3,3,
2007 Nov,3,2,
2007 Oct,4,0,
2007 Sep,0,0,
2007 Aug,3,1,
2007 Jul,0,1,
2007 Jun,5,1,
2007 May,2,1,
2007 Apr,2,2,
2007 Mar,1,1,
2007 Feb,3,2,
2007 Jan,4,5,
2006 Dec,2,2,
2006 Nov,1,4,
2006 Oct,6,3,
