characteristic,sex,raceethnicity,yearvalue,rateperonezerozerozerozerozero,countvalue
Total,Female,"Black, non-Hispanic",2000,791,218896.0
Total,Female,"Black, non-Hispanic",2001,777,219439.0
Total,Female,"Black, non-Hispanic",2002,766,220072.0
Total,Female,"Black, non-Hispanic",2003,750,218436.0
Total,Female,"Black, non-Hispanic",2004,707,207416.0
Total,Female,"Black, non-Hispanic",2005,680,200050.0
Total,Female,"Black, non-Hispanic",2006,663,196234.0
Total,Female,"Black, non-Hispanic",2007,662,197731.0
Total,Female,"Black, non-Hispanic",2008,658,199105.0
Total,Female,"Black, non-Hispanic",2009,660,201325.0
Total,Female,"Black, non-Hispanic",2010,644,198997.0
Total,Female,"Black, non-Hispanic",2011,616,192248.0
Total,Female,"Black, non-Hispanic",2012,575,180734.0
Total - Male,Male,"Black, non-Hispanic",2000,1478,209543.0
Total - Male,Male,"Black, non-Hispanic",2001,1447,209658.0
Total - Male,Male,"Black, non-Hispanic",2002,1422,209710.0
Total - Male,Male,"Black, non-Hispanic",2003,1388,207921.0
Total - Male,Male,"Black, non-Hispanic",2004,1305,196906.0
Total - Male,Male,"Black, non-Hispanic",2005,1249,189298.0
Total - Male,Male,"Black, non-Hispanic",2006,1215,185418.0
Total - Male,Male,"Black, non-Hispanic",2007,1213,186631.0
Total - Male,Male,"Black, non-Hispanic",2008,1207,188035.0
Total - Male,Male,"Black, non-Hispanic",2009,1212,190118.0
Total - Male,Male,"Black, non-Hispanic",2010,1187,187699.0
Total - Male,Male,"Black, non-Hispanic",2011,1136,181510.0
Total - Male,Male,"Black, non-Hispanic",2012,1060,170734.0
Total - Female,Female,"Black, non-Hispanic",2000,67,9089.0
Total - Female,Female,"Black, non-Hispanic",2001,71,9724.0
Total - Female,Female,"Black, non-Hispanic",2002,74,10336.0
Total - Female,Female,"Black, non-Hispanic",2003,73,10396.0
Total - Female,Female,"Black, non-Hispanic",2004,73,10464.0
Total - Female,Female,"Black, non-Hispanic",2005,75,10713.0
Total - Female,Female,"Black, non-Hispanic",2006,75,10768.0
Total - Female,Female,"Black, non-Hispanic",2007,76,11044.0
Total - Female,Female,"Black, non-Hispanic",2008,75,11036.0
Total - Female,Female,"Black, non-Hispanic",2009,76,11186.0
Total - Female,Female,"Black, non-Hispanic",2010,75,11277.0
Total - Female,Female,"Black, non-Hispanic",2011,70,10696.0
Total - Female,Female,"Black, non-Hispanic",2012,65,9942.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2000,345,59129.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,349,60836.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,353,62498.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,340,61052.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,331,59749.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,316,57006.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,301,54466.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,289,52669.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,284,52055.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,281,51343.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,284,49975.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,274,48219.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,252,44309.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,2732,104880.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,2577,101386.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,2461,98762.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,2241,91538.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,2134,88053.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,1918,79797.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,1865,78688.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,1837,79176.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,1862,82178.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,1875,84161.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,1865,83931.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,1775,81714.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,1623,75921.0
Total - Hispanic,Female,Hispanic,2000,1004,48696.0
Total - Hispanic,Female,Hispanic,2001,1012,50167.0
Total - Hispanic,Female,Hispanic,2002,1017,51153.0
Total - Hispanic,Female,Hispanic,2003,1007,51263.0
Total - Hispanic,Female,Hispanic,2004,974,49987.0
Total - Hispanic,Female,Hispanic,2005,941,48588.0
Total - Hispanic,Female,Hispanic,2006,926,48308.0
Total - Hispanic,Female,Hispanic,2007,932,49336.0
Total - Hispanic,Female,Hispanic,2008,892,48479.0
Total - Hispanic,Female,Hispanic,2009,888,49510.0
Total - Hispanic,Female,Hispanic,2010,780,48889.0
Total - Hispanic,Female,Hispanic,2011,724,46482.0
Total - Hispanic,Female,Hispanic,2012,640,41523.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2000,826,15350.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2001,831,15868.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2002,805,15739.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2003,800,15920.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2004,792,15903.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2005,784,15848.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2006,777,15873.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2007,731,15110.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2008,689,14484.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2009,626,13340.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2010,504,12802.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2011,452,11648.0
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2012,613,16478.0
"White, non-Hispanic",Male,"White, non-Hispanic",2000,639,55602.0
"White, non-Hispanic",Male,"White, non-Hispanic",2001,644,57102.0
"White, non-Hispanic",Male,"White, non-Hispanic",2002,647,58313.0
"White, non-Hispanic",Male,"White, non-Hispanic",2003,620,56733.0
"White, non-Hispanic",Male,"White, non-Hispanic",2004,598,55179.0
"White, non-Hispanic",Male,"White, non-Hispanic",2005,566,52373.0
"White, non-Hispanic",Male,"White, non-Hispanic",2006,535,49788.0
"White, non-Hispanic",Male,"White, non-Hispanic",2007,514,47974.0
"White, non-Hispanic",Male,"White, non-Hispanic",2008,504,47410.0
"White, non-Hispanic",Male,"White, non-Hispanic",2009,496,46577.0
"White, non-Hispanic",Male,"White, non-Hispanic",2010,504,45219.0
