characteristic,sex,raceethnicity,year,score,standard_error,note
Total,,,2002,285.0,0.7,
Total,,,2003,,,
Total,,,2004,,,
Total,,,2005,285.0,0.7,
Total,,,2006,,,
Total,,,2007,,,
Total,,,2008,,,
Total,,,2009,287.0,0.8,
Total,,,2010,,,
Total,,,2011,,,
Total,,,2012,,,
Total,,,2013,287.0,0.6,
Total - Male,Male,,2002,277.0,0.9,
Total - Male,Male,,2003,,,
Total - Male,Male,,2004,,,
Total - Male,Male,,2005,278.0,0.9,
Total - Male,Male,,2006,,,
Total - Male,Male,,2007,,,
Total - Male,Male,,2008,,,
Total - Male,Male,,2009,281.0,0.8,
Total - Male,Male,,2010,,,
Total - Male,Male,,2011,,,
Total - Male,Male,,2012,,,
Total - Male,Male,,2013,282.0,0.6,
Total - Female,Female,,2002,293.0,0.8,
Total - Female,Female,,2003,,,
Total - Female,Female,,2004,,,
Total - Female,Female,,2005,291.0,0.8,
Total - Female,Female,,2006,,,
Total - Female,Female,,2007,,,
Total - Female,Female,,2008,,,
Total - Female,Female,,2009,293.0,0.9,
Total - Female,Female,,2010,,,
Total - Female,Female,,2011,,,
Total - Female,Female,,2012,,,
Total - Female,Female,,2013,292.0,0.7,
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,291.0,0.8,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,291.0,0.8,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,295.0,0.7,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2013,296.0,0.6,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2002,266.0,1.4,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2003,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2004,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2005,266.0,1.2,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2006,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2007,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2008,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2009,268.0,1.2,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2010,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2011,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2012,,,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2013,267.0,0.8,
Total - Hispanic,,Hispanic,2002,271.0,1.6,
Total - Hispanic,,Hispanic,2003,,,
Total - Hispanic,,Hispanic,2004,,,
Total - Hispanic,,Hispanic,2005,271.0,1.3,
Total - Hispanic,,Hispanic,2006,,,
Total - Hispanic,,Hispanic,2007,,,
Total - Hispanic,,Hispanic,2008,,,
Total - Hispanic,,Hispanic,2009,273.0,0.9,
Total - Hispanic,,Hispanic,2010,,,
Total - Hispanic,,Hispanic,2011,,,
Total - Hispanic,,Hispanic,2012,,,
Total - Hispanic,,Hispanic,2013,275.0,0.9,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2002,284.0,2.2,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2003,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2004,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2005,286.0,2.1,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2006,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2007,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2008,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2009,298.0,2.6,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2010,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2011,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2012,,,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2013,296.0,2.1,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2002,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2003,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2004,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2005,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2006,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2007,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2008,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2009,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2010,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2011,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2012,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2013,287.0,5.8,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2003,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2004,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2005,279.0,6.9,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2006,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2007,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2008,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2009,283.0,3.8,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2010,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2011,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2012,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2013,276.0,3.6,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2002,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2003,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2004,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2005,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2006,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2007,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2008,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2009,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2010,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2011,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2012,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2013,291.0,2.6,
"White, non-Hispanic",Male,"White, non-Hispanic",2002,281.0,1.1,
"White, non-Hispanic",Male,"White, non-Hispanic",2003,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2004,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2005,283.0,1.1,
"White, non-Hispanic",Male,"White, non-Hispanic",2006,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2007,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2008,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2009,288.0,0.8,
"White, non-Hispanic",Male,"White, non-Hispanic",2010,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2011,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2012,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2013,290.0,0.8,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,260.0,1.9,
