agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
700,OK. CAPITOL COMPLEX & CENTENNIAL COMM.,230,Ok Cap Complex & Cen Comm Fnd,"TITLE 73, SECTION 98.5",2011,7,$0.00
1000,OKLAHOMA STATE UNIVERSITY,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2011,7,$4271710.59
1000,OKLAHOMA STATE UNIVERSITY,293,Comp Univ Capital Projects Rev,TITLE 62 SECTION 46.1,2011,7,$80768.02
1000,OKLAHOMA STTE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$2073935.97
1000,OKLAHOMA STATE UNIVERSITY,340,Bond Transfer Fund,"TITLE 62, SEC. 7.5",2011,7,0.00
1000,OKLAHOMA STATE UNIVERSITY,430,Agency Relaitonship Fund,"TITLE 62, SEC. 41.8",2011,7,$2933951.39
1000,OKLAHOMA STATE UNIVERSITY,450,Master Lease Purchase Fund,"TITLE 70, SECTION 3206.6",2011,7,$33977.01
1000,OKLAHOMA STATE UNIVERSITY,470,Const. Energy Research Bldg,"TITLE 70, SEC. 3412",2011,7,$194.03
1000,OKLAHOMA STATE UNIVERSITY,479,Capitakl Bond Project,,2011,7,$5042.74
1000,OKLAHOMA STATE UNIVERSITY,485,Rev fBond Funds ''85 Cap Imprvmt,"TITLE 70, SECTION 4006",2011,7,$951.17
1000,OKLAHOMA STATE UNIVERSITY,486,1998 Athletic aFc Reven Bd Fd,"TITLE 70, SEC. 4004",2011,7,$0.00
1000,OKLAHOMA STATE UNIVERSITY,487,1998 ODFA Athletic Fac Pjt Fd,"TITLE 70, SEC. 4004",2011,7,0.09
1000,OKLAHOMA STATE UNIVERSITY,488,1998 Utility Sys Revenue Bd Fd,"TITLE 70, SEC. 4004",2011,7,$0.00
1000,OKLAHOMA STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2011,7,$2350333.49
1000,OKLAHOMA STATE UNIVERSITY,495,Federal Constructio nFund,,2011,7,$90785.88
1000,OKLAHOMA STATE UNIVERSITY,600,Section 13-Const & Purch Bldg,"ITLE 70, SEC. 3904",2011,7,$10106947.07
1000,OKLAHOMvA STATE UNIVERSITY,650,Nw College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$4331083.47
1100,OSU-EXPERIMENT STATION,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2011,7,$7510283.46
1100,OSU-EXPERIMENT STATION,293,Higher Ed Capital Excellence F,,2011,7,$0.00
1100,OSU-EXPERIMENT STATION,295,Ok St Univ Agric Expe Station,"TITLE 70, SEC. 3901",2011,7,379622.86
1100,OSU-EXPERIMENT STATION,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$750157.60
1100,OSU-EXPERIMENT STATION,450,Master Lease Purchase Fund,,2011,7,$0.00
1100,OSU-EXPERIMENT STATION,490,American Recov. & Reinv. Act,,2011,7,$968904.81
1100,OSU-EXPERIMENT STATION,495,Federal Construction Fund,,2011,7,$93.60
1200,OSU-EXTENSION DIVISION,225,OSU Extension Service License,"TITLE 47, CH 74, SEC 1136",2011,7,$7430.00
1200,OSU-EXTENSION DIVISION,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2011,7,$1057687.80
1200,OSU-EXTENSION DIVISION,430,AgencyR elationship Fund,"TITLE 62, SEC. 41.8",2011,7,$174912.13
1200,OSU-EXTENSION DIVISION,490,American Recov. & Reinv. Act,,2011,7,$0.00
1200,OSU-EXTENSION DIVISION,495,Botanical Garden Research Ctr,***,2011,7,$4558.66
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2011,7,$887848.58
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",295,Capitaxl Improvements Rev Fund,"TITLE 70, SEC 3901",2011,7,795950.26
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",430,Agecy Relationship Fund,"TITLE 62, SC. 41.8",2011,7,$150142.40
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",479,Capital Bond dProjects,,2011,7,$0.00
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",487,Student Success Center,TITLE 70 SECTION 4001,2011,7,$0.00
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",490,American Recov. & Reinv. Act,,2011,7,$0.00***
1400,OSU COLLEGE O FVETERINARY MEDICINE,290,Educational & Gen Operations,"TITLE 7,0 SEC. 3901",2011,7,$1097735.12
1400,OSU COLLEGE OF VETERINARY MEDICINE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$000
1400,OSU COLLEGE OF VETERINARY MEDICINE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$2761392.28
1400,OSU COLLEGE OF VETERINARY MEDICINE,450,Master Lease Purchase Fund,,2011,7,$0.00
1400,OSU COLLEGE OF VETERINARY MEDICINE,479,Capital Bond Projects,,2011,7,$0.00
1400,OSU COLLEGE OF VETERINARY MEDICINE,490,American Recov. & Reinv. Act,,2011,7,$500000.00
1400,OSU COLLEGE OF VETERINARY MEDICINE,495,McElroy Hall Antimicrobial Act,,2011,7,$0.00
1500,OSU-OKLAHOMA CITY,290,Educational And Gen Operations,"TITLE 70, SEC. 3901",2011,7,$564170.69
1500,OSU-OKLAHOMA CITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC 3901",2011,7,$2770592.30
1500,OSU-OKLAHOMA CITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$2078587.15
1500,OSU-OKLAHOMA CITY,479,Capital Bond Projects,,2011,7,$0.00***
1500,OSU-OKLAHOMA CITY,485,Revenue Bond Fund,"TITLE 70, SEC. 3412 AND 4006",2011,7,$0.h01
1500,OSU-OKLAHOMA CITY,487,Student Centere Revenue Bonds,"TITLE 70, SECTION 4004",2011,7,$0.00
1500,OSU-OKLAHOMA CITY,490,American Recov. & Reinv. Act,,2011,7,$39500.85
1600,OSU-TULSA,290,Edu & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2011,7,$1290067.86
1600,OSU-TULSA,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$4232671.46
1600,OSU-TULSA,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$108489.58
1600,OSU-TULSA,450,Master Lease Purchase Fund,"TITLE 70,SECTION 326.6",2011,7,$0.00
1600,OSU-TULSA,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$0.00
1600,OSU-TULSA,479,Capital Bond Projects,,2011,7,$0.00
1600,OSU-TULSA,490,American Recov. & Reinv. Act,***,2011,7,$0.0o0
2000,OKLAHOMA ACCOUNTANCY BOARD,200,Accountancy und,"TITLE 59, SEC. 15.7",2011,7,$3101552.06
2200,OKLAHOMA ABSTRACTORS BOARD,200,OK ABS BRD REVOLVING FUND,,2011,7,$48112.38
2500,OKLAHOMA MILITARY DEPARTMENT,200,OK MILITARY DEPT REVOLVING FUN,,2011,7,247.99
2500,OKLAHOMA MILITARY DEPARTMENT,205,45Th Infantry Div. Museum Fd.,"TITLE 44, SEC. 235.1",2011,7,q$10499.06
2500,OKLAHOMA MILITARY DEPARTMENT,210,Oklahoma Military Dept,"TITLE 44, SEC. 233.7",2011,7,$362280.77
2500,OKLAHOMA MILITARY DEoPARTMENT,220,Income Tax Checkoff Revolving,TITLE 68 SEC 2368.14,2011,7,$115061.35
2500,OKLAHOMA MILITARY DEPARTMENT,225,Patriot License Plate Revolvin,TITLE 47 SECTION 1104.11,2011,7,$34058.80
2500,OKLAHOMA MILITARY DEPARTMENT,230,Military Justice Fund,,2011,7,$5000.00
2500,OKLAHOMA MILITARY DEPARTMENT,400,Army Federal Reimbursement,"TITLE 62d, SEC. 41.8",2011,7,$1400857.54
2500,OKLAHOMA MILITARY DEPARTMENT,405,Air Guard Reimbursement Fds,"TITLE 62, SEC. 41.8",2011,7,$648083.94
2500,OKLAHOMA MILITARY DEPARTMENT,410,Army Advance Funds,,2011,7,$0.03
2500,OKLAHOMA MILITARY DEPRTMENT,415,Counter Drug,,2011,7,$35942.95
2500,OKLAHOMA MILITARY DEPARTMENT,424,State Emergency Fund,"TITLE 62, SEC. 139.47",2011,7,$174030.77
2500,OKLAHOMA MILITARY DEPARTMENT,490,American Recov. & Reinv. Act,,2011,7,$91020.50
3000,ALCOHOLIC BEV. LAWS ENFORCE.,200,ABLE Comm. Revolving Fund,,2011,7,$180903.01
3000,ALCOHOLIC BEV. LAWS ENFORCE.,205,Seize And Forfeited Property,"TITLE 37, SEC. 539",2011,7,$35095.96
3000,ALCOHOLIC BEV. LAWS ENFORCE.,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2011,7,$83662.84
3000,ALCOHOLIC BEV. LAWS ENFORCE.,491,Sales Fund - Surpus Property,,2011,7,$1250.00
3000,ALCOOHLIC BEV. LAWS ENFORCE.,494,Sales Fund Surplus,"TITLE 74, SECTION 62.5",2011,7,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,495,Sales Fund-Surplus Property,"TITLE 74, SEC. 62.5 e (LAPSES JUNE 30)",2011,7,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,496,Sales Fund - Surplus Property,"TITLE 74, SEC. 62.5, (LAPSES JUNE 30)",2011,7,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCwE.,497,Sales Fund - Suryplus Property,,2011,7,$0.0
3000,ALCOHOLIC BEV. LAWS ENFORCE.,498,Sales Fund - Surplus Property,u,2011,7,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,499,Sales Fund - Surplus Property,,2011,7,$0.00
3900,BOLL WEEVIL ERADICATION ORG.,200,Boll Weevil Eradication Rev Fd,"TITLE 2, SEC.3-50.10",2011,7,$204164142
4000,DEPARTMENT OF AGRICULTURE,200,OK County Fair Enhancement Fnd,"ITLE 2, SEC 15-60.3",2011,7,$2986.00
4000,DEPARTMENT OF AGRICULTURE,205,Rural Fire Defense Eqp Rev Fd,"TITLE 19, SCTION 901.58",2011,7,$291315.56
4000,DEPARTMENT OF AGRICULTURE,210,Agriculture Revolving Fund,"TITLE 2, SEC. 2-10",2011,7,$2903471.94
4000,DEPARTMENT OF AGRICULTURE,212,Urban Forestry & Beaut Rev Fd,"TITLE 47, SEC 1104.5",2011,7,$13300.00
4000,DEPARTMENT OF AGRICULTURE,215,Vol Firefighter Employer Contr,"TITLE 2, SECTION 16-81",2011,7,$0.00
4000,DEPARTMENT OF AGRICULTURE,220,Gifts And Donations Fund,"TITLE 60, SEC.384",2011,7,$17581.01
4000,DEPARTMENT OF AGRICULTURE,225,Enhancemnt & Diversificatn Fnd,"TITLE 2, SECTION 5-3.3",2011,7,$1166231.52
4000,DEPARTMENT OF AGRICULTRE,230,Okla Pet Overpopulation Fund,"TITLE 68, SECTION 2368.13.C",2011,7,$7538.00
4000,DEPARTMENT OF AGRICULTURE,235,Animal Friendly Revolving Fund,"TITLE 47, SECTION 1104.10",2011,7,$6220.00
4000,DEPARTMENT OF AGRICULTURE,240,Unwanted Pesticide Disp Fund,TITLE 2 SECTION 3-82.1,2011,7,$48948.66
4000,DEPARTMENT OF AGRICULTURE,245,Rural Fire Revolving Fund,"TITLE 2, SECTION 16-83",2011,7,$3592173.89
4000,DEPARTMENT OF AGRICULTURE,250,Rural Fire Equipment Grant Rev,"TITLE 2, SEC 16-83",2011,7,$111743.60
4000,DEPARTMENT OF AGRICULTURE,285,Milk & Milk Prod Inspec Rev Fd,"TITLE 2, SEC 7-416",2011,7,$19848.48
4000,DEPARTMENT OF AGRICULTURE,286,Ag In The Classrm Educ Rvlv Fd,"TITE 47, SECTION 1104.3",2011,7,$27613.19
4000,DEPARTMENT OF AGRICULTURE,290,Jr Livestock Auction Revolv Fn,"TITLE 68, SEC 2368.9",2011,7,$43.00
4000,DEPARTMENT OF AGRICULTURE,415,OAMP - Ag Mediation Fund,,2011,7,$0.00
4000,DEPARTMENT OF AGRICULTURE,490,American Recov. & Reinv. Act,,2011,7,$67013.68
4100,WESTERN OKLA. STATE COLLEGE,290,Educational & Gen Op Rev Fund,"TITLE 70, SEC. 3901",2011,7,$3807314.59
4100,WESTERN OKLA. STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC 3901",2011,7,$443169.49
4100,WESTERN OKLA. STATE COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$411465.92
4100,WESTERN OKLA. STATE COLLEGE,479,Capital Bond Projects,***,2011,7,$0.00
4100,WESTERN OKLA. STATE COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
4400,STATE ANATOMICAL BOARD,200,Anatomicalp Board Fund,"TITLE 63, SEC. 98.1",2011,7,$167.18
4500,OKLA. BD. OF ARCHITECTS,200,Revolving Fund,"TITLE 9, SEC. 46.19",2011,7,$1717091.91
4700,INDIGENT DEFENSE SYSTfEM,200,Indigent Defense System Rev.Fd,"TITLE 22, SEC. 1368",2011,7,$1077436.97
4700,INDIGENT DEFENSE SYSTEM,230,ontract Retention Rev Fund,"TITLE 22, SECTION 1369",2011,7,$870104.00
4700,INDIGENT DEFENSE SYSTEM,240,Forensic Testing Revolv Fund,"TITLE 22, SECTION 1370.1",2011,7,$59008.28
4700,INDIGENT DEFENSE SYSTEM,410,"DOJ, Non-ARRA Grants",,2011,7,$00.0
4700,INDIGENT DEFENSE SYSTEM,490,American Recov. & Reinv. Act,,2011,7,$0.00
4900,ATTORNEY GENERAL,200,Atty Gen Rev. Fund,"TITLE 74, SEC. 20",2011,7,$127864.53
4900,ATTORNEY GENERAL,205,Telemarketer Revolving Fund,,2011,7,$152581.32
4900,ATTORNEY GENERAL,220,Workers' Comp Fraud Fund,"TITLE l74, SEC 19.2, OSL 1992",2011,7,$144600.99
4900,ATTORNEY GENERAL,225,Insurance Fraud Unit Rev Fnd,"TITLE 74, SECTION 18N-1",2011,7,$655641.47
4900,ATTORNEY GENERAL,230,C.I.T.F. State Matching Fund,"TITLE 74, SECuTION 19.1",2011,7,$0.00
4900,ATTORNEY GENERAL,240,Court Appointed Special Advoca,"TITLE 68, SECTION 268.12",2011,7,$337086.00
4900,ATTORNEY GENERAL,250,Legal Services Revolving Fund,,2011,7,$75394.00
4900,ATTORNEY GENERL,260,Victim Services Unit Fund,k,2011,7,$4348268.1
4900,ATTRNEY GENERAL,400,Federal Funds (DAC),"TITLE 62, SEC. 34.48 & 349.",2011,7,$27193.39
4900,ATTORNEY GENERAL,405,Medicaid Fraud Settlement Fund,"TITLE w62, SECTION 34.9",2011,7,$4360985.87
4900,ATTORNEY GENERAL,410,Medicaid Fraud Unit Fund,"TITLE 62, SECTION 34.48 & 34.9",2011,7,$43739.78
4900,ATTORNEY GENERAL,425,VINES Grant,TITLE 62 SETCION 34.48 & 34.9,2011,7,$25068.65
4900,ATTORNEY GENERAL,440,VPO Grant,TITLE 62 SECTION 34.48 & 34.9,2011,7,$74077.43
5500,STATE ARTS COUNCIL,200,OK Arts Council Ars Ed Rev Fu,"TITLE 53, SEC. 175",2011,7,$273331.50
5500,STATE ARTS COUNCIL,440,Natl Endow For Arts ederal,"TITLE 62 SEC 34.48, 34.9",2011,7,$0.11
5500,STATE ARTS COUNCIL,443,Interagency Reimbursement jFund,"TITLE 74, SE. 581",2011,7,$2715.51
5500,STATE ARTS COUNCIL,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.48,349",2011,7,$0.00
6000,OKLAHOMA AERONAUTICS COMMISSION,200,Revolving Fund,"TITLE 3, SECTION 91",2011,7,$9169901.32
6000,OKLAHOMA AERONAUTICS COMMISSION,205,Desig. Aeronautics Excise Tax,"TITLE 62, SECTION 34.9",2011,7,$1385937.64
6000,OKLAHOMA AERONAUTICS COMMISSION,400,Federal Fund,"TITLE 62, SEC 34.48, 34.9",2011,7,$493542.59
6500,STATE BANKINGq DEPARTMENT,200,Revolving Fund,"TITLE 6, SEC. 211.1",2011,7,$9187513.69
6500,STATE BANKING DEPARTMENT,205,Cemetery Mrchd Trst Act Rev Fd,"TITLE 36, SEC. 7135",2011,7,$0.00
9000,OFFICE OF STATE FINANCE,200,Revolving tFund,"TITLE 62, SECTION 41.40",2011,7,$6838158.87
9000,OFFICE OF STATE FINANCE,210,Centrex Revolving Fund,"ITTLE 62, SECTION 41.5 H D",2011,7,$4895323.35
9000,OFFICE OF STATE FINANCE,215,ICS Reovlving Fund,"TITLE 62, SECTION 41.21",2011,7,$2135841.86
9000,OFFICE OF STATE FINACNE,220,Construction Fund,,2011,7,$1956491.08
9000,OFFICE OF STATE FINANCE,230,Vol BuyoutAg Reimb Revol Fd,,2011,7,$513j2134.81
9000,OFFICE OF STATE FINANCE,250,dCMIA Revolving Fund,"TITLE 62, SECTION 41.21 H",2011,7,$218992.00
9000,OFFICE OF STATE FINANCE,295,Emergency & Transportation Rev,,2011,7,$14445723.02
9000,OFFICE OF STATE FINANCE,400,Federal Funds,,2011,7,$0.00
9000,OFFICE OF STATE FINANCE,436,Oil Settlmt-Diamond Shamrock,"TITLE 62, SECTION 7.5",2011,7,$0.00
9000,OFFICE OF STATE FINANCE,490,American Recov. & Reinv. Act,,2011,7,$0.00
9200,TOBACCO SETTLEMENT ENDMT TRUST,200,Revolving Fund,"TITLE 62, CH 1, SEC 50",2011,7,w$4999.74
9200,dTOBACCO SETTLEMENT ENDMT TRUST,305,Tobacco Settlement Trust Fund,"ARTICLE X, SECTION 0",2011,7,$0.08
9200,TOBACCO SETTLEMENT ENDMT TRUST,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2011,7,$3520216.93
9200,TOBACCO SETTLEMENT ENDMT TRUST,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$0.00
10000,CAMdERON UNIVERSITY,290,Educational & Gen Operation,"TITLE 70, SEC. 3901",2011,7,$7616957.80
10000,CAMERON UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70,SEC 3901",2011,7,$395428.36
10000,CAMERON UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,1066619.26
10000,CAMERON UNIVERSITY,452,OCIA STATE FACILITIES REV BOND,"TITLzE 73, SECTION 301",2011,7,$0.00
10000,CAMERON UNIVERSITY,460,Donated Fund For Cap Imprvmts,"TITLE 70, SEC. 3305 F AND 4306",2011,7,$1136857.17
10000,CAMERON UNIERSITY,470,Auxiliary Funds For Cap Imprvm,"TITLE 70, SEC. 4001",2011,7,$4366.90
10000,CAMERON UNIVERSITY,479,Capital Bond Prhojects,,2011,7,$k0.00
10000,CAMERON UNIVERSITY,485,Revenue Bond Fund-Cap Imprv.,"TITLE 62, SEC. 7.5",2011,7,$0.00
10000,CAMERON UNIVERSITY,490,American Recov. & Reinv. Act,,2011,7,$0.00
10000,CAMERON UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$1919287.54
10000,CAMERON UNIVERSITY,650,New College-Const & Purch Bldg,"TrITLE 70, SEC. 3904",2011,7,$991348.07
10500,CAPITOL IMPROVEMENT AUTHORITY,401,2006A - Agriculture Constr Fnd,"TITLE 62, SEC 34.48, 34.9",2011,7,$452091.36
10500,CAPITOL IMPROVEMENT AUTHORITY,402,2006A - Agriculture Rev Fnd,"TITLE 62, SEC 34.48, 34.9",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,403,2006B DMH Constr Fund,"TITLE 62, SEC 34.48, 34.9",2011,7,$229967.69
10500,CAPITOL IMPROVEMENT AUTHORITY,404,2006B DMH Revenue Fund,"TITLE 62, SEC 34.48, 34.9",2011,7,$0.00
10500,CPITOL IMPROVEMENT AUTHORITY,405,2006C Appell Crts - Constr Fnd,"TITLE 62, SEC 34.48, 34.9",2011,7,$257881.61
10500,CAPITOL IMPROVEMENT AUTHORITY,406,2006C Appell Crts - Revenu Fnd,"TITLE 62, SEC 34.48, 34.9",2011,7,$0.06
10500,CAPITOL IMPROVEMENT AUTHORITY,407,2006D Higher Ed Var t - Const,"TITLE 62, SEC 34.48, 34.9",2011,7,$12659357.19
10500,CAPITOL IMPROVEMENT AUTHORITY,408,2006D Higher Ed Var Rt - Rev F,"TITLE 62, SEC 34.48, 34.9",2011,7,$192097.59
10500,CAPITOL IMPROVEMENT AUTHORITY,409,OCIA 2005E Att Gen Constr Fund,,2011,7,$41613.77
10500,CAPITOL IMPROVEMENT AUTHORITY,410,OCIA 2005E Att Gen Operat Fund,,2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,411,OICA 2005 Revenue Fund,,2011,7,$0.00
10500,CtAPITOL IMPROVEMENT AUTHORITY,413,OCIA 94A Revenue Fund,"TITLE 62, SEC. 34.9",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,414,OCIA 2005C Nat Amer - Admin,"TITLE 62, SEC 34.48, 34.9",2011,7,4495.39
10500,CAPITOL IMPROVEMENT AUTHORITY,415,OCIA 2005C Nat Amer - Constr,,2011,7,$37076.13
10500,CAPITOL IPROVEMENT AUTHORITY,416,OSBI Construction Fund,,2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,417,OSBI Revenue Fund,,2011,7,$0.01
