514.statutory_reference,"SB 141,v SECTION 3E","SB 141, SECTION 3E"
922.statutory_reference,TILTE  73 SECTION 161,TITLE  73 SECTION 161
813.statutory_reference,***, 
726.total_amount,$1791003,$17910.03
1063.class_description,Federal Water Qquality Mgmt,Federal Water Quality Mgmt
473.class_description,Okla Inspectors Revlving Fund,Okla Inspectors Revolving Fund
948.total_amount,$1x955177.80,$1955177.80
870.total_amount,$35.7,$3.57
382.agency_name,DEPARMTENT OF EDUCATION,DEPARTMENT OF EDUCATION
412.class_description,HAVA Special DepositoryF und,HAVA Special Depository Fund
477.total_amount,1$50765.12,$150765.12
1063.statutory_reference,"TITLE 62, SEC 418 AND TITLE 82, SEC 934.5","TITLE 62, SEC 41.8 AND TITLE 82, SEC 934.5"
496.agency_name,STATE DEPARTMENT OF HELTH,STATE DEPARTMENT OF HEALTH
441.total_amount,$.00,$0.00
998.total_amount,$140539576,$1405395.76
775.agency_name,OKLA.R EAL ESTATE COMM.,OKLA. REAL ESTATE COMM.
238.agency_name,tCAPITOL IMPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
386.agency_name,DEPARTMENT OF EyDUCATION,DEPARTMENT OF EDUCATION
844.statutory_reference,"TITLE 27A, SEC.3-2-106 lA.4.","TITLE 27A, SEC.3-2-106 A.4."
649.statutory_reference,"TITLE 62, SEC. 34.84","TITLE 62, SEC. 34.48"
11.class_description,1998 Athletic aFc Reven Bd Fd,1998 Athletic Fac Reven Bd Fd
946.total_amount,$c0.00,$0.00
753.class_description,Purchasingg Training Fund,Purchasing Training Fund
823.statutory_reference,"TITLE 71, CHAPTER1 , SECTION 1-122","TITLE 71, CHAPTER 1, SECTION 1-122"
273.agency_name,DEAPRTMENT OF CORRECTIONS,DEPARTMENT OF CORRECTIONS
388.statutory_reference,"TILE 70, SEC. 3-110","TITLE 70, SEC. 3-110"
29.statutory_reference,***, 
83.statutory_reference,"TITLE 19, SCTION 901.58","TITLE 19, SECTION 901.58"
581.statutory_reference,, 
1042.total_amount,$j0.00,$0.00
978.statutory_reference,"ITTLE 62, SEC. 34.64 E","TITLE 62, SEC. 34.64 E"
362.class_description,Sutdent Fees Fund,Student Fees Fund
157.statutory_reference,"TrITLE 70, SEC. 3904","TITLE 70, SEC. 3904"
169.agency_name,CtAPITOL IMPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
724.total_amount,$13265563.95,$13625563.95
820.class_description,Ok Shcool  Science & Math Fund,Ok School  Science & Math Fund
175.statutory_reference,"vTITLE 73, SEC. 168.2B","TITLE 73, SEC. 168.2B"
679.total_amount,$23381.9z3,$23381.93
681.total_amount,$.00,$0.00
627.total_amount,$27169z.17,$27169.17
395.class_description,"OK Sch Psy, SLP & ANC evolvin","OK Sch Psy, SLP & ANC Revolvin"
632.agency_name,ROGERS STATEUNIVERSITY,ROGERS STATE UNIVERSITY
539.statutory_reference,"TITLE 62, SEC 34.h9","TITLE 62, SEC 34.9"
736.agency_name,DEPARTMENT OF CbENTRAL SERVICES,DEPARTMENT OF CENTRAL SERVICES
125.class_description,Natl Endow For Arts ederal,Natl Endow For Arts Federal
767.class_description,Boating Siafety Education Fund,Boating Safety Education Fund
624.agency_name,MENTAL HEALTH AND SUBSTANCE ABUSyE SERV.,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.
478.agency_name,STATE EDPARTMENT OF HEALTH,STATE DEPARTMENT OF HEALTH
144.agency_name,dTOBACCO SETTLEMENT ENDMT TRUST,TOBACCO SETTLEMENT ENDMT TRUST
74.class_description,Sales Fund - Surpus Property,Sales Fund - Surplus Property
637.class_description,American Recov. & einv. Act,American Recov. & Reinv. Act
953.class_description,Section 1q3-Const & Purch Bldg,Section 13-Const & Purch Bldg
863.agency_name,S. E. KLA. ST. UNIV.,S. E. OKLA. ST. UNIV.
590.agency_name,LANGSTON UNIVESITY,LANGSTON UNIVERSITY
246.statutory_reference,, 
137.class_description,Vol BuyoutAg Reimb Revol Fd,Vol Buyout Ag Reimb Revol Fd
346.statutory_reference,"TILE 74, SECTION 581","TITLE 74, SECTION 581"
528.agency_name,HIySTORICAL SOCIETY,HISTORICAL SOCIETY
335.agency_name,CROPORATION COMMISSION,CORPORATION COMMISSION
305.total_amount,1908510.80,$1908510.80
432.agency_name,SzTATE AUDITOR AND INSPECTOR,STATE AUDITOR AND INSPECTOR
421.statutory_reference,"TITLE 47, SEC 1104.2()B","TITLE 47, SEC 1104.2(B)"
249.statutory_reference,TITLE 70 SEC. 3901,"TITLE 70, SEC. 3901"
46.total_amount,$0.00***,$0.00
362.total_amount,$06.90,$60.90
794.class_description,Capital Improvementsq Rev Fund,Capital Improvements Rev Fund
529.class_description,Cherkee Strip Museum Wing Rev,Cherokee Strip Museum Wing Rev
976.agency_name,OKLA. CAREER oAND TECHNOLOGY EDUCATION,OKLA. CAREER AND TECHNOLOGY EDUCATION
716.agency_name,DEPARTMENT OF TOURISM AND REREATION,DEPARTMENT OF TOURISM AND RECREATION
1008.class_description,Hlth Emp v& Economy Imp Act,Hlth Emp & Economy Imp Act
988.agency_name,DEPARTMENT OF REHABIpLITATION SERVICES,DEPARTMENT OF REHABILITATION SERVICES
197.class_description,OICA 1999 Revenue Bond Series,OCIA 1999 Revenue Bond Series
257.total_amount,$3110.980,$31109.80
558.statutory_reference,"TITLE 62, SECTOIN 34.9","TITLE 62, SECTION 34.9"
273.total_amount,$160389.4,$160389.64
9.class_description,Capitakl Bond Project,Capital Bond Project
321.class_description,Electrica Rev Fund,Electrical Rev Fund
777.total_amount,$0.q00,$0.00
79.statutory_reference,u , 
219.total_amount,$0.0,$0.00
127.statutory_reference,"TITLE 62, SEC. 34.48,349","TITLE 62, SEC. 34.48,34.9"
138.class_description,dCMIA Revolving Fund,CMIA Revolving Fund
958.agency_name,UNIV. OF OKLA. HAELTH SCIENCE CENTER,UNIV. OF OKLA. HEALTH SCIENCE CENTER
906.class_description,OCIA 1998 Lease Rev Sinking Fd***,OCIA 1998 Lease Rev Sinking Fd
550.total_amount,$0.00***,$0.00
1025.total_amount,$1e8423.00,$18423.00
845.statutory_reference,ITLE 27A SECTION 3-2-110,TITLE 27A SECTION 3-2-110
574.agency_name,COUNCIL ON LAW ENFC. kED. & TRNG.,COUNCIL ON LAW ENFC. ED. & TRNG.
608.class_description,Lp GasRes Mrkt & Sfty Rev Fnd,Lp Gas Res Mrkt & Sfty Rev Fnd
17.class_description,Nw College-Const & Purch Bldg,New College-Const & Purch Bldg
251.class_description,Agency Relationrship Fund,Agency Relationship Fund
291.total_amount,$85349.7v5,$85349.75
697.class_description,Capital Bond nProjects,Capital Bond Projects
399.statutory_reference,"TITLE 70, SECTION 3-104 PARA. 10 i& 11","TITLE 70, SECTION 3-104 PARA. 10 & 11"
591.statutory_reference,"TITLE70, SEC. 3904","TITLE 70, SEC. 3904"
335.total_amount,$1038.2,$1038.82
6.class_description,Agency Relaitonship Fund,Agency Relationship Fund
424.statutory_reference,"TITLE 59, SEC 1113","TITLE 59, SEC. 1113"
896.class_description,Teachers Retirement SystemDed,Teachers Retirement System Ded
596.statutory_reference,"ITLE 22, SEC. 1517","TITLE 22, SEC. 1517"
413.agency_name,OKLAHOMA FUNERAL BOADR,OKLAHOMA FUNERAL BOARD
757.class_description,lHomeland Security,Homeland Security
553.statutory_reference,"TzITLE 59, SEC 858-730 (1991)","TITLE 59, SEC 858-730 (1991)"
121.total_amount,$43739.78,$47339.78
199.agency_name,CAPITO IMPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
488.statutory_reference,"TITE 63, SEC. 1-227.8","TITLE 63, SEC. 1-227.8"
330.agency_name,CORPORATItON COMMISSION,CORPORATION COMMISSION
471.statutory_reference,"TITLE 63, SECTION 1-108.1B","TITLE 63, SECTION 1-1908.1B"
871.statutory_reference,"TIkTLE 73, SECTION 301","TITLE 73, SECTION 301"
1030.statutory_reference,, 
551.class_description,KFF Grant Fund,GKFF Grant Fund
200.total_amount,$0.0,$0.00
191.statutory_reference,***, 
616.total_amount,0.29,$0.29
231.statutory_reference,i , 
856.total_amount,$9x042672.37,$9042672.37
464.class_description,Client Assistance Fed Fnuds,Client Assistance Fed Funds
548.statutory_reference,"TITLE 74, SEC. 860D ","TITLE 74, SEC. 860 D"
717.statutory_reference,"TITLE 74, SEC. 1811.A (199)1","TITLE 74, SEC. 1811.A (1991)"
62.agency_name,OKLAHOMA MILITARY DEoPARTMENT,OKLAHOMA MILITARY DEPARTMENT
725.statutory_reference,, 
95.statutory_reference,"TITE 47, SECTION 1104.3","TITLE 47, SECTION 1104.3"
662.total_amount,$000,$0.00
999.statutory_reference,"TITLEo 62, SEC. 34.9 & 34.48","TITLE 62, SEC. 34.9 & 34.48"
560.total_amount,z$268534.07,$268534.07
399.class_description,pSchool Lunch Div Fed Adm Fund,School Lunch Div Fed Adm Fund
765.statutory_reference,y , 
230.statutory_reference,r , 
221.class_description,State Highway Cap Imr Rfnd,State Highway Cap Impr Rfnd
113.statutory_reference,"TITLE l74, SEC 19.2, OSL 1992","TITLE 74, SEC 19.2, OSL 1992"
824.statutory_reference,"TITLE 59, SC. 1614","TITLE 59, SEC. 1614"
36.agency_name,OSU COLLEGE O FVETERINARY MEDICINE,OSU COLLEGE OF VETERINARY MEDICINE
964.agency_name,BD. OF CHEM. TEST ALCOHO/LDRUG,BD. OF CHEM. TEST ALCOHOL/DRUG
775.statutory_reference,"TITLE 95, SEC. 858-601","TITLE 59, SEC. 858-601"
881.total_amount,$322880.6,$322880.96
829.class_description,"Math, Science, and Eng. Rv bBd","Math, Science, and Eng. Rv Bd"
59.total_amount,247.99,$247.99
925.statutory_reference,"TITLE73, SEC. 153","TITLE 73, SEC. 153"
607.total_amount,$10104.48,$101043.48
94.total_amount,$19848.48,$198481.48
937.class_description,Bldg Leasehold Fund Cap Outay,Bldg Leasehold Fund Cap Outlay
588.total_amount,$0.00***,$0.00
532.class_description,Centennial Cmmission Rev. Fd.,Centennial Commission Rev. Fd.
969.class_description,Master Lease Pucrhase Fund,Master Lease Purchase Fund
434.total_amount,$.000,$0.00
853.agency_name,DEAPRTMENT OF VETERANS AFFAIRS,DEPARTMENT OF VETERANS AFFAIRS
356.statutory_reference,***, 
391.statutory_reference,"TITE 70, SEC. 18-400","TITLE 70, SEC. 18-400"
1047.class_description,FY 05 Juvenile Justice Disb uF,FY 05 Juvenile Justice Disb Fu
489.agency_name,STATE DEPARTMENT OF HEALTtH,STATE DEPARTMENT OF HEALTH
850.agency_name,CONSERVATION OMMISSION,CONSERVATION COMMISSION
474.statutory_reference,"TITLE 59, SECTION 858-662","TITLE 59, SECTION 858-626"
250.statutory_reference,"xTITLE 62, SEC. 7.5","TITLE 62, SEC. 7.5"
547.total_amount,$10b867.12,$10867.12
1044.agency_name,DEPARTMENT OF HUMAN SRVICES,DEPARTMENT OF HUMAN SERVICES
509.statutory_reference,"TITLE 69, SECTION 1936","TITLE 69, SECTION 1963"
411.statutory_reference,"TITLE 26b, SECTION 3-107.1","TITLE 26, SECTION 3-107.1"
257.agency_name,UNI.V OF CENTRAL OKLA.,UNIV. OF CENTRAL OKLA.
387.class_description,Teachers' Certification rFund,Teachers' Certification Fund
202.class_description,OCIA 1999 Revenue oBnd Series,OCIA 1999 Revenue Bond Series
468.class_description,Plumbing Licene Law Rev Fund,Plumbing License Law Rev Fund
347.statutory_reference,"TrITLE 19, SEC. 215.28","TITLE 19, SEC. 215.28"
186.total_amount,$6164.36,$1664.36
346.class_description,Interagency Reimb Funtd,Interagency Reimb Fund
900.statutory_reference,"TITLrE 68, SECTION 2355.2","TITLE 68, SECTION 2355.2"
215.agency_name,CAPITOL IMPROVEMENT ApUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
687.agency_name,OKLA. BOARD OF NURING,OKLA. BOARD OF NURSING
1025.statutory_reference,"TITLE 47, SETCION 1104.1","TITLE 47, SECTION 1104.1"
852.class_description,Dept Of Vet Affairs Trus tFnd,Dept Of Vet Affairs Trust Fnd
1000.agency_name,DEPARTEMNT OF REHABILITATION SERVICES,DEPARTMENT OF REHABILITATION SERVICES
732.class_description,Psychologists Licensign Fund,Psychologists Licensing Fund
840.class_description,GIS Revolving Fudn,GIS Revolving Fund
1037.agency_name,DEPARTMNET OF HUMAN SERVICES,DEPARTMENT OF HUMAN SERVICES
925.class_description,Cap Impvmnt Auth Rev Bonsd 86,Cap Impvmnt Auth Rev Bonds 86
1055.agency_name,WATER RmESOURCES BOARD,WATER RESOURCES BOARD
778.agency_name,REGENTS FOR wHIGHER EDUCATION,REGENTS FOR HIGHER EDUCATION
293.class_description,MinorityBus Dev Program Fund,Minority Bus Dev Program Fund
297.class_description,State Data mCenter Rev Fund,State Data Center Rev Fund
276.class_description,ducational & Gen Op Fund,Educational & Gen Op Fund
201.total_amount,0.00,$0.00
206.agency_name,CAPITOL IMPROVEMENT AUTHgORITY,CAPITOL IMPROVEMENT AUTHORITY
883.total_amount,i$1192352.49,$1192352.49
889.agency_name,OKLAHOMA TAX COMMpISSION,OKLAHOMA TAX COMMISSION
429.total_amount,$544.29,$5448.29
1.class_description,Ok Cap Complex & Cen Comm Fnd,Ok Cap Complex & Cent Comm Fnd
972.class_description,OSU Med. Aueth. Disbursing Fund,OSU Med. Auth. Disbursing Fund
1065.total_amount,$6411988,$64119.88
47.total_amount,$0.h01,$0.01
299.class_description,OK Opportuntiy Fund,OK Opportunity Fund
320.statutory_reference,***, 
784.total_amount,$137483.62,$1374083.62
116.total_amount,$337086.00,$337068.00
355.statutory_reference,"TITLE 19, SECTIONh 215.28","TITLE 19, SECTION 215.28"
68.agency_name,OKLAHOMA MILITARY DEPRTMENT,OKLAHOMA MILITARY DEPARTMENT
32.statutory_reference,"TITLE 62, SC. 41.8","TITLE 62, SEC. 41.8"
1030.total_amount,$90657.33***,$90657.33
394.class_description,Ok Youth andGovt Revolving Fd,Ok Youth and Govt Revolving Fd
608.statutory_reference,"TITLE 52, CH 8, SEC 42.26","TITLE 52, CH 8, SEC 420.26"
481.total_amount,$92.00,$920.00
1056.agency_name,WAETR RESOURCES BOARD,WATER RESOURCES BOARD
958.total_amount,$0.00***,$0.00
533.class_description,1921 Toulsa Race Riot Cm Rev Fd,1921 Tulsa Race Riot Cm Rev Fd
359.agency_name,EAST CENTRAL UNIVERySITY,EAST CENTRAL UNIVERSITY
282.class_description,OCIAm State Facilities Rev Bond,OCIA State Facilities Rev Bond
952.agency_name,UNIVERSITYO F OKLAHOMA,UNIVERSITY OF OKLAHOMA
323.class_description,Roofig Contractor Reg Rev Fnd,Roofing Contractor Reg Rev Fnd
310.class_description,HUD-COMMUNITY DEV. BLK GANT,HUD-COMMUNITY DEV. BLK GRANT
359.class_description,Educationa l& Gen Op Rev Fund,Educational & Gen Op Rev Fund
53.statutory_reference,"TITLE 70,SECTION  326.6","TITLE 70,SECTION  3206.6"
744.agency_name,DEPARTMENT OF CENTRALw SERVICES,DEPARTMENT OF CENTRAL SERVICES
656.statutory_reference,, 
594.class_description,Revolving und,Revolving Fund
359.statutory_reference,"TITLvE 70, SEC. 3901","TITLE 70, SEC. 3901"
404.statutory_reference,"TITLE 62u, SEC. 156","TITLE 62, SEC. 156"
252.statutory_reference,"TITLEl 73, SEC. 301","TITLE 73, SEC. 301"
499.agency_name,STATE DEPnARTMENT OF HEALTH,STATE DEPARTMENT OF HEALTH
1011.agency_name,HEALTH CAREa AUTHORITY,HEALTH CARE AUTHORITY
284.total_amount,$0t.00,$0.00
456.agency_name,STATE FIRE MRASHAL,STATE FIRE MARSHAL
756.class_description,U..SDept. Of Energy Fund,U.S.Dept. Of Energy Fund
932.agency_name,STATE TREASUERR,STATE TREASURER
850.class_description,State mEergency Fund,State Emergency Fund
261.class_description,Ola Miner Training Instr Rev,Okla Miner Training Instr Rev
255.total_amount,$155289.t84,$155289.84
126.statutory_reference,"TITLE 74, SE. 581","TITLE 74, SEC. 581"
357.total_amount,3881213.59,$3881213.59
533.total_amount,c$0.00,$0.00
795.class_description,Capital Bond Projcects,Capital Bond Projects
5.total_amount,0.00,$0.00
209.total_amount,$851.1f3,$851.13
756.total_amount,$0.00***,$0.00
497.statutory_reference,"TITLE 47, SEC1 135.5.B.13","TITLE 47, SEC 1135.5.B.13"
75.agency_name,ALCOOHLIC BEV. LAWS ENFORCE.,ALCOHOLIC BEV. LAWS ENFORCE.
