objectid(long),namevalue,b_one_seven_zero_two_zero_zero_zero_one_e(long),b_one_seven_zero_two_zero_zero_zero_two_e(long),b_one_seven_zero_two_zero_zero_zero_three_e(long),b_one_seven_zero_two_zero_zero_zero_four_e(long),b_one_seven_zero_two_zero_zero_zero_five_e(long),b_one_seven_zero_two_zero_zero_zero_six_e(long),b_one_seven_zero_two_zero_zero_zero_seven_e(long),b_one_seven_zero_two_zero_zero_zero_eight_e(long),b_one_seven_zero_two_zero_zero_zero_nine_e(long),b_one_seven_zero_two_zero_zero_one_zero_e(long),b_one_seven_zero_two_zero_zero_one_one_e(long),b_one_seven_zero_two_zero_zero_one_two_e(long),b_one_seven_zero_two_zero_zero_one_three_e(long),b_one_seven_zero_two_zero_zero_one_four_e(long),b_one_seven_zero_two_zero_zero_one_five_e(long),b_one_seven_zero_two_zero_zero_one_six_e(long),b_one_seven_zero_two_zero_zero_one_seven_e(long),b_one_seven_zero_two_zerocalcpct_pov_e(double precision),b_one_seven_zero_two_zerocalcnum_child_pov_e(long),b_one_seven_zero_two_zerocalcpct_child_pov_e(double precision),b_one_seven_zero_two_zerocalcnum_tot_child_e(long),city,shape_area(double precision),shape_length(double precision)
1.0,Census Tract 1112.04,3420.0,251,0,0,0,242,9,0,0,2427.0,266,199,62,2020.0,189,9,0,7.3,0,0.0,527,Phoenix,10456719.1835938,13260.4131108123
2.0,Census Tract 1152,3220.0,793,106,69,158,434,18,8,0,2427.0,204,220,558,1365.0,72,8,0,24.6,333,25.3,1315,Phoenix,10456719.1835938,13260.4131108123
3.0,Census Tract 1162.02,5359.0,588,99,10,112,258,109,0,0,2427.0,457,436,581,1365.0,452,58,18,11.0,221,13.0,1695,Phoenix,10456719.1835938,13260.4131108123
4.0,Census Tract 1162.04,4494.0,1738,48,530,319,694,122,25,0,2756.0,27,72,189,2020.0,354,94,0,38.7,897,75.7,1185,Phoenix,10456719.1835938,13260.4131108123
4.0,Census Tract 1162.05,4494.0,444,58,45,47,211,76,7,0,2756.0,367,239,143,1365.0,216,62,41,11.1,150,16.7,899,Phoenix,10456719.1835938,13260.4131108123
6.0,Census Tract 1167.08,5338.0,168,0,0,0,105,19,28,16,5170.0,239,263,83,2421.0,1267,651,246,3.1,0,0.0,585,Phoenix,4838753.4765625,8284.9057018875
7.0,Census Tract 1167.09,2794.0,562,233,0,0,273,32,24,0,2232.0,137,82,91,1565.0,312,14,31,20.1,233,42.9,543,Phoenix,1562358.87109375,5584.04815930713
8.0,Census Tract 1167.17,3215.0,663,31,119,98,405,0,10,0,2552.0,94,151,206,1776.0,275,50,0,20.6,248,35.5,699,Phoenix,1542304.703125,5519.03179851163
9.0,Census Tract 2180,6291.0,368,47,0,16,231,55,16,3,5923.0,350,309,88,4026.0,589,233,328,5.8,63,7.8,810,Scottsdale,3785578.31640625,7779.13359353249
10.0,Census Tract 2181,2260.0,363,8,23,40,242,13,27,10,1897.0,113,57,55,1383.0,161,100,28,16.1,71,24.0,296,Scottsdale,1402037.9375,4812.67348012686
11.0,Census Tract 2182,9344.0,902,86,22,84,548,106,14,42,8442.0,213,252,359,6671.0,641,127,179,9.7,192,18.9,1016,Scottsdale,3724815.95703125,7717.49861103764
12.0,Census Tract 2183,4404.0,520,16,2,0,325,100,59,18,3884.0,276,48,111,2137.0,920,247,145,11.8,18,4.0,453,Scottsdale,3229935.36328125,7684.55383910732
13.0,Census Tract 3184,5696.0,1105,64,0,68,817,117,0,39,4591.0,71,203,319,3581.0,263,125,29,19.4,132,18.2,725,Tempe,11764249.9140625,17511.1858616433
14.0,Census Tract 3185.01,3306.0,717,7,69,79,389,158,15,0,2589.0,57,107,17,1841.0,433,91,43,21.7,155,46.1,336,Tempe,1880736.30078125,6853.49771146955
15.0,Census Tract 3187,2220.0,841,0,14,0,817,10,0,0,1379.0,0,14,13,1056.0,291,5,0,37.9,14,34.1,41,Tempe,3526476.46875,7699.14613115374
16.0,Census Tract 3188,7573.0,2830,345,257,356,1797,45,30,0,4743.0,145,96,33,4055.0,272,112,30,37.4,958,77.8,1232,Tempe,3753633.421875,7788.99805601125
17.0,Census Tract 3189,7442.0,1318,37,38,18,1135,58,32,0,6124.0,114,323,323,4257.0,748,247,112,17.7,93,10.9,853,Tempe,3725890.32421875,7723.50603521696
18.0,Census Tract 3191.01,2985.0,1813,0,27,0,1786,0,0,0,1172.0,0,100,25,992.0,55,0,0,60.7,27,17.8,152,Tempe,475858.57421875,3150.59562729879
19.0,Census Tract 3191.03,4773.0,2279,0,0,0,2270,9,0,0,2494.0,38,52,120,2109.0,167,8,0,47.7,0,0.0,210,Tempe,1377687.90234375,5835.13541120938
20.0,Census Tract 3191.04,7848.0,2618,41,79,61,2311,96,30,0,5230.0,261,76,63,4461.0,179,190,0,33.4,181,31.2,581,Tempe,1853175.65234375,5763.56322776525
21.0,Census Tract 3192.01,7284.0,2506,515,144,157,1661,24,5,0,4778.0,324,305,484,3217.0,410,28,10,34.4,816,42.3,1929,Tempe,1906821.0390625,5849.93033529502
22.0,Census Tract 3192.02,3613.0,1434,94,7,0,1247,72,7,7,2179.0,44,50,0,1796.0,172,94,23,39.7,101,51.8,195,Tempe,1906638.0859375,5878.71520738264
23.0,Census Tract 3193,2965.0,746,0,0,0,593,138,0,15,2219.0,47,68,256,1332.0,225,291,0,25.2,0,0.0,371,Tempe,1573261.73046875,6280.80649008546
24.0,Census Tract 3194.01,6835.0,1102,0,25,250,544,203,41,39,5733.0,270,146,424,3580.0,867,344,102,16.1,275,24.7,1115,Tempe,3844816.7890625,8035.50344488067
25.0,Census Tract 3194.02,4530.0,455,8,7,33,284,97,26,0,4075.0,329,180,204,2254.0,823,123,162,10.0,48,6.3,761,Tempe,3770097.953125,7669.35720703183
26.0,Census Tract 3194.03,5234.0,434,0,0,0,346,78,10,0,4800.0,345,175,359,2602.0,578,613,128,8.3,0,0.0,879,Tempe,3835965.796875,7834.31127399328
27.0,Census Tract 3194.04,3436.0,257,8,8,8,180,0,8,45,3179.0,171,122,100,1472.0,471,344,499,7.5,24,5.8,417,Tempe,2648946.7890625,7587.2271292204
28.0,Census Tract 3195,6598.0,907,45,0,0,861,1,0,0,5691.0,412,241,231,3258.0,1243,111,195,13.7,45,4.8,929,Tempe,3706209.91015625,7703.85095751707
29.0,Census Tract 3196,6312.0,1659,146,57,66,1327,63,0,0,4653.0,270,226,140,3120.0,574,238,85,26.3,269,29.7,905,Tempe,3709402.9453125,7707.38910467785
30.0,Census Tract 3197.05,4682.0,667,53,9,182,370,53,0,0,4015.0,781,420,271,2168.0,316,47,12,14.2,244,14.2,1716,Tempe,5529747.5234375,9511.55412111744
31.0,Census Tract 3197.06,5185.0,826,185,67,43,522,9,0,0,4359.0,271,342,252,3096.0,372,26,0,15.9,295,25.4,1160,Tempe,1932137.98046875,6077.05636508261
32.0,Census Tract 3199.02,3043.0,414,18,0,23,305,47,8,13,2629.0,283,111,55,1580.0,452,113,35,13.6,41,8.4,490,Tempe,3729064.58984375,7723.11850304658
33.0,Census Tract 3199.03,5453.0,582,44,98,53,274,65,47,1,4871.0,188,323,326,2726.0,885,341,82,10.7,195,18.9,1032,Tempe,3841771.4375,8043.4764335775
34.0,Census Tract 3199.04,5479.0,398,78,0,9,280,31,0,0,5081.0,362,160,246,3088.0,954,251,20,7.3,87,10.2,855,Tempe,3735031.234375,7653.74778561153
35.0,Census Tract 3199.05,5102.0,442,0,107,0,212,108,15,0,4660.0,345,173,231,2927.0,838,103,43,8.7,107,12.5,856,Tempe,3757948.82421875,7748.4906742422
36.0,Census Tract 3199.06,3124.0,387,37,14,50,276,10,0,0,2737.0,105,110,170,1604.0,532,194,22,12.4,101,20.8,486,Tempe,3648538.65625,7715.12592231383
37.0,Census Tract 3199.07,2569.0,2,0,0,0,0,2,0,0,2567.0,139,118,173,1146.0,563,205,223,0.1,0,0.0,430,Tempe,3711581.97265625,7713.75334699638
38.0,Census Tract 3199.08,2783.0,238,25,26,12,155,9,0,11,2545.0,186,118,114,1696.0,335,68,28,8.6,63,13.1,481,Tempe,3720904.296875,7711.28262110078
39.0,Census Tract 3199.09,2611.0,128,4,0,5,46,68,0,5,2483.0,105,93,177,1301.0,628,162,17,4.9,9,2.3,384,Tempe,3799787.74609375,7791.87875756736
40.0,Census Tract 3199.10,5517.0,217,0,0,0,137,37,20,23,5300.0,361,261,426,3424.0,635,166,27,3.9,0,0.0,1048,Tempe,9585795.5859375,13806.0150992353
41.0,Census Tract 3200.01,9910.0,1387,279,189,0,814,98,6,1,8523.0,477,654,235,6466.0,602,57,32,14.0,468,25.5,1834,Tempe,4370132.06640625,10573.229286493
42.0,Census Tract 3200.02,6547.0,2092,289,196,325,791,423,68,0,4455.0,352,167,254,2709.0,746,183,44,32.0,810,51.2,1583,Guadalupe,2992808.57421875,8154.57994647162
43.0,Census Tract 3200.07,7098.0,1165,0,98,208,764,95,0,0,5933.0,155,240,193,4427.0,807,82,29,16.4,306,34.2,894,Tempe,2963759.109375,7231.55473953223
44.0,Census Tract 3201,3591.0,846,10,0,0,823,0,13,0,2745.0,121,10,24,2427.0,111,31,21,23.6,10,6.1,165,Tempe,7068456.46484375,12179.2941766621
45.0,Census Tract 4212.01,4980.0,791,90,0,77,582,42,0,0,4189.0,200,120,180,3203.0,451,16,19,15.9,167,25.0,667,Mesa,6758724.2109375,12705.8698036939
46.0,Census Tract 4212.02,3748.0,618,0,34,42,507,33,2,0,3130.0,233,272,245,1943.0,257,116,64,16.5,76,9.2,826,Mesa,2186088.03125,7048.52950915887
47.0,Census Tract 4213.03,5578.0,709,116,40,53,437,63,0,0,4869.0,365,324,493,2992.0,558,87,50,12.7,209,15.0,1391,Mesa,2610042.078125,7695.25808857377
48.0,Census Tract 4213.04,3559.0,835,171,48,83,496,37,0,0,2724.0,153,65,78,2300.0,90,38,0,23.5,302,50.5,598,Mesa,3346389.05859375,8758.06213895638
49.0,Census Tract 4221.04,5679.0,1583,219,74,225,959,88,1,17,4096.0,221,265,238,2732.0,420,176,44,27.9,518,41.7,1242,Mesa,2191105.109375,6234.55786117331
