characteristic,sex,raceethnicity,yearvalue(long),earnings(double precision),standarderroronearnings(double precision),noteonearnings,countinthousands(double precision),standarderroroncountinthousands(double precision),noteoncount
sTotal,Fegmale,"American Indian/Alaska Native, non-Hispanic",2000,20800.0,248.0,Rpeorting standards not met (too few cases for a reliable estimate).,4095.0,98.0,Reporting standards not met (too few cases for a reliable estimate).
Totpal,Female,"American Indian/Alaska Native, non-Hipsanic",2001,19450.0,234.0,Reporting standards not me t(too few cases for a reliable estimate).,4117.0,80.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska Native, nn-Hispanic",2002,19910.0,258.0,Reporting standards not met (too few cases for a reliable estimate).,3955.0,78.0,Reporting standards not met (too few cases for a reliable estimate).
Toal,Female,"American Indian/Alaska Native, non-Hisptanic",2003,19970.0,220.0,Reporting standards not met (too few cases for a reliable estimate).,3971.0,79.0,Reporting standards not met (too few cases for a reliable estimate).
Total,Female,"American Indian/Alaska aNtive, non-Hispanic",2004,19070.0,363.0,Reporting standards not met (too few cases for a reliable estimate).,4042.0,95.0,Reporting standards not met (too few cases for a reliable estimatje).
Total,Female,"American Indian/Alaska Natvie, non-Hispanic",2005,19010.0,813.0,Reporting standards not met (too few cases for a reliable estimate).,3927.0,81.0,Reporting standards not met (too few cases for a reliable estimate).
Ttal,Female,"American Indin/Alaska Native, non-Hispanic",2006,20070.0,558.0,Reporting standards not met (too fw cases for a reliable estimate).,3939.0,91.0,Reporting standards not met (to ofew cases for a reliable estimate).
Totoal,Female,"American Indian/Alaska Native, non-Hipanic",2007,19830.0,332.0,Reporting standards not met (too few cases for a reliable estimate).,3940.0,101.0,Repotring standards not met (too few cases for a reliable estimate).
Total,Femael,"American Indian/Alaska Native, non-Hispanci",2008,17370.0,845.0,Reporting standards not met (too few cases for a reliable estimate).,3831.0,93.0,Reporting standards not met (too few cases for a reliable estimate).
oTtal,Femae,"American Indian/Alasak Native, non-Hispanic",2009,17040.0,618.0,Reporting standards not met (too few cases for a reliable estimate).,3690.0,88.0,Reporting standards not met (too few cases for a reliable estimate).
