OBJECTID,FISH_TYPE,MGMT_AREA,COMMENT,STREAM_NO,STREAM,LAKE_NO,LAKE,SHAPE_Length,SHAPE_Area
1,Bass,Bass Management Lake,Colebrook River Lake,1866,West Branch Farmington River,568,Colebrook River Lake,63814.1641431757,37128028.6840148
2,Trout,Trophy Trout Lake,Washining Lake,0, ,3409,Washining Lake,27835.2335087994,24624630.1974805
3,Trout,Wild Trout Management Area (Class 3),From Whiting River to confluence with Housatonic River.,149,Blackberry River,0, ,14277.9523001963,407495.100813988
4,Bass and Walleye,Bass / Walleye Management Lake,Mashapaug Pond,131,Bigelow Brook,1779,Mashapaug Pond,38090.163257046,12977310.1117365
5,Trout,Wild Trout Management Area (Class 3),From Whiting River to confluence with Housatonic River.,149,Blackberry River,1343,Iron Furnace Pond,2128.83027786723,64569.0098292685
6,Trout,Wild Trout Management Area (Class 3),From Whiting River to confluence with Housatonic River.,149,Blackberry River,0, ,341.600556172797,7230.35514634972
7,Trout,Trophy Trout Stream,From Goodwin dam (Hartland) downstream to Route 177 Bridge in Unionville,1866,West Branch Farmington River,0, ,4079.69586251393,137207.676177833
8,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1132710.36899285,387478548.977434
9,Northern Pike,Northern Pike Management Area,Quaddick Reservoir,595,Fivemile River,2337,Quaddick Reservoir,15760.3951164296,2550958.24039901
10,Northern Pike,Northern Pike Management Area,Quaddick Reservoir,595,Fivemile River,2337,Quaddick Reservoir,29904.0399053837,8834875.10517918
11,Bass,Bass Management Lake,Wononskopomuc Lake,1703,Sucker Brook,3555,Wononskopomuc Lake,15376.3988271123,15165078.7088829
12,Northern Pike,Northern Pike Management Area,Quaddick Reservoir,595,Fivemile River,2337,Quaddick Reservoir,19875.6542812006,5659297.12463119
13,Trout,Wild Trout Management Area (Class 3),From Rte 190 (Stafford) to Willimantic River (Willington),1452,Roaring Brook,0, ,424.618245775438,12465.5651820913
14,Trout,Trophy Trout Lake,Crystal Lake,3,Aborn Brook,655,Crystal Lake,15824.2218448637,8162217.98151063
15,Trout,Wild Trout Management Area (Class 3),From East Street below the gorge in N. Granby to the confluence of the Farmington River.,1497,Salmon Brook,0, ,26936.1408420037,589551.589018176
16,Trout,Wild Trout Management Area (Class 3),Entire stream in Mansfield and Willington.,585,Fenton River,232,Bissonnette Pond,10433.3899231725,2112061.00768787
17,Northern Pike,Northern Pike Management Area,Lake Winchester,0, ,1550,Lake Winchester,28597.9248446065,10805812.9211844
18,Trout and Bass,Trophy Trout / Bass Management Lake,Highland Lake,0, ,1230,Highland Lake,42660.4839058788,19522933.1120471
19,Trout,Wild Trout Management Area (Class 3),Entire stream in Mansfield and Willington.,585,Fenton River,2223,Petrowich Pond,1036.29637959336,59252.876310424
20,Bass,Bass Management Lake,Mudge Pond,1013,Long Pond Brook,1945,Mudge Pond,15099.2373155013,9198650.75594857
21,Trout,Wild Trout Management Area (Class 3),Entire stream in Mansfield and Willington.,585,Fenton River,645,Cresys Pond,810.391006949679,26776.7249152483
22,Trout and Kokanee Salmon,Trophy Trout / Kokanee Management Lake,West Hill Pond,0, ,3448,West Hill Pond,17327.7120190767,10695904.656717
23,Trout,Wild Trout Management Area (Class 3),Entire stream in Mansfield and Willington.,585,Fenton River,673,Cushmans Pond,1786.95066387601,68335.073085657
24,Trout,Wild Trout Management Area (Class 3),Entire stream in Mansfield and Willington.,585,Fenton River,0, ,260.13912199018,3570.18183093384
25,Trout,Wild Trout Management Area (Class 3),Entire stream in Mansfield and Willington.,585,Fenton River,0, ,38793.5520802596,885230.39445433
26,Trout,Trophy Trout Stream,From Goodwin Dam (Harland) downstream to Route 177 Bridge in Unionville.,577,Farmington River,0, ,44079.0868166914,2326490.33867085
27,Trout,Trout Park Trophy Trout Stream,Within Natchaug State Forest (Eastford),1181,Natchaug River,0, ,22206.4814319339,820173.989350004
28,Trout,Trout Park,Within Stratton Brook State Park,1698,Stratton Brook,2782,Stratton Park Pond,1350.6534531297,102336.908180442
29,Trout,Trout Park,Within Stratton Brook State Park,1698,Stratton Brook,2781,Stratton Brook State Park Pond,1052.04025682521,54467.1997584036
30,Bass,Bass Management Lake,West Side Pond,1889,West Side Pond Brook,3463,West Side Pond,5484.14963908708,1758458.18797043
31,Bass,Bass Management Lake,Halls Pond,0, ,1132,Halls Pond,15866.1297008893,3622345.72416308
32,Walleye,Walleye Management Lake,Tyler Lake,1889,West Side Pond Brook,2985,Tyler Lake,18755.2694180074,8155481.46061452
33,Trout,Trout Park Trophy Trout Stream,Within Natchaug State Forest (Eastford),1181,Natchaug River,0, ,2124.23071035645,80208.9168323589
34,Trout,Wild Trout Management Area (Class 3),From Newfield Road downstream to the confluence with the West Branch Naugatuck.,515,East Branch Naugatuck River,0, ,1030.51817012216,75015.767468773
35,Trout,Trout Park Trophy Trout Stream,Within Natchaug State Forest (Eastford),1181,Natchaug River,0, ,1892.01257285885,70029.3439003394
36,Trout,Trout Park Trophy Trout Stream,Within Natchaug State Forest (Eastford),1181,Natchaug River,0, ,2270.59656926236,79557.6144786607
37,Trout,Trophy Trout Stream,From Goodwin Dam (Harland) downstream to Route 177 Bridge in Unionville.,577,Farmington River,0, ,582.154193110717,7585.87440325325
38,Trout,Wild Trout Management Area (Class 3),Entire stream in Mansfield and Willington.,585,Fenton River,0, ,483.048008144432,9832.78881477614
39,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1060.17967361185,25151.61852271
40,Trout,Wild Trout Management Area (Class 3),Entire stream in Mansfield and Willington.,585,Fenton River,0, ,66279.2968098843,1732784.77987613
41,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,317.765879460217,3426.25003328195
42,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,1186.0178372808,39829.8540910578
43,Trout,Trophy Trout Stream,From Goodwin Dam (Harland) downstream to Route 177 Bridge in Unionville.,577,Farmington River,0, ,27553.713148214,2498970.06185809
44,Trout,Belding Wild Trout Management Area (Class 1),The river and its tributaries (as posted) within Belding WMA.,1722,Tankerhoosen River,3420,Webster Pond,882.04806963874,40048.8220266666
45,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,12331.8998025799,462650.364716502
46,Bass,Bass Management Lake,Upper Bolton Lake,0, ,267,Upper Bolton Lake,4985.51590115256,1023396.02568183
47,Trout,Wild Trout Management Area (Class 3),From Newfield Road downstream to the confluence with the West Branch Naugatuck.,515,East Branch Naugatuck River,3398,Warrenton Woolen Co Pond,521.145702774389,10112.6967397854
48,Bass,Bass Management Lake,Middle Bolton Lake,0, ,266,Middle Bolton Lake,14402.2369045891,5105209.05697332
49,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,2618.22468271169,91711.773551638
50,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,4109.95674682479,149989.758103153
51,Trout,Wild Trout Management Area (Class 3),From Newfield Road downstream to the confluence with the West Branch Naugatuck.,515,East Branch Naugatuck River,3085,Fitzgerald Dam,902.625732437943,20953.6649967371
52,Trout,Trout Management Area,From I-84 in Vernon downstream to I-84 at Laurel Marsh on Manchester/East Hartford line.,796,Hockanum River,2073,Oakland Paper Mill Pond,4913.21413385809,86450.4069580816
53,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,2090.99663351332,65221.3429353999
54,Trout,Trophy Trout Stream,From Goodwin Dam (Harland) downstream to Route 177 Bridge in Unionville.,577,Farmington River,0, ,776.953503373863,28275.7697820804
55,Trout,Trophy Trout Stream,From Goodwin Dam (Harland) downstream to Route 177 Bridge in Unionville.,577,Farmington River,0, ,943.789496606084,48323.1885036833
56,Trout,Trophy Trout Stream,From Goodwin Dam (Harland) downstream to Route 177 Bridge in Unionville.,577,Farmington River,0, ,14043.6928890114,1098994.23836146
57,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,29781.5500272228,1264982.34848968
58,Bass,Bass Management Lake,Lower Bolton Lake,0, ,265,Lower Bolton Lake,14187.9347436028,7686491.71318747
59,Trout,Trout Management Area,From I-84 in Vernon downstream to I-84 at Laurel Marsh on Manchester/East Hartford line.,796,Hockanum River,2994,Union Pond,8614.13555025046,2173441.97461467
60,Trout,Wild Trout Management Area (Class 3),From Newfield Road downstream to the confluence with the West Branch Naugatuck.,515,East Branch Naugatuck River,2715,Springs Pond,679.849819304321,18588.7230194423
61,Trout,Farmington River Trout Management Area,Avon-Burlington-Avon. From base of Lower Collinsville Dam downstream about 3 miles to Rt 4 bridge.,577,Farmington River,0, ,8784.7229869654,666576.426520017
62,Trout,Trout Management Area,From I-84 in Vernon downstream to I-84 at Laurel Marsh on Manchester/East Hartford line.,796,Hockanum River,0, ,31218.3535601539,883420.523077044
63,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3473.51725983717,307337.936970985
64,Bass and Walleye,Bass / Walleye Management Lake,Wangumbaug Lake,0, ,3387,Wangumbaug Lake,28779.9673014932,16310992.3753901
65,Bass,Bass Management Lake,Quinebaug Pond,1402,Quinebaug Brook,2343,Quinebaug Pond,9989.71524981354,3095441.86054133
66,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,257.202478501765,3977.34266536349
67,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,0, ,48521.9271571429,2085555.90218606
68,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,369.311734474578,2493.04182349438
69,Trout,Trout Management Area,From I-84 in Vernon downstream to I-84 at Laurel Marsh on Manchester/East Hartford line.,796,Hockanum River,1586,Laurel Lake,18662.5145272211,3787528.91468217
70,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1430.33896715862,108551.039120594
71,Bass and Northern Pike,Bass / Northern Pike Management Lake,Mansfield Hollow Dam,1181,Natchaug River,1763,Mansfield Hollow Dam,4331.74947961374,505895.872174339
72,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,24554.2554711141,1640091.33437171
73,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,1966,Natchaug River Dam,3158.56515673792,240520.717456732
74,Trout,Trophy Trout Stream,Entire river in Eastford-Chaplin-Windham,1181,Natchaug River,1966,Natchaug River Dam,1226.23079780623,34576.0850483448
