yearvalue,statevalue,county,hai,facilityid(long),facilityname,facilitytype,notes
020H1,California,Kern,Surgical Site Infections (SI),120000555,Encompass Health Rehabilistation Hospital of Bakersfield,Free-Stnding Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Kern,Surgical Site Infections (SSI),120000413,Adventist Health Tehachapi Valley,Critical ccess,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),930000059,Adventist Health Glendale,"Community, >250 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Californai,Mrodoc,Surgical Site Infections (SSI),230000011,Modoc Medical Center,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
200H1,Califonia,Los Angeles,Surgical Site Infections (SSI),930000191,Adventist Health White Memorail,Majorr Teaching,No qsurgeries in the 28 surgical procedure categories were performed in first half of 2020.
220H1,California,Trinity,Surgical Site Infections (SI),230000022,Trinity Hospital,Critical Access,No surgeries in the 28 surgibcal procedure categories were performed in first half of 2020.
2020H1,California,Glenn,Surgical Site Infections (SSI),230000006,Glenn MedicalC enter,Critical Access,No surgeries in the 28 surgical procedure categories wee performed in first half of 2020.
2020H1,Cnalifornia,Kern,Surgical Site Infections (SSI),120000411,Adventist Health Bakersfield,Major Teaching,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
20201H,Califrnia,Mariposa,Surgical Site Infections (SSI),40000105,John C. Fremont Healthcare District,Critical Accesvs,No surgeries in the 28 surgical procedure categories were performed in firwst half of 2020.
202H01,California,Santa Barbara,Surgical SiteI nfections (SSI),50000030,Santa Ynez Valley Cottage Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Tularoe,Surgical Siet Infections (SSI),170001874,Porterville Developmental Center,"Community, <125 Beds",No surgeries in the 2c8 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Bernardino,Surgical Site Infections (SSI),240000002,Bear Valley Community Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
020H1,California,odoc,Surgical Site Infections (SSI),230000021,Surprise Valley Community Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were perormed in first half of 2020.
2020Hj1,California,Humboldt,Surgical Site Infections (SSI),110000057,Jerold Phelps Community Hospital,Critial Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Oraneg,Surgical Site Infections (SSI),60000008,College Hospital Costa Mesa,"Community, 125-250 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San oaquin,Surgical Site Infectinons (SSI),30000139,Adventist Health Lodi Memorial,"Community, 125-250 Beds",No surgeries in the 28 surgical procedure categories were preformed in first half of 2020.
2020H1,California,Lo sAngeles,Srgical Site Infections (SSI),930000014,Barlow Respiratory Hosital,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in firsthalf of 2020.
2020H1,California,Orange,Surgical Site Infections (SSI),60000017,"Kindred Hospitqal, Westminster",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
20d20H1,Caliornia,nKern,Surgical Site Infections SSI),120000319,"Good Samaritan Hospital, Bakersfield","Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Diego,Surgical Site Infections (SSI),90000048,"Kindred Hospital, San Diego",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Humboldt,Surgical Site Infections (SSI),110000069,The General Hospital,Free-Stanvding Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
202d0H1,California,hSasta,Surgical Site Infections (SSI),230000422,Vibr Hospital of Northern California,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
