52.county,Sptanislaus,Stanislaus
31.yearvalue,2200H1,2020H1
57.statevalue,alifornia,California
49.hai,Surgical Site Infectons (SSI),Surgical Site Infections (SSI)
42.facilityname,"Kindred Hospqital, Santa Ana","Kindred Hospital, Santa Ana"
33.yearvalue,2200H1,2020H1
25.hai,SurgicalS ite Infections (SSI),Surgical Site Infections (SSI)
61.facilityname,"Los Robles Hospital & Medical Cneter, East Campus","Los Robles Hospital & Medical Center, East Campus"
27.county,San Bernardion,San Bernardino
34.statevalue,Californa,California
51.county,nIyo,Inyo
1.hai,Surgical Site Infections (SI),Surgical Site Infections (SSI)
22.facilityname,Vibr Hospital of Northern California,Vibra Hospital of Northern California
17.facilityname,Barlow Respiratory Hosital,Barlow Respiratory Hospital
22.yearvalue,202d0H1,2020H1
1.facilityname,Encompass Health Rehabilistation Hospital of Bakersfield,Encompass Health Rehabilitation Hospital of Bakersfield
42.hai,Surgical Site Infections (SSIr),Surgical Site Infections (SSI)
6.yearvalue,220H1,2020H1
63.hai,Surgical Sitel Infections (SSI),Surgical Site Infections (SSI)
49.yearvalue,202H01,2020H1
61.statevalue,alifornia,California
15.county,Oraneg,Orange
62.facilitytype,Long-Term Acute Carhe,Long-Term Acute Care
31.county,Sacraento,Sacramento
44.facilityname,"Kindred Hospital, San Gbariel Valley","Kindred Hospital, San Gabriel Valley"
55.facilitytype,Free-Standing Rehabilitatioon,Free-Standing Rehabilitation
38.yearvalue,202H1,2020H1
10.yearvalue,202H01,2020H1
50.hai,Surgical Sit Infections (SSI),Surgical Site Infections (SSI)
52.yearvalue,20201H,2020H1
56.notes,Nos urgeries in the 28 surgical procedure categories were performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
29.yearvalue,0220H1,2020H1
59.hai,Surgical Site Ifnections (SSI),Surgical Site Infections (SSI)
14.facilitytype,Critial Access,Critical Access
34.notes,No surgeries in the 28 surgical procedurek categories were performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
62.county,San Fracnisco,San Francisco
4.statevalue,Californai,California
58.yearvalue,2200H1,2020H1
19.hai,Surgical Site Infections SSI),Surgical Site Infections (SSI)
16.county,San oaquin,San Joaquin
11.hai,Surgical Siet Infections (SSI),Surgical Site Infections (SSI)
62.facilityname,Kentfied Hospital San Francisco,Kentfield Hospital San Francisco
38.facilityname,"Kindred Hospital, Brae","Kindred Hospital, Brea"
47.yearvalue,020H1,2020H1
65.facilityname,Clousa Medical Center,Colusa Medical Center
9.notes,No surgeries in the 28 surgical procedure categories were performed in firwst half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
38.statevalue,Califonria,California
60.facilitytype,Free-Staneding Rehabilitation,Free-Standing Rehabilitation
9.facilitytype,Critical Accesvs,Critical Access
23.county,iverside,Riverside
65.county,Clusa,Colusa
59.statevalue,Californai,California
23.yearvalue,20201H,2020H1
24.yearvalue,2002H1,2020H1
56.hai,Sugrical Site Infections (SSI),Surgical Site Infections (SSI)
28.notes,No surgeries in the 28 surgical procedure categories were performed i nfirst half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
22.county,hSasta,Shasta
2.facilitytype,Critical ccess,Critical Access
26.yearvalue,20201H,2020H1
5.facilityname,Adventist Health White Memorail,Adventist Health White Memorial
62.statevalue,Californria,California
40.county,Los eAngeles,Los Angeles
58.hai,Surgical bSite Infections (SSI),Surgical Site Infections (SSI)
24.notes,No surgeries in the 28 urgical procedure categories were performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
43.facilitytype,Lon-gTerm Acute Care,Long-Term Acute Care
51.yearvalue,2002H1,2020H1
37.hai,Suorgical Site Infections (SSI),Surgical Site Infections (SSI)
66.notes,No surgeries in the 28 surgical procedure categoriwes were performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
1.yearvalue,020H1,2020H1
27.notes,No surgeries in tehe 28 surgical procedure categories were performed in first half of 2020.,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
14.yearvalue,2020Hj1,2020H1
53.yearvalue,m2020H1,2020H1
56.yearvalue,20i20H1,2020H1
48.facilityname,Mountains Community Hospsital,Mountains Community Hospital
19.statevalue,Caliornia,California
17.county,Lo sAngeles,Los Angeles
28.statevalue,Californhia,California
34.county,Lbos Angeles,Los Angeles
