265.characteristic,"Total - Female, Blakc, non-Hispanic ","Total - Female, Black, non-Hispanic "
7.raceethnicity,"American Indian/Alaseka Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
220.noteoncount,Reporing standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
74.characteristic,Total  Hispanic,Total - Hispanic
313.sex,Fmale,Female
104.sex,Femanle,Female
74.raceethnicity,ispanic,Hispanic
260.sex,Femae,Female
228.raceethnicity,"Two or more races, onn-Hispanic","Two or more races, non-Hispanic"
327.characteristic,"Total - Fmeale, Two or more races, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
300.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable esstimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
11.characteristic,cTotal ,Total 
227.sex,Mlae,Male
7.noteoncount,Reporting standards not met. Either there are too few acses for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
159.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the cofeficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
49.sex,Feemale,Female
254.characteristic,"Total - Fmeale, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
130.noteoncount,Reporting standards not met. Eithe rthere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
72.raceethnicity,Hispanci,Hispanic
298.sex,Femael,Female
195.raceethnicity,"Asian, non-Higspanic","Asian, non-Hispanic"
315.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or hte coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
84.noteonpercent,Reporting standards not met. Either theer are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
162.noteoncount,Reporting standards not met. Either there are too few cases for a reliable zestimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
160.raceethnicity,"Black, non-Hispani c","Black, non-Hispanic "
94.raceethnicity,"Asain, non-Hispanic","Asian, non-Hispanic"
48.raceethnicity,"White, non-Hispsanic","White, non-Hispanic"
254.noteoncount,Reporting standards notmet. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
174.characteristic,"Total - Male, Hispanimc","Total - Male, Hispanic"
33.sex,Fepmale,Female
247.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 5 0percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
217.raceethnicity,"American Indian/Alaska Native, non-Hispnaic","American Indian/Alaska Native, non-Hispanic"
329.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent r greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
159.noteoncount,Reporitng standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
157.raceethnicity,"Black, onn-Hispanic ","Black, non-Hispanic "
231.sex,Mlae,Male
47.sex,Fmeale,Female
293.sex,emale,Female
275.characteristic,"oTtal - Female, Hispanic","Total - Female, Hispanic"
226.noteoncount,Data not avabilable.,Data not available.
91.characteristic,"Ttoal - Asian, non-Hispanic","Total - Asian, non-Hispanic"
310.noteoncount,Reporting standrads not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
134.sex,Femael,Female
316.characteristic,"Total - Female, Amergican Indian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
330.characteristic,"Total - Femal,e Two or more races, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
189.noteoncount,Data for 2000 through 2002 inclued Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
143.characteristic,"Total - Male, Whit, non-Hispanic","Total - Male, White, non-Hispanic"
266.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable esitmate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
9.characteristic,Totalg ,Total 
71.noteonpercent,Reporting standards not met. Either there are too few cases fr a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
194.noteonpercent,Data for 2000 through 2002 include acific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
16.characteristic,tTotal - Male,Total - Male
154.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimat eor the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
171.characteristic,"Totl - Male, Hispanic","Total - Male, Hispanic"
79.characteristic,Totals - Hispanic,Total - Hispanic
124.characteristic,"Total - American Indian/Alaska Native, non-Hsipanic","Total - American Indian/Alaska Native, non-Hispanic"
303.sex,emale,Female
178.characteristic,"Total -i Male, Hispanic","Total - Male, Hispanic"
320.noteonpercent,Reporting standards not met. Either there are too few cases fora  reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
23.raceethnicity,"American Indian/Alaska Native, non-Hispanci","American Indian/Alaska Native, non-Hispanic"
58.characteristic,"Total - Black, nokn-Hispanic ","Total - Black, non-Hispanic "
20.noteonpercent,Reporting standards not met. Either there are too few casesfor a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
113.raceethnicity,"American Indian/Alaska Native, non-Hispaic","American Indian/Alaska Native, non-Hispanic"
60.sex,Fmale,Female
135.noteonpercent,Rpeorting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
105.characteristic,"Total - Pacific Islander, on-Hispanic","Total - Pacific Islander, non-Hispanic"
149.raceethnicity,"White,non-Hispanic","White, non-Hispanic"
250.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greate.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
137.raceethnicity,"Two or more races, non-Hispanci","Two or more races, non-Hispanic"
314.characteristic,"Total - Female, American Indian/Alaka Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
243.sex,Fmale,Female
141.characteristic,"Toqtal - Male, White, non-Hispanic","Total - Male, White, non-Hispanic"
157.sex,Mael,Male
82.raceethnicity,Hisanic,Hispanic
199.noteonpercent,Datanot available.,Data not available.
154.characteristic,"Total - sMale, White, non-Hispanic","Total - Male, White, non-Hispanic"
117.raceethnicity,"American Indian/Alaska Native, non-Hispalnic","American Indian/Alaska Native, non-Hispanic"
128.characteristic,"Total - Two or monre races, non-Hispanic","Total - Two or more races, non-Hispanic"
260.raceethnicity,"lack, non-Hispanic ","Black, non-Hispanic "
306.characteristic,"Total - Female, Pacific Islander, non-Hispaniyc","Total - Female, Pacific Islander, non-Hispanic"
292.raceethnicity,"Asia, non-Hispanic","Asian, non-Hispanic"
288.raceethnicity,"Asian, non-Hislpanic","Asian, non-Hispanic"
13.raceethnicity,"American Indian/Alaska Native, non-Hispqanic","American Indian/Alaska Native, non-Hispanic"
195.sex,Mae,Male
300.sex,Fjemale,Female
130.characteristic,"Total - Two or more races, non-iHspanic","Total - Two or more races, non-Hispanic"
159.characteristic,"Total - Male, Back, non-Hispanic ","Total - Male, Black, non-Hispanic "
57.raceethnicity,"Black, non-Hispani c","Black, non-Hispanic "
240.raceethnicity,"Whie, non-Hispanic","White, non-Hispanic"
230.raceethnicity,"Two or more races, no-nHispanic","Two or more races, non-Hispanic"
59.raceethnicity,"Blcak, non-Hispanic ","Black, non-Hispanic "
64.sex,emale,Female
312.raceethnicity,"American Indiany/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
316.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estiamte or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
86.noteonpercent,Data for2000 through 2002 include Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
149.characteristic,"Total - aMle, White, non-Hispanic","Total - Male, White, non-Hispanic"
