34.pzerosevensixzeroonefive,185.0,90.0
34.pzerosevensixzerooneseven,141.0,80.0
34.pzerosevensixzerozeroone,5007.0,4930.0
6.area,0.2104,0.73278
2.areaname,CLAYTON PUBLIC SCHOOLS,CHAMA VALLEY INDEPENDENT SCHOOLS
5.snthreefivedzerozeroi,4.0,5
34.pzerosevensixzeroonesix,191.0,95.0
6.rgiscode,3500990.0,3500390
7.namevalue,CHAMA VALLEY INDEPENDENT SCHOOLS,DES MOINES MUNICIPAL SCHOOLS
6.sdu,990.0,390
34.stfid,3500280,3500210
7.snthreefivedzerozero,5.0,8
31.pzerosevensixzerozeronine,320.0,300.0
31.pzerosevensixzerozeroeight,369.0,345.0
1.area,0.2104,0.6857
34.pzerosevensixzeroonetwo,424.0,415.0
6.perimeter,1.78526,3.65803
6.snthreefivedzerozero,5.0,7
4.stfid,3500510.0,3500150
31.pzerosevensixzerozerofour,495.0,410.0
5.stfid,3500510.0,3500990
31.pzerosevensixzerozeroseven,370.0,290.0
5.snthreefivedzerozero,5.0,6
4.rgiscode,3500990.0,3500150
31.pzerosevensixzeroonezero,402.0,325.0
7.gid,3.0,6
3.sdu,510.0,810
34.pzerosevensixzeroonefour,325.0,260.0
2.snthreefivedzerozeroi,4.0,2
2.sdu,990.0,420
31.pzerosevensixzerooneone,460.0,385.0
7.perimeter,3.27361,2.67367
5.gid,3.0,4
6.namevalue,DULCE INDEPENDENT SCHOOLS,CENTRAL CONSOLIDATED SCHOOLS
4.namevalue,DULCE INDEPENDENT SCHOOLS,AZTEC MUNICIPAL SCHOOLS
31.pzerosevensixzerozerotwo,471.0,385.0
1.perimeter,1.78526,5.13105
5.namevalue,DULCE INDEPENDENT SCHOOLS,FARMINGTON MUNICIPAL SCHOOLS
1.namevalue,CHAMA VALLEY INDEPENDENT SCHOOLS,CLAYTON PUBLIC SCHOOLS
31.pzerosevensixzerozerothree,364.0,325.0
3.snthreefivedzerozeroi,4.0,3
3.snthreefivedzerozero,5.0,4
3.stfid,3500510.0,3500810
2.perimeter,2.74672,2.90021
7.sdu,510.0,720
31.pzerosevensixzeroonethree,595.0,535.0
4.area,0.30614,0.10793
2.area,0.2104,0.30772
31.namevalue,BERNALILLO PUBLIC SCHOLS,BERNALILLO PUBLIC SCHOOLS
7.snthreefivedzerozeroi,4.0,7
1.snthreefivedzerozeroi,4.0,1
2.rgiscode,3500510.0,3500420
4.sdu,990.0,150
34.areaname,BERNALIjLLO PUBLIC SCHOOLS,BERNALILLO PUBLIC SCHOOLS
3.rgiscode,3500510.0,3500810
3.area,0.30614,0.33831
6.stfid,3500420.0,3500390
34.rgiscode,3500237,3500210
34.pzerosevensixzerozerofive,429.0,420.0
1.snthreefivedzerozero,3.0,2
31.pzerosevensixzerozerosix,314.0,280.0
6.areaname,CLAYTON PUBLIC SCHOOLS,CENTRAL CONSOLIDATED SCHOOLS
