OBJECTID,SLRU_ID,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_CD,SLRU_NR,ADMIN_FO_NM,SLRU_EVAL,SLRU_ORIG_DT,SLRU_MOD_DT,SL_OVRL_RT,SL_OVRL_TX,SLRU_NRTV,GlobalID,created_date,last_edited_date,SHAPE_Length,SHAPE_Area
49,SLCON03000001,CO,N03000,COG01000,001,Grand Junction Field Office,Otak,2009/09/01 00:00:00+00,,High,Unknown,,{3D7249A8-771B-4B98-A7FC-7DC4E3993375},,2021/03/02 18:30:57+00,1434360.83916391,2035114782.56249
50,SLCON03000002,CO,N03000,COG01000,002,Grand Junction Field Office,Otak,2009/09/01 00:00:00+00,,Low,Unknown,,{B087AD17-D3E0-4A5C-A2B8-E3789F6AC47D},,2021/03/02 18:35:46+00,927091.065443668,1876642948.18028
51,SLCON03000003,CO,N03000,COG01000,003,Grand Junction Field Office,Otak,2009/09/01 00:00:00+00,,Moderate,Unknown,,{465B6D07-2533-49FF-A772-B78DAD5DCF89},,2021/03/02 18:24:56+00,1647919.44482984,3280107556.25497
53,SLCON03000005,CO,N03000,COG01000,005,Grand Junction Field Office,Otak,2009/09/01 00:00:00+00,,None,Unknown,,{736F43F4-9AD4-4AE1-B908-EB391EEA89C1},,,205187.850939106,278205231.096214
54,SLCON03000006,CO,N03000,COG01000,006,Grand Junction Field Office,Otak,2009/09/01 00:00:00+00,,None,Unknown,,{39E88235-31A1-4634-B771-4F6FD2CCC7A4},,,132235.475982236,124431231.72247
55,SLCOS05000001,CO,S05000,COS05000,001,Uncompahgre,Otak,2009/09/30 00:00:00+00,,High,Unknown,,{38254BC0-5477-4B82-9E82-FB06CD890D94},,2017/12/19 16:44:56+00,1676667.06476274,2928070520.83541
56,SLCOS05000002,CO,S05000,COS05000,002,Uncompahgre,Otak,2009/09/30 00:00:00+00,,Low,Unknown,,{75BF1ECA-D005-472C-BABF-E70BBA8D50F1},,2017/12/19 16:45:04+00,932724.58082095,1444955561.79494
57,SLCOS05000003,CO,S05000,COS05000,003,Uncompahgre,Otak,2009/09/30 00:00:00+00,,Moderate,Unknown,,{22729788-DA56-4530-BEB4-6197D9D236AD},,2017/12/19 16:45:12+00,1435226.25144846,2920183287.1429
58,SLCOS05000004,CO,S05000,COS05000,004,Uncompahgre,Otak,2009/09/30 00:00:00+00,,None,Unknown,,{A4C41C4C-073F-43BD-BD11-A084FE6CC121},,2017/12/19 16:45:15+00,1492023.1076083,5575414930.37617
59,SLCOS05000005,CO,S05000,COS05000,005,Uncompahgre,Otak,2009/09/30 00:00:00+00,,None,Unknown,,{95FD638F-C873-44AA-A8DC-305D136296A8},,2017/12/19 16:45:34+00,86591.7985106465,146667407.859742
60,SLCON04000060,CO,N04000,COG02000,060,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{0FB891C6-79A9-4C6F-AFE0-1247D2DB1B29},,2018/02/20 19:25:48+00,9896.13775773293,5199987.48638777
61,SLCON04000061,CO,N04000,COG02000,061,Colorado River Valley Field Office,Unknown,9999/09/09 00:00:00+00,,Moderate,Unknown,,{BFD4D0EA-F79C-4BFC-B714-65195609E86F},,2018/02/20 19:26:01+00,2228.57063336504,373626.184502859
