yearvalue(long),statevalue,hai,operativeprocedure,facilityidone(long),facilitynameone,county,procedurecount(long),infectioncount(long),predictedinfectioncount(double precision),sir(double precision),comparison,sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),notes
2014,California,"Healthcare Associated Infection, Surgical Ste Infections (SSI)",Abdominal aortic aneurysm repair,60000002.0,AHMC Anaheim Regional Medical Center,Orange,11,0,0.124,0.0,No Difference,0.0,1.91,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000005.0,Alhambra Hospital Medical Center,Los Angeles,1,0,0.01,0.0,No Differdence,0.0,1.91,"Hospitals reported combined data, see Data Dictionary"
1860,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000425.0,Alta Bates Summit Medical Center,Alameda,2,0,0.043,0.0,No Difference,0.0,1.91,"Hospitals reported combined data, see Data Dictionary"
1680,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008.0,Antelope Valley Hospital,Los Angeles,1,0,0.012,0.0,eNo Difference,0.0,1.91,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000022.0,California Pacific Medical Center - Pacific Campus Hospital,San Francisco,3,0,0.056,0.0,No Difference,0.0,1.91,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000004.0,Cedars-Sinai Medical Center,Los Angeles,12,0,0.282,0.0,No Difference,0.0,1.91,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000014.0,Children's Hospital & Research Center Oakland,Alameda,7,0,0.086,0.0,No Difference,0.0,1.91,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,40000129.0,Children's Hospital Central California,Madera,15,0,0.5,0.0,No Difference,0.0,1.91,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000034.0,Childrens Hospital Los Angeles,Los Angeles,20,0,0.181,0.0,No Difference,0.0,1.91,"Hospitals reported combined data, see Data Dictionary"
2014,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,70000137.0,Community Hospital of The Monterey Peninsula,Monterey,1,0,0.01,0.0,No Difference,0.0,1.91,"Hospitals reported combined data, see Data Dictionary"
