x(double precision),y(double precision),objectid(long),namevalue,address,city,zipcode(long),phone,url
1224979.0,256668.829999998,1,MAIN,1420 GARDINER LANE,LOUISVILLE,40231,454-1763,https://www.usps.com/
1223636.0,459964.6464414718,65,CAMP TAYLOR,4500 ANNSHIRE AVENUE,LOUISVILLE,40213,454-1881,https://www.usps.com/
979356.1793177826,263491.939999998,3,SHELBY STATION,2312 S PRESTON STREET,LOUISVILLE,40217,637-1412,https://www.usps.com/
1228831.25,266591.409999996,4,CHEROKEE,2240 TAYLORSVILLE ROAD,LOUISVILLE,40205,454-1881,https://www.usps.com/
1216889.63,272947.310000002,5,BAXTER,1527 HIGHLAND AVENUE,LOUISVILLE,40204,584-6045,https://www.usps.com/
1208650.13,254478.840000004,6,STANDIFORD,4440 CRITTENDEN DRIVE,LOUISVILLE,40221,375-5886,https://www.usps.com/
1235631.88,258519.019999996,7,BUECHEL,2259 HIKES LANE,LOUISVILLE,40218,454-1881,https://www.usps.com/
1980596.543442609,459811.8500595441,8,IROQUOIS,4772 ALLMOND AVENUE,LOUISVILLE,40209,366-6614,https://www.usps.com/
1204434.75,251895.450000003,9,BEECHMONT,307 W WOODLAWN AVENUE,LOUISVILLE,40214,366-5839,https://www.usps.com/
1205817.25,274439.310000002,10,DOWNTOWN,835 S 7TH STREET,LOUISVILLE,40203,584-6045,https://www.usps.com/
1207745.13,277382.439999998,11,4TH STREET LIVE,411 S 4TH STREET,LOUISVILLE,40202,584-6045,https://www.usps.com/
1233886.5,207001.91340809333,12,MASONIC HOME,290 MASONIC HOME DRIVE,LOUISVILLE,40041,893-7621,https://www.usps.com/
1245668.38,263740.090000004,13,HIKES POINT,3050 HUNSINGER LANE,LOUISVILLE,40220,456-4557,https://www.usps.com/
1230395.75,412322.08247482375,14,OKOLONA,7400 JEFFERSON BLVD,LOUISVILLE,40219,964-2990,https://www.usps.com/
1195994.88,276892.060000002,15,MARTIN LUTHER KING JR,2727 W BROADWAY,LOUISVILLE,40211,776-7439,https://www.usps.com/
1562688.142540977,275880.840000004,16,ST MATTHEWS,4600 SHELBYVILLE ROAD,LOUISVILLE,40207,893-3534,https://www.usps.com/
1185258.63,258352.780000001,66,SHIVELY,3131 CRUMS LANE,LOUISVILLE,40216,449-1121,https://www.usps.com/
1238280.75,297785.840000004,18,GLENVIEW,4330 GLENVIEW AVENUE,LOUISVILLE,40025,893-7645,https://www.usps.com/
1254672.25,241528.810000002,19,HIGHVIEW,9100 FERN CREEK ROAD,LOUISVILLE,40291,239-2720,https://www.usps.com/
1206739.75,223576.75,20,FAIRDALE,411 MOUNT HOLLY ROAD,LOUISVILLE,40118,367-7676,https://www.usps.com/
889731.8748683431,267088.939999998,21,PLAINVIEW,9858 LINN STATION ROAD,LOUISVILLE,40223,245-5791,https://www.usps.com/
1261580.0,253736.030000001,22,JEFFERSONTOWN,3801 BILLTOWN ROAD,LOUISVILLE,40299,267-6126,https://www.usps.com/
1038462.9160131488,239084.090000004,23,PLEASURE RIDGE PARK,6121 GREENWOOD ROAD,LOUISVILLE,40258,933-4841,https://www.usps.com/
1269785.75,281548.560000002,24,ANCHORAGE,11501 PARK ROAD,LOUISVILLE,40223,245-1008,https://www.usps.com/
1272920.0,274336.719999999,25,MIDDLETOWN,119 N EVERGREEN ROAD,LOUISVILLE,40243,244-3120,https://www.usps.com/
1248121.5,310346.090000004,26,PROSPECT,9527 US HIGHWAY 42,PROSPECT,40058,228-0966,https://www.usps.com/
1173619.38,222511.719999999,27,VALLEY STATION,10642 DIXIE HIGHWAY,LOUISVILLE,40272,937-4351,https://www.usps.com/
1295064.63,268900.129999995,-21,EASTWOOD,16207 EASTWOOD CUT OFF,EASTWOOD,40018,245-0075,https://www.usps.com/
1502438.443885089,280998.849999994,29,LYNDON,8127 LA GRANGE RD,LOUISVILLE,40222,425-4547,https://www.usps.com/
1243246.0,304392.409999996,60,HARRODS CREEK,6319 RIVER RD,LOUISVILLE,40027,228-3513,https://www.usps.com/
1254917.5,241280.189999998,31,FERN CREEK,6302 BARDSTOWN RD,LOUISVILLE,40291,231-0110,https://www.usps.com/
1292340.13,253453.239999995,32,FISHERVILLE,15125 OLD TAYLORSVILLE RD,LOUISVILLE,40023,267-4286,https://www.usps.com/
