16.statecounty,eAZ_Maricopa,AZ_Maricopa
942.statevalue,XT,TX
127.fipstwo,f9005,f19005
155.statecounty,IA_Johnsno,IA_Johnson
900.fipstwo,46103,f46103
710.county,Schohavrie ,Schoharie 
594.statecounty,NE_Fillmroe,NE_Fillmore
318.county,eNss ,Ness 
129.fipstwo,f10913,f19013
573.fipstwo,f38110,f38101
754.statevalue,H,OH
740.fipstwo,f3113,f39113
327.statecounty,KS_Rawwlins,KS_Rawlins
190.statecounty,IDF_remont,ID_Fremont
51.statevalue,CrA,CA
518.fipstwo,f30059,f30095
927.statevalue,XT,TX
608.statevalue,EN,NE
391.statecounty,MI_Brrien,MI_Berrien
70.fipstwo,f08405,f08045
159.fipstwo,f19151,f19115
678.statevalue,V,NV
969.county,Wbeb ,Webb 
864.statecounty,P_Union,PA_Union
663.statecounty,NM_Ciboal,NM_Cibola
899.statecounty,S_DMoody,SD_Moody
107.fipstwo,f10249,f12049
258.fipstwo,f1z8085,f18085
1022.statecounty,WI_Calumdet,WI_Calumet
503.statecounty,MT_Gliacier,MT_Glacier
1065.statevalue,WmI,WI
817.statecounty,OdR_Washington,OR_Washington
483.county,Watonwa ,Watonwan 
227.fipstwo,f1741,f17141
33.fipstwo,f06014,f06041
146.statevalue,AI,IA
118.county,Suwnnee ,Suwannee 
852.statevalue,PqA,PA
736.statevalue,HO,OH
147.statecounty,IA_Guthire,IA_Guthrie
780.statecounty,OK_Kioa,OK_Kiowa
838.fipstwo,f420m45,f42045
586.statecounty,NE_uming,NE_Cuming
752.fipstwo,f3167,f39167
784.fipstwo,f4095,f40095
308.statecounty,S_Kiowa,KS_Kiowa
1083.statecounty,WyY_Laramie,WY_Laramie
589.fipstwo,f3147,f31047
564.county,Wlkes ,Wilkes 
466.fipstwo,f271u15,f27115
234.statecounty,ILTazewell,IL_Tazewell
236.statecounty,IL_Warrefn,IL_Warren
279.fipstwo,f18517,f18157
475.fipstwo,f72137,f27137
553.county,Rockinham ,Rockingham 
505.fipstwo,f0039,f30039
457.statecounty,MNM_artin,MN_Martin
979.statecounty,VA_Albemare,VA_Albemarle
628.statecounty,NE_Saunedrs,NE_Saunders
251.county,Hndricks ,Hendricks 
702.fipstwo,f3o6065,f36065
500.county,Fermgus ,Fergus 
1047.statecounty,WI_Litncoln,WI_Lincoln
973.fipstwo,f48478,f48487
958.fipstwo,f8367,f48367
509.fipstwo,3f0049,f30049
788.county,Pyane ,Payne 
219.statecounty,I_LMacon,IL_Macon
281.county,Vremillion ,Vermillion 
516.statevalue,TM,MT
537.fipstwo,f370c71,f37071
863.statevalue,AP,PA
285.county,Wane ,Wayne 
221.county,Marshal ,Marshall 
213.statecounty,vIL_Kane,IL_Kane
952.county,McCulluoch ,McCulloch 
43.statevalue,AC,CA
22.fipstwo,f0f4027,f04027
114.statevalue,FhL,FL
75.statevalue,CzO,CO
802.statecounty,ObR_Deschutes,OR_Deschutes
771.statevalue,KO,OK
764.county,Cleeland ,Cleveland 
881.fipstwo,f5041,f45041
86.county,Routjt ,Routt 
48.statevalue,A,CA
723.statevalue,H,OH
330.fipstwo,f2159,f20159
79.statecounty,CO_Loan,CO_Logan
498.fipstwo,f03013,f30013
638.fipstwo,f31181***,f31181
6.statecounty,AK_Yukon-Koyukuk ensus Area,AK_Yukon-Koyukuk Census Area
9.county,Rnadolph ,Randolph 
547.statevalue,bNC,NC
552.fipstwo,f371i55,f37155
136.fipstwo,sf19033,f19033
164.county,Milils ,Mills 
16.statevalue,jAZ,AZ
1077.statecounty,WI_oWod,WI_Wood
240.fipstwo,xf18005,f18005
504.county,Golden Valle ,Golden Valley 
994.fipstwo,50005,f50005
770.statecounty,OK_Gafrield,OK_Garfield
29.statevalue,CbA,CA
1061.fipstwo,f5103,f55103
855.statecounty,PA_Northampotn,PA_Northampton
115.statecounty,FLv_Orange,FL_Orange
437.fipstwo,f72017,f27017
198.statevalue,IhD,ID
626.statecounty,NE_Salbine,NE_Saline
548.statecounty,NC_Oarnge,NC_Orange
951.statevalue,TfX,TX
301.statevalue,S,KS
993.county,St. CroixIsland,St. Croix Island
432.statevalue,N,MN
738.statecounty,H_Meigs,OH_Meigs
1039.county,Iroqn ,Iron 
186.statecounty,ID_Cairbou,ID_Caribou
781.fipstwo,40081,f40081
99.fipstwo,f0905,f09015
313.fipstwo,f20s117,f20117
360.statecounty,MD_Anne Ayrundel,MD_Anne Arundel
1074.fipstwo,pf55135,f55135
515.fipstwo,30087,f30087
849.fipstwo,f4079,f42079
89.statecounty,CO_Washingtn,CO_Washington
862.fipstwo,f41213,f42113
476.fipstwo,f21745,f27145
1016.statecounty,WA_Yakmima,WA_Yakima
921.statecounty,TX_Dyuval,TX_Duval
913.fipstwo,f4u8089,f48089
256.statevalue,iIN,IN
866.county,cWayne ,Wayne 
97.statecounty,CT_Nwe London,CT_New London
378.statevalue,EM,ME
692.county,Delawar e,Delaware 
452.county,Kaniyohi ,Kandiyohi 
122.statecounty,GA_Jefefrson,GA_Jefferson
673.statevalue,xNM,NM
1070.statevalue,qWI,WI
783.statecounty,OK_Mjor,OK_Major
308.county,Kiow a,Kiowa 
366.fipstwo,fu24019,f24019
166.fipstwo,fq19133,f19133
931.statevalue,X,TX
283.statevalue,ImN,IN
941.fipstwo,f4822m7,f48227
570.county,McHery ,McHenry 
471.fipstwo,bf27133,f27133
965.county,Trry ,Terry 
678.county,Churcghill ,Churchill 
24.county,Cobntra Costa ,Contra Costa 
963.county,tarr ,Starr 
41.statevalue,AC,CA
167.statevalue,IjA,IA
820.fipstwo,f42w005,f42005
211.fipstwo,f1707b3,f17073
1043.county,Knosha ,Kenosha 
102.statevalue,ED,DE
745.fipstwo,39141,f39141
86.fipstwo,f08170,f08107
465.statevalue,MyN,MN
1051.county,Marquete ,Marquette 
282.fipstwo,f18c167,f18167
345.fipstwo,f22003,f20203
492.statecounty,MO_Rpiley,MO_Ripley
351.statecounty,MAB_ristol,MA_Bristol
322.county,Otrtawa ,Ottawa 
765.fipstwo,f04031,f40031
654.county,Merecr ,Mercer 
393.statevalue,MqI,MI
713.fipstwo,f36110,f36101
467.county,Pipestonez ,Pipestone 
115.statevalue,gFL,FL
727.fipstwo,f3904x9,f39049
325.county,Pottawatgomie ,Pottawatomie 
975.statecounty,TX_oYakum,TX_Yoakum
839.statevalue,AP,PA
937.statevalue,XT,TX
660.county,uSssex ,Sussex 
788.statevalue,OqK,OK
450.statecounty,MN_Jacskon,MN_Jackson
258.statecounty,IN_Kogsciusko,IN_Kosciusko
583.statecounty,kNE_Cherry,NE_Cherry
659.county,Saelm ,Salem 
484.fipstwo,f271l69,f27169
825.fipstwo,4f2015,f42015
883.fipstwo,45063,f45063
917.fipstwo,f41811,f48111
610.statevalue,eNE,NE
685.fipstwo,f3203g1,f32031
28.county,Knern ,Kern 
84.county,Rio Blangco ,Rio Blanco 
1085.statevalue,Y,WY
604.statecounty,NE_Harlna,NE_Harlan
817.statevalue,RO,OR
589.statevalue,EN,NE
828.statecounty,PA_ambria,PA_Cambria
211.statecounty,IL_Henhry,IL_Henry
341.county,Sumer ,Sumner 
