date,city,state,venue
1/2/2014,Syracuse,NY,The Westcott Theater
1/3/2014,Shirley,MA,Bull Run Restaurant
1/5/2014,Falls Church,VA,State Theatre Falls Church
1/11/2014,New York,NY,Gramercy Theatre
1/12/2014,Lancaster,PA,Chameleon Club
1/14/2014,Charlotte,NC,Amos' Southend
1/15/2014,Charleston,SC,Music Farm
1/17/2014,Greenville,SC,The Handlebar
1/19/2014,Stroudsburg,PA,Sherman Theater
1/20/2014,Annapolis,MD,Rams Head On Stage
1/21/2014,Englewood,NJ,Bergen Performing Arts Center
1/23/2014,Kent,OH,The Kent Stage
1/24/2014,Columbus,OH,Woodlands Tavern
1/25/2014,Chicago,IL,Concord Music Hall
2/13/2014,Clinton,NY,Hamilton College Chapel
2/15/2014,Asbury Park,NJ,The Stone Pony
2/16/2014,Ogunquit,ME,Jonathan's
2/18/2014,Buffalo,NY,Iron Works
2/20/2014,Ardmore,PA,Ardmore Music Hall
2/21/2014,State College,PA,State Theater - State College
4/10/2014,Live Oak,FL,Suwannee Music Park
4/10/2014,Live Oak,FL,Suwannee Music Park
4/13/2014,Myrtle Beach,SC,The Boat House
4/16/2014,Durham,NC,Carolina Theatre
5/4/2014,West Palm Beach,FL,Downtown West Palm Beach
5/16/2014,Detroit,MI,Saint Andrews Hall
5/19/2014,Englewood,NJ,Bergen Performing Arts Center
5/21/2014,Glen Allen,VA,Innsbrook After Hours
5/22/2014,Pittsburgh,PA,Stage AE
5/23/2014,Huntington,NY,The Paramount
5/24/2014,Atlantic City,NJ,The Social at Revel Beach
5/29/2014,Washington,DC,9:30 Club
5/30/2014,Hampton Beach,NH,Hampton Beach Casino Ballroom
5/31/2014,Newport,RI,Newport Yachting Center
6/1/2014,Baldwinsville,NY,Papermill Island
6/14/2014,Saint Louis,MO,Blueberry Hill
6/15/2014,Omaha,NE,The Waiting Room
6/19/2014,Columbus,OH,Park Street Saloon
6/26/2014,Stowe,VT,Rusty Nail
6/27/2014,Oneonta,NY,Oneonta Theatre
6/28/2014,Clifton Park,NY,Upstate Concert Hall
7/4/2014,Indianapolis,IN,Old National Centre
7/8/2014,Flint,MI,The Machine Shop
7/10/2014,Bloomington,IL,The Castle Theatre
7/11/2014,Washburn,WI,Big Top Chautauqua
7/29/2014,Asbury Park,NJ,The Stone Pony
7/30/2014,Dewey Beach,DE,Bottle & Cork
7/31/2014,Bridgeport,CT,Seaside Park
8/17/2014,Cincinnati,OH,Taft Theatre
8/28/2014,Nags Head,NC,Kelly's
9/12/2014,New Hope,PA,Havana New Hope
9/13/2014,Plymouth,NH,The Flying Monkey
9/16/2014,Wilmington,DE,World Cafe Live-Wilmington
9/18/2014,Stanhope,NJ,Stanhope House
9/19/2014,New York,NY,B.B. King Blues Club & Grill
9/27/2014,Chillicothe,IL,Three Sisters Park
10/9/2014,Stroudsburg,PA,Sherman Theater
10/24/2014,Laramie,WY,Gryphon Theatre
10/25/2014,Englewood,CO,Gothic Theatre
10/26/2014,Grand Junction,CO,Mesa Theater and Club
10/27/2014,Park City,UT,Park City Live
10/29/2014,Missoula,MT,Top Hat Lounge
11/1/2014,Seattle,WA,Tractor Tavern
11/4/2014,Oakland,CA,The New Parish
11/5/2014,Napa,CA,City Winery - Napa
11/6/2014,Saratoga,CA,Carriage House Theatre
11/7/2014,Las Vegas,NV,Red Rock Casino Resort Spa
12/11/2014,Stroudsburg,PA,Sherman Theater
12/13/2014,Norfolk,CT,Infinity Hall
12/14/2014,Ogunquit,ME,Jonathan's
12/19/2014,Aspen,CO,Belly Up Aspen
12/27/2014,Huntington,NY,The Paramount
12/28/2014,Shirley,MA,Bull Run Restaurant
12/29/2014,Warrendale,PA,Jergel's Rhythm Grille
12/31/2014,Niagara Falls,NY,Rapids Theatre
