X,Y,OBJECTID,EvaluationID,PlotID,SiteName,VisitType,SamplingApproach,PlotLayout,CowardinAttribute,HGMClass,WetlandType,EcotypeAlaska,AdminState,StateCode,SpeciesState,WetlandIndicatorRegion,FieldEvalDate,LatitudeWGS84,LongitudeWGS84,Elevation_m,ProtocolVersion,SppInv_Richness_Cnt,SppInv_CValue_Avg,SppInv_Native_Pct,SppInv_Nonnative_Pct,SppInv_Noxious_Cnt,SppInv_Hydrophyte_Pct,SppInv_HydroFAC_Pct,SppInv_Forb_Pct,SppInv_Graminoid_Pct,SppInv_Shrub_Pct,SppInv_Tree_Pct,SppInv_Annual_Pct,SppInv_Perennial_Pct,NumSpp_PreferredForb,Spp_PreferredForb,TotalFoliarCover,AH_BasalCover,AH_NativeCover,AH_NonnativeCover,AH_NoxiousCover,AH_HydrophyteCover,AH_HydroFACCover,AH_ForbCover,AH_GraminoidCover,AH_ShrubCover,AH_TreeCover,AH_AnnualCover,AH_PerennialCover,AH_AnnualGraminoidCover,AH_PreferredForbCover,AH_TotalLitterThatchCover,AH_MossCover,AH_AlgaeCover,AH_LichenCover,AH_RockCover,AH_SaltCrustCover,AH_WaterCover,FH_TotalLitterThatchCover,FH_MossCover,FH_AlgaeCover,FH_LichenCover,FH_RockCover,FH_SaltCrustCover,FH_WaterCover,BareSoilCover,BareOrganicMaterialCover,Hgt_Herbaceous_Avg,Hgt_Herbaceous_Cnt,Hgt_Woody_Avg,Hgt_Woody_Cnt,Hgt_Water_Avg,Hgt_Water_Cnt,Hgt_AllLitterThatch_Avg,Hgt_AllLitterThatch_Cnt,Hgt_HerbLitter_Avg,Hgt_HerbLitter_Cnt,Hgt_WoodyLitter_Avg,Hgt_WoodyLitter_Cnt,Hgt_DecidLitter_Avg,Hgt_DecidLitter_Cnt,WS_HgtClass1_PctQdrts,WS_HgtClass2_PctQdrts,WS_HgtClass3_PctQdrts,WS_HgtClass4_PctQdrts,WS_HgtClass5_PctQdrts,WS_HgtClass6_PctQdrts,WS_WoodySpp_PctQdrts,WS_DominantHgtClass,WS_WoodyHgtClass_Cnt,WS_Rhizomatous_Cnt,WS_Seedling_Cnt,WS_Young_Cnt,WS_Mature_Cnt,WS_Rhizomatous_PctQdrts,WS_Seedling_Pct,WS_Young_Pct,WS_Mature_Pct,H_Hummock_Cnt,H_Hummock_Pct,H_HummockHgt_Avg,H_HummockWidth_Avg,H_HummockTroughWidth_Avg,H_HummockSlope_Avg,H_HummockVegCover_Avg,WQ_SampleCnt,GapCover_25_50,GapCover_51_100,GapCover_101_200,GapCover_201_plus,GapCover_25_plus,SoilStability_All,SoilStability_Protected,SoilStability_Unprotected,GlobalID
-116.234837333,35.883773337,1,CA-CDD-TW-22005_2022-04-19,CA-CDD-TW-22005,Amargosa Vole Restoration,Full Sample Visit,Targeted,Spoke,PEMF,Slope,Marsh,,CA,CA,CA,Arid West,2022/04/19 12:00:00+00,35.88377334,-116.23483733,409,March 2022 Draft,3,4.83,100,0,0,66.67,100,0,100,0,0,0,100,0,,50.67,2,50.67,0,0,45.33,50.67,0,50.67,0,0,0,50.67,0,0,100,0,0,0,0,0,98.67,49.33,0,0,0,0,0,0,0,0,128.47,30,,0,4.23,30,90.4,30,90.4,30,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,,,3,,,,,,,,,{624FBC40-7EDA-47C7-9257-2A93B4EEF6B8}
-116.236220578,35.881145083,2,CA-CDD-TW-22001_2022-04-19,CA-CDD-TW-22001,Amargosa WSR,Full Sample Visit,Targeted,Spoke,PEMD,Slope,Wet or Mesic Meadow,,CA,CA,CA,Arid West,2022/04/19 12:00:00+00,35.88114508,-116.23622058,409,March 2022 Draft,6,6.22,100,0,0,66.67,83.33,33.33,66.67,0,0,16.67,83.33,2,"ALPA14; TRMA20",95.33,0,95.33,0,0,0,95.33,0,95.33,0,0,0,95.33,0,0,93.33,0,0,0,0.67,0,96.67,4.67,0,0,0,0,0,0,0,0,41.13,30,,0,4.57,30,21.03,30,21.03,30,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,,,1,,,,,,,,,{19E3640E-5D89-418C-8CBC-847448AE56D1}
-116.236513082,35.8791672900001,3,CA-CDD-TW-22006_2022-04-20,CA-CDD-TW-22006,Amargosa Vole Restoration,Full Sample Visit,Targeted,Spoke,PEMF,Slope,Marsh,,CA,CA,CA,Arid West,2022/04/20 12:00:00+00,35.87916729,-116.23651308,409,March 2022 Draft,3,4.83,100,0,0,66.67,100,0,100,0,0,0,100,0,,98.67,0,98.67,0,0,98.67,98.67,0,98.67,0,0,0,98.67,0,0,100,0,0,0,0,0,90,1.33,0,0,0,0,0,0,0,0,118.17,30,,0,5.57,28,57.2,30,57.2,30,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,,,0,,,,,,,,,{1EB0BBBC-37BA-495F-90C6-ACF2B9427E6D}
-116.23339355,35.8848859510001,4,CA-CDD-TW-22002_2022-04-19,CA-CDD-TW-22002,Amargosa Vole Restoration,Full Sample Visit,Targeted,Spoke,PEMF,Slope,Marsh,,CA,CA,CA,Arid West,2022/04/19 12:00:00+00,35.88488595,-116.23339355,404,March 2022 Draft,2,4.83,100,0,0,50,100,0,100,0,0,0,100,0,,80,0,80,0,0,58,80,0,80,0,0,0,80,0,0,97.33,0,0,0,0,0,100,20,0,0,0,0,0,0,0,0,81.53,30,,0,3.73,30,67.07,30,67.07,30,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,,,1,,,,,,,,,{D871BCC6-27CC-43C7-B8C7-2F53EECCEF4F}
-113.48476558,37.122129919,5,UT-CLD-TW-21015_2022-04-20,UT-CLD-TW-21015,Virgin River Riparian,Full Sample Visit,Targeted,Transverse,RpSS,Riverine,Riparian Shrubland,,UT,UT,UT,Arid West,2022/04/20 12:00:00+00,37.12212992,-113.48476558,799,March 2022 Draft,28,1.52,60,40,3,26.09,43.48,20,28,40,12,25,75,2,"DAWR2; MEDIC",65.33,2,35.33,44.67,40,54.67,56,0,42,36.67,0,2,64,2,0,67.33,0,0,0,0,0,5.33,20.67,0,0,0,0,0,2.67,10.67,0,113.48,29,162.76,21,27,1,40.67,30,45.08,25,28,3,4.5,2,19.61,29.41,54.9,45.1,3.92,0,92.16,Height Class 3 (>1.0 - 2.0 m),99,36,1,12,30,70.59,2.33,27.91,69.77,0,0,,,,,,2,,,,,,,,,{0D74CE60-79FA-484C-A359-B68B31E78DCE}
-119.71937005,39.752585256,6,NV-NCD-RW-22506_2022-04-28,NV-NCD-RW-22506,Hungry Spring,Full Sample Visit,Random,Linear,PEMF,Slope,Spring or Seep,,NV,NV,NV,Arid West,2022/04/28 12:00:00+00,39.75258526,-119.71937005,1471,March 2022 Draft,31,0.92,53.85,46.15,3,23.08,42.31,53.33,30,16.67,0,43.33,56.67,9,"ERNA10; VEAN2; TRDU; COPA3; ERCI6; TECA2; TAOF; IVAX; JUEN",76.67,2.67,56.67,26,0,50,68,6.67,65.33,9.33,0,4,74,2,5.33,74.67,0,2,0,3.33,0,4.67,17.33,0,1.33,0,0.67,0,0.67,3.33,0,30.86,28,72.89,9,5.5,4,25.48,27,25.38,26,28,1,,0,31.37,50.98,27.45,0,0,0,70.59,Height Class 2 (>0.5 - 1.0 m),80,0,1,23,6,0,3.33,76.67,20,0,0,,,,,,1,,,,,,,,,{39202B02-36EE-4FEA-A956-D5E69788D158}
-115.816265,33.4905450000001,7,CA-CDD-TW-22027_2022-04-28,CA-CDD-TW-22027,Dos Palmas - Salt Creek,Full Sample Visit,Targeted,Spoke,PSSA,Slope,Riparian Shrubland,,CA,CA,CA,Arid West,2022/04/28 12:00:00+00,33.490545,-115.816265,-38,March 2022 Draft,3,0,50,50,1,100,100,0,33.33,66.67,0,0,100,0,,40,1.33,38.67,1.33,1.33,38.67,38.67,0,0,40,0,0,40,0,0,24,0,0,0,0,0,0,10.67,0,0,0,0,0,0,49.33,0,,0,60.7,20,,0,4,22,,0,4.14,21,1,1,70.59,66.67,13.73,0,0,0,90.2,Height Class 1 (0.0 - 0.5 m),141,0,0,26,30,0,0,46.43,53.57,0,0,,,,,,0,,,,,,,,,{C878EE81-3CE0-4E5D-9A8C-E21BCB634787}
-115.930917342,33.098695886,8,CA-CDD-TW-22037_2022-05-01,CA-CDD-TW-22037,San Felipe Creek,Full Sample Visit,Targeted,Transverse,PEMF,Riverine,Marsh,,CA,CA,CA,Arid West,2022/05/01 12:00:00+00,33.09869589,-115.93091734,-52,March 2022 Draft,3,2.81,66.67,33.33,1,66.67,66.67,33.33,33.33,33.33,0,0,100,0,,94.67,0.67,92.67,7.33,7.33,92.67,92.67,0,92.67,7.33,0,0,94.67,0,0,95.33,0,0,0,0,0,95.33,4.67,0,0,0,0,0,0.67,0,0,100.33,30,141.57,7,3.9,30,54.77,30,55.62,29,30,1,,0,3.92,11.76,15.69,7.84,0,0,39.22,Height Class 3 (>1.0 - 2.0 m),20,9,0,0,0,17.65,,,,0,0,,,,,,2,,,,,,,,,{D4AFD922-BBFA-417A-A09E-9E896B80B4E4}
-115.826332877,33.4992992040001,9,CA-CDD-TW-22018_2022-04-28,CA-CDD-TW-22018,Dos Palmas - Salt Creek,Full Sample Visit,Targeted,Spoke,PEMC,Slope,Marsh,,CA,CA,CA,Arid West,2022/04/28 12:00:00+00,33.4992992,-115.82633288,-58,March 2022 Draft,15,3.07,71.43,28.57,1,57.14,85.71,28.57,35.71,28.57,7.14,28.57,71.43,2,"SPSA5; LASE",71.33,0,13.33,61.33,0.67,70.67,70.67,3.33,69.33,2.67,0,20.67,57.33,20.67,0,88,0,0,0,0,0.67,25.33,24.67,0,0,0,0,0,1.33,2.67,0,143.93,29,27.5,2,5.44,9,39.97,30,30.8,25,85.8,5,,0,5.88,9.8,9.8,0,0,0,17.65,Height Class 2 (>0.5 - 1.0 m),17,0,0,2,8,0,0,20,80,0,0,,,,,,2,,,,,,,,,{F2DB6142-5387-4777-98B9-A2637AC473EC}
-115.821872698,33.479193407,10,CA-CDD-TW-22019_2022-04-29,CA-CDD-TW-22019,Dos Palmas - Salt Creek,Full Sample Visit,Targeted,Spoke,PSSE,Riverine,Riparian Shrubland,,CA,CA,CA,Arid West,2022/04/29 12:00:00+00,33.47919341,-115.8218727,-56,March 2022 Draft,9,1.75,75,25,1,50,75,12.5,37.5,37.5,12.5,12.5,87.5,0,,88.67,1.33,58,48,48,44.67,51.33,11.33,9.33,84,0,0,88.67,0,0,90.67,0,0,0,0,0,11.33,10,0,0,0,0,0,0,1.33,0,161.75,8,246.1,29,7.25,4,24.77,30,33.38,13,13.47,15,53.5,2,7.84,27.45,25.49,25.49,31.37,0,96.08,Height Class 5 (>4.0 - 8.0 m),63,14,0,2,18,27.45,0,10,90,0,0,,,,,,1,,,,,,,,,{09A239BC-DE94-4643-B52D-E82B59F8DE5F}
