402.street,Ogden tS,Ogden St
1243.street,Cilnton St,Clinton St
879.trafficvolumecountlocationaddress,3238West,3238 West
504.vehiclevolumebyeachdirectionoftraffic,North Bound: 3400 / Sougth Bound: 3300,North Bound: 3400 / South Bound: 3300
1233.street,5th St,35th St
316.street,Blemont Ave,Belmont Ave
918.trafficvolumecountlocationaddress,2257 Wets,2257 West
1172.locationvalue,"(41.955468, -87.561123)","(41.955468, -87.651123)"
210.vehiclevolumebyeachdirectionoftraffic,East Bound 7500 / West Bound: 6200,East Bound: 7500 / West Bound: 6200
711.locationvalue,"(41.772885, -87.62007)9","(41.772885, -87.620079)"
208.street,vArcher Ave,Archer Ave
655.trafficvolumecountlocationaddress,200i East,200 East
804.vehiclevolumebyeachdirectionoftraffic,East Bound: 3200 f/ West Bound: 3400,East Bound: 3200 / West Bound: 3400
117.trafficvolumecountlocationaddress,148 West,1428 West
885.street,Cottage Grovoe Ave,Cottage Grove Ave
18.locationvalue,"(41.822852 ,-87.691118)","(41.822852, -87.691118)"
636.locationvalue,"(41.844875, -87.67p5652)","(41.844875, -87.675652)"
180.vehiclevolumebyeachdirectionoftraffic,North Bound: 10100 / Szouth Bound: 9100,North Bound: 10100 / South Bound: 9100
462.street,Noth Ave,North Ave
314.dateofcount,09d/19/2006,09/19/2006
974.dateofcount,08/17/t2006,08/17/2006
362.trafficvolumecountlocationaddress,5411 zSouth,5411 South
265.vehiclevolumebyeachdirectionoftraffic,North Bound: 000 / South Bound: 2500,North Bound: 2000 / South Bound: 2500
727.dateofcount,03/7/2006,03/07/2006
604.locationvalue,"41.71796, -87.632971)","(41.71796, -87.632971)"
413.vehiclevolumebyeachdirectionoftraffic,East Bound: 10900 / eWst Bound: 10100,East Bound: 10900 / West Bound: 10100
648.street,5t7h St,57th St
1160.trafficvolumecountlocationaddress,4900 Notrh,4900 North
531.locationvalue,"(41.78269, -87.065979)","(41.78269, -87.605979)"
876.vehiclevolumebyeachdirectionoftraffic,North Bouind: 20300 / South Bound: 18400,North Bound: 20300 / South Bound: 18400
691.dateofcount,10/u05/2006,10/05/2006
854.trafficvolumecountlocationaddress,6050 eWst,6050 West
495.locationvalue,"(4.684346, -87.695367)","(41.684346, -87.695367)"
81.trafficvolumecountlocationaddress,6656W est,6656 West
1063.trafficvolumecountlocationaddress,317 South,2317 South
717.trafficvolumecountlocationaddress,646 Notrh,646 North
478.vehiclevolumebyeachdirectionoftraffic,North Bound: 4000 / South Bound:4100,North Bound: 4000 / South Bound: 4100
284.locationvalue,"(41.885747, -87.6282g88)","(41.885747, -87.628288)"
793.street,Payen Dr,Payne Dr
160.dateofcount,10/09/2060,10/09/2006
463.locationvalue,"(41.96219, -87.73154)","(41.962199, -87.73154)"
836.dateofcount,04/25/206,04/25/2006
764.trafficvolumecountlocationaddress,28w55 North,2855 North
629.street,87th Stsreet,87th Street
253.locationvalue,"(41.89604, -87.676289)","(41.89604, -87.667289)"
347.street,Damen vAe,Damen Ave
999.vehiclevolumebyeachdirectionoftraffic,North Bound: 19200 / South Bound:19300,North Bound: 19200 / South Bound: 19300
50.dateofcount,09g/06/2006,09/06/2006
530.dateofcount,08/71/2006,08/17/2006
748.street,Divisiwon St,Division St
