OBJECTID,UNIQUE_ID,SYS_CD,SYS_TRTMNT_ID,TRTMNT_NM,TRTMNT_TYPE_CD,TRTMNT_SUBTYPE,TRTMNT_START_DT,TRTMNT_END_DT,TRTMNT_COMMENTS,BLM_ACRES,GIS_ACRES,ADMIN_ST,GlobalID,SHAPE_Length,SHAPE_Area
1,NISIMS6B068DE76081453D,NISIMS,6B068DE76081453D,buckthorn-01-AES,4,REMOVE,2014/02/12 00:00:00+00,2014/02/12 00:00:00+00,COMM_ID: 021-005WT02 VISIT_ID: 021_005V010 AES controls buckthorn using cut-and-treat,2.229239,2.229239,ES,{C5FBE224-9B3D-4A56-B90C-D4927250D842},0.00808960468885654,1.00407208801686e-06
2,NISIMSA3F337599834449F,NISIMS,A3F337599834449F,buckthorn-01-AES,4,REMOVE,2014/02/12 00:00:00+00,2014/02/12 00:00:00+00,COMM_ID: 021-005WT03 VISIT_ID: 021_005V010 AES controls buckthorn using cut-and-treat,0.749053,0.749053,ES,{3707CF7F-B45F-4C33-9DFA-B740A9D7E699},0.00415640776043529,3.37381385456886e-07
3,NISIMS3EEB3D9B6390442B,NISIMS,3EEB3D9B6390442B,buckthorn-01-AES,4,REMOVE,2014/02/12 00:00:00+00,2014/02/12 00:00:00+00,COMM_ID: 021-005WT04 VISIT_ID: 021_005V010 AES controls buckthorn using basal-bark treatment,1.093183,1.093183,ES,{4F47EF1F-9224-44F7-ABA1-DB7D474AEBCF},0.00368693221531388,4.92379152250151e-07
4,NISIMS29D81C3AA7824137,NISIMS,29D81C3AA7824137,buckthorn-02-BLM,4,REMOVE,2014/04/06 00:00:00+00,2014/04/06 00:00:00+00,COMM_ID: 021-005WT02 VISIT_ID: 021_005V011 NRS Strohl controls buckthorn using cut-and-treat,2.229239,2.229239,ES,{F1F818A6-0887-464C-9F14-FD5440D67C5F},0.00808960468885654,1.00407208801686e-06
5,NISIMSB97E548AE0394F4C,NISIMS,B97E548AE0394F4C,buckthorn-01-ERC,4,REMOVE,2015/11/15 00:00:00+00,2015/11/15 00:00:00+00,COMM_ID: 021-005WT06 VISIT_ID: 021_005V006 ERC controls buckthorn using cut-and-treat,9.913155,9.913155,ES,{73BF60F0-2735-4086-BC9B-697E36D1271A},0.0152897374343691,4.46525118288595e-06
6,NISIMSDE425F22794B4C77,NISIMS,DE425F22794B4C77,buckthorn-01-BLM/OFS,4,REMOVE,2011/09/21 00:00:00+00,2011/09/21 00:00:00+00,COMM_ID: 055_006PC01 VISIT_ID: 055-006V002 NRS Strohl/OFS control buckthorn using cut-and-treat,0.872836,0.872836,ES,{A8430FD9-8C11-4115-A26C-2F9C6CEC4D25},0.00231937386293385,3.89425249727689e-07
7,NISIMSA6AE15CA3AD84CED,NISIMS,A6AE15CA3AD84CED,buckthorn-01-BLM/NPLD,4,REMOVE,2011/09/14 00:00:00+00,2011/09/14 00:00:00+00,COMM_ID: 075-001PC01 VISIT_ID: 075-001V002 NRS Strohl/NPLD volunteers control buckthorn using cut-and-treat,2.584029,2.584029,ES,{C7E36286-7F3C-408D-A607-7EF1EF3EC4EC},0.00706708063525077,1.19563979185881e-06
8,NISIMS3C07E249098E4701,NISIMS,3C07E249098E4701,buckthorn-02-AOCcontractor,4,REMOVE,2012/10/16 00:00:00+00,2012/10/16 00:00:00+00,COMM_ID: 075-001PC01 VISIT_ID: 075-001V004 Contractor E&E control buckthorn using cut-and-treat,2.584029,2.584029,ES,{220183F5-65AD-483A-AEF2-02E6C8A91ADE},0.00706708063525077,1.19563979185881e-06
9,NISIMS2E4C3DD5C2A84D05,NISIMS,2E4C3DD5C2A84D05,RCG-01-BLM,4,REMOVE,2011/06/02 00:00:00+00,2011/06/02 00:00:00+00,COMM_ID: 075-055PC01 VISIT_ID: 075-055V002 NRS Strohl control reed canary grass with mowing,19.121706,19.121706,ES,{3DBB4E87-1A05-4A66-B650-0E69D24850BE},0.0115405125633845,8.88484763346897e-06
10,NISIMSA5E1AF3E7E3D4094,NISIMS,A5E1AF3E7E3D4094,RCG-02-BLM,2,PESTICIDE,2011/09/14 00:00:00+00,2011/09/14 00:00:00+00,COMM_ID: 075-055PC01 VISIT_ID: 075-055V003 NRS Strohl control reed canary grass with herbicide application,19.121706,19.121706,ES,{EAC86483-F23E-4210-AB05-856ACFC9D57D},0.0115405125633845,8.88484763346897e-06
