date,city,state,venue
1/10/2014,Londonderry,NH,Tupelo Music Hall
1/11/2014,Fairfield,CT,StageOne
1/12/2014,New York,NY,B.B. King Blues Club & Grill
1/16/2014,Covington,KY,Madison Theater
1/17/2014,Chicago,IL,Park West
1/18/2014,Madison,WI,Majestic Theatre
1/21/2014,Iowa City,IA,Englert Theatre
1/22/2014,Ames,IA,DG's Tap House
1/23/2014,Urbana,IL,Canopy Club
1/24/2014,Indianapolis,IN,The Vogue
1/25/2014,Columbus,OH,Newport Music Hall
1/26/2014,Harrisburg,PA,FED Live
2/5/2014,Durango,CO,Animas City Theatre
2/7/2014,Park City,UT,Park City Live
2/8/2014,Jackson,WY,Pink Garter Theatre
2/20/2014,Aspen,CO,Belly Up Aspen
2/21/2014,Denver,CO,Fillmore Auditorium
2/22/2014,Laramie,WY,Gryphon Theatre
2/23/2014,Lincoln,NE,Bourbon Theatre
2/24/2014,Sioux Falls,SD,The District
2/25/2014,Wichita,KS,Abode Venue
2/26/2014,Lawrence,KS,The Bottleneck
2/27/2014,Tulsa,OK,Cain's Ballroom
2/28/2014,Dallas,TX,Granada Theater
3/1/2014,Austin,TX,Antone's
3/2/2014,San Antonio,TX,Sam's Burger Joint
3/4/2014,Houston,TX,Fitzgerald's
3/5/2014,Jackson,MS,Duling Hall
3/6/2014,Fayetteville,AR,George's Majestic Lounge
3/7/2014,Saint Louis,MO,The Pageant
3/8/2014,Little Rock,AR,Revolution Music Room
3/20/2014,Ithaca,NY,The Haunt
3/21/2014,State College,PA,The State Theatre
3/22/2014,Jim Thorpe,PA,Mauch Chunk Opera House
4/5/2014,Mobile,AL,Moe's Original Bar B Que
4/17/2014,Annapolis,MD,Rams Head On Stage
4/18/2014,Washington,DC,The Hamilton
4/20/2014,Greensboro,NC,The Blind Tiger
5/3/2014,New Orleans,LA,The Maison
5/9/2014,Aiken,SC,Aiken Bluegrass Festival
5/23/2014,Thornville,OH,Legend Valley
5/23/2014,Chillicothe,IL,Three Sisters Park
5/31/2014,Wilmington,NC,Cape Fear River Festival Grounds
6/27/2014,North Myrtle Beach,SC,House of Blues Myrtle Beach
6/28/2014,Isle of Palms,SC,The Windjammer
7/11/2014,Macungie,PA,Luna Light Music & Arts Festival
7/31/2014,Bridgeport,CT,Seaside Park
7/31/2014,Bridgeport,CT,Seaside Park
9/18/2014,Toronto,ON,Phoenix Concert Theatre
9/19/2014,Buffalo,NY,Tralf Music Hall
9/20/2014,Stroudsburg,PA,Sherman Theater
10/4/2014,Raleigh,NC,Lincoln Theatre
10/5/2014,Raleigh,NC,Lincoln Theatre
10/16/2014,Live Oak,FL,Suwannee Music Park
10/16/2014,Atlanta,GA,Terminal West
11/6/2014,Portland,ME,Port City Music Hall
11/7/2014,Boston,MA,Paradise Rock Club
11/8/2014,South Burlington,VT,Higher Ground
11/13/2014,Bloomington,IN,Bluebird Nightclub
11/15/2014,Columbia,MO,The Blue Note
11/21/2014,Port Chester,NY,The Capitol Theatre
11/22/2014,Port Chester,NY,The Capitol Theatre
12/4/2014,Tucson,AZ,Rialto Theatre
12/5/2014,Tempe,AZ,Marquee Theatre
12/6/2014,Albuquerque,NM,El Rey Theater
12/19/2014,Dillon,CO,Warren Station
12/20/2014,Dillon,CO,Warren Station
12/26/2014,Fredericksburg,VA,Old Silk Mill
12/27/2014,Philadelphia,PA,Theatre of Living Arts
12/30/2014,Chicago,IL,Vic Theatre
12/31/2014,Chicago,IL,Vic Theatre
