228.sex,Feale,Female
282.raceethnicity,"PacificI slander, non-Hispanic","Pacific Islander, non-Hispanic"
208.raceethnicity,"Americna Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
129.noteoncount,Reporting standards not met. Either there are to few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
74.characteristic,Total ,Total - Hispanic
227.sex,Fiemale,Female
194.characteristic,"Total - Male, Pacific Islander, non-vHispanic","Total - Male, Pacific Islander, non-Hispanic"
309.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) i s50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
181.raceethnicity,"Asian, non-Hispainc","Asian, non-Hispanic"
75.sex,Feamle,Female
60.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or thecoefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
52.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 ercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
166.noteonearnings,Reporting standards not met. Either there are too few casse for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
111.raceethnicity,"American Indian/Alaska Native, nony-Hispanic","American Indian/Alaska Native, non-Hispanic"
255.noteoncount,Reportnig standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
206.raceethnicity,"Ameriacn Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
6.sex,Femael,Female
177.raceethnicity,"Asian, no-Hispanic","Asian, non-Hispanic"
91.characteristic,Total ,"Total - Asian, non-Hispanic"
20.raceethnicity,"American Indian/Alaska Native, non-Hiispanic","American Indian/Alaska Native, non-Hispanic"
286.sex,Femle,Female
109.raceethnicity,"American Indian/Alaska Native, non-Hiwspanic","American Indian/Alaska Native, non-Hispanic"
73.characteristic,Total - Male,Total - Hispanic
120.characteristic,Total ,"Total - Two or more races, non-Hispanic"
107.noteoncount,Reporting standards not met. Either there aret oo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.raceethnicity,"Asian, non-Hispnaic","Asian, non-Hispanic"
123.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
123.raceethnicity,"Two or mor races, non-Hispanic","Two or more races, non-Hispanic"
83.characteristic,Total - Female,"Total - Asian, non-Hispanic"
186.noteoncount,Reporting standards not met. Either there are too few cases for a relbiable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
244.sex,Feamle,Female
164.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
113.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
151.raceethnicity,"Black, non-Hisanic ","Black, non-Hispanic "
300.noteoncount,Data not avilable.,Data not available.
53.characteristic,Total - Male,"Total - Black, non-Hispanic "
156.raceethnicity,"Blackk, non-Hispanic ","Black, non-Hispanic "
204.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatin (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
310.sex,Fmeale,Female
103.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
122.characteristic,"Total - Pacific Islander, non-Hispanic","Total - Two or more races, non-Hispanic"
80.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
266.sex,Felmale,Female
78.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate oro the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
82.characteristic,Total ,"Total - Asian, non-Hispanic"
36.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or kthe coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
175.raceethnicity,"Asian, non-Hispaic","Asian, non-Hispanic"
204.raceethnicity,"Amegrican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
230.raceethnicity,"White, noan-Hispanic","White, non-Hispanic"
154.raceethnicity,"fBlack, non-Hispanic ","Black, non-Hispanic "
108.characteristic,Total - Male,"Total - American Indian/Alaska Native, non-Hispanic"
92.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
182.raceethnicity,"Asina, non-Hispanic","Asian, non-Hispanic"
57.characteristic,Total ,"Total - Black, non-Hispanic "
11.sex,Femae,Female
29.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the cpoefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
278.sex,Femael,Female
119.characteristic,"Total - American Indian/Alaska Native, non-Hispanic","Total - Two or more races, non-Hispanic"
81.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
201.sex,aMle,Male
294.sex,emale,Female
262.raceethnicity,"Asin, non-Hispanic","Asian, non-Hispanic"
