OBJECTID,serial_nr_full,ttl_case_acres,commodity_txt,case_disp_txt,disp_dt,GISacres,casetype,casetype_txt,GlobalID,Shape__Area,Shape__Length
1,CACA   051719,240,GEOTHERMAL,PENDING,2009/11/09 08:00:00+00,249.98008435,323000,GEO NOMINATION,{8C17A98C-9EAB-4645-9200-8758C6ED7EC9},1011633.50982063,5739.17236426977
2,CACA   055172,5120,GEOTHERMAL,PENDING,2014/04/02 08:00:00+00,5109.61950605,323000,GEO NOMINATION,{7F2126CF-A9DF-42E6-82AD-543FCAE81F17},20677896.5140969,19287.2354493628
3,CACA   055173,3600.95,GEOTHERMAL,PENDING,2014/04/02 08:00:00+00,4011.78850201,323000,GEO NOMINATION,{6A4CF895-6881-4CB6-9B3F-23F040211E24},16235132.0646683,19593.0021478579
4,CACA   055233,640,GEOTHERMAL,PENDING,2014/04/23 08:00:00+00,640.74520427,323000,GEO NOMINATION,{53F11207-4D02-45EB-B079-3C5C564EFC55},2593003.84501634,6438.59096011287
5,CACA   055978,641.26,GEOTHERMAL,PENDING,2015/03/25 08:00:00+00,332.0616747,323000,GEO NOMINATION,{A974203A-FF30-4BB2-AD25-EC688F34256C},1343805.9208992,4908.83164093277
6,CACA   057435,4440,GEOTHERMAL,PENDING,2017/08/17 08:00:00+00,2878.49584484,323000,GEO NOMINATION,{065759F8-61ED-452B-9E4F-A2E189812A05},11648859.3965426,26542.2682581939
7,CACA   057436,5120,GEOTHERMAL,PENDING,2017/08/17 08:00:00+00,5121.19239041,323000,GEO NOMINATION,{0663D3D6-3FB5-417F-8E4C-C927C5BD8252},20724730.3154833,22548.378410962
8,CACA   057437,4800,GEOTHERMAL,PENDING,2017/08/17 08:00:00+00,3999.91359416,323000,GEO NOMINATION,{30D96C0A-C24A-43CC-91B0-67A992A68716},16187076.0175704,23356.7132312769
9,CACA   057438,5108,GEOTHERMAL,PENDING,2017/08/17 08:00:00+00,4151.49993732,323000,GEO NOMINATION,{B78163C0-6DFD-478F-A4CC-84A8E3891C3B},16800524.1839334,29718.3855745617
10,CACA   057439,4014,GEOTHERMAL,PENDING,2017/08/17 08:00:00+00,3973.26117323,323000,GEO NOMINATION,{EA788D44-CDC0-4A28-A308-E4AEA3069263},16079217.4967621,31985.5897144841
11,CACA   059458,3360,GEOTHERMAL,PENDING,2021/07/15 08:00:00+00,4490.986258,323000,GEO NOMINATION,{A633CD74-F4A1-4315-BB0D-00E088AF5D94},18174376.5811074,45117.3817762616
12,CACA   059459,5085.6,GEOTHERMAL,PENDING,,5739.33836277,323000,GEO NOMINATION,{A5005BFB-92A3-4FED-A1E6-67BDC33D8413},23226278.3136971,33787.6905398699
13,CACA   059460,3240,GEOTHERMAL,PENDING,,3847.58177867,323000,GEO NOMINATION,{2EF94FE2-933C-41CF-997E-018FDD42A50C},15570611.0317085,38662.4913219827
14,CACA   059461,3360,GEOTHERMAL,PENDING,,3836.04202404,323000,GEO NOMINATION,{0DAD8261-8971-4F8F-B6BD-B6B1FB0D9544},15523911.3015817,19308.0282970239
15,CACA   059462,3920,GEOTHERMAL,PENDING,,4479.1246711,323000,GEO NOMINATION,{933C7419-C281-4624-95CB-78EC3395A948},18126374.4419796,22530.8286206739
16,CACA   059463,4767.45,GEOTHERMAL,PENDING,,7038.57016353,323000,GEO NOMINATION,{F0526685-343F-4ED9-9BE5-734B2874E434},28484082.8707745,25737.8201154192
17,CACA   059464,3392.38,GEOTHERMAL,PENDING,,6359.09804675,323000,GEO NOMINATION,{6BC683AF-CD04-4084-98CC-05382E0AEDEC},25734356.7711485,35309.4062782188
