OBJECTID,CATEGORY,P_AREA,SHAPE_Length,SHAPE_Area
250,2,1390252.56686557,6033.71973812114,1390252.60840075
251,2,2476968.43147524,9980.87701869205,2476968.37500549
252,2,3416016.17237828,9988.84429037473,3416016.12040478
253,2,143815.95124721,1642.48789798255,143815.932882125
254,2,4366.1229603,1010.9778935502,4366.12385984763
255,2,777301.33948229,5792.24121436623,777301.320714996
256,2,384033.21627556,2951.63301776489,384033.160151147
257,2,131628.95818718,1889.98108669241,131628.929967234
258,2,9382.57243214,462.016292490702,9382.57146835356
259,2,2299637.26658722,10682.8845864721,2299637.47203997
260,2,31834.10592053,898.171400550031,31834.128040335
261,2,13775.3802525,515.152953510157,13775.4151451566
262,2,38868.50535732,1117.47700019279,38868.5037621594
263,2,226495.13638685,2073.31619146813,226495.164433871
264,2,239801.4330742,2222.71176390161,239801.387936681
265,2,40205.34881367,1991.96671183751,40205.3556676
266,2,8443.83720483,504.202123101802,8443.82697165219
267,2,650201.33118837,4891.34366367263,650201.3366498
268,2,436168.49771218,3477.95478706694,436168.404009697
269,2,313767.20897933,2694.94964085082,313767.27271799
270,2,243516.32576178,2098.00558366874,243516.322306729
271,2,858230.29431811,4356.77855419926,858230.213803315
272,2,347562.34462427,2701.00190677495,347562.366570903
273,2,162144.87836714,1638.16776664462,162144.907984896
274,2,1525581.89381005,6791.09351341813,1525581.81216928
275,2,37681772.3595958,97630.3366442382,37681772.2490277
276,2,5733.56419569,567.146919940266,5733.56835595277
277,2,653780.0152133,4880.15926456044,653780.000747073
278,2,11143469.4410407,20527.4805234214,11143469.3939046
279,2,2609732.2836872,12326.2410437052,2609732.34525992
280,2,359053.32661325,4066.8461205484,359053.277527167
281,1,4916633.59029026,14634.8879992187,4916633.61660992
282,2,763115.15106166,4378.79390046932,763115.0824855
283,2,109275.63106061,1323.43139018778,109275.701047084
284,2,1933717.25047122,19038.3581426436,1933717.32583105
285,2,7417017.36090447,13532.4009834277,7417017.35866715
286,2,543858.18067693,3275.84322262396,543858.186998117
287,2,357555.67450993,2730.44040555498,357555.635550682
288,2,8250.88513756,454.629240502968,8250.86861352087
