objectid,routeid,beginpoint,endpoint,actlaccctl,accctldesc,actlhpmsaccessctl,hpmsaccdesc,towntown,towndesc,yearvalue,global_id,shape_length
11049.0,0010026,0.0,0.21,0.0,No Access Control,3.0,No Access Conrtol,1.0,ANDOVER,2022,a139c244-488b-435e-b0ab-b69a489702b5,1036.99355481667
11050.0,0020086,0.0,0.29,0.0,No Access Control,3.0,No Access Conrtol,2.0,ANSONIA,2022,447931f8-622c-4d15-96e5-0e9ec7a60f60,1518.00918783127
11051.0,0020255,0.0,0.17,0.0,No Access Control,3.0,No Access Conrtol,2.0,ANSONIA,2022,4ccbade5-ee59-43ea-bb78-f0f433089245,936.644667385636
11052.0,0040044,0.0,0.46,0.0,No Access Control,3.0,No Access Conrtol,4.0,AVON,2022,52318405-d0cc-479c-9647-17d20f11e78a,2427.95034992904
11053.0,0040106,0.0,0.38,0.0,No Access Control,3.0,No Access Conrtol,4.0,AVON,2022,afeea858-a513-4d3a-84da-fd88e403af53,1985.90814558956
11054.0,0050045,0.0,4.04,0.0,No Access Control,3.0,No Access Conrtol,5.0,BARKHAMSTED,2022,69225bce-2715-48e7-98f0-c7575293aac9,21322.7226240515
11055.0,0060019,0.0,0.06,0.0,No Access Control,3.0,No Access Conrtol,6.0,BEACON FALLS,2022,e64b379c-2ab6-45c8-b559-c345c7a780d5,368.984049230427
11056.0,0060057,0.0,0.47,0.0,No Access Control,3.0,No Access Conrtol,6.0,BEACON FALLS,2022,213bb1de-d67b-41ab-ad37-32e8ecdebabe,2490.67927584442
11057.0,0110212,0.0,2.73,0.0,No Access Control,3.0,No Access Conrtol,11.0,BLOOMFIELD,2022,88788f20-5625-4143-a021-266a45f7c4e9,14390.5129644584
11058.0,0120023,0.0,2.78,0.0,No Access Control,3.0,No Access Conrtol,12.0,BOLTON,2022,230625c8-b6b1-48cc-9196-e832dc2199e7,14610.988023398
11059.0,0140053,0.0,0.59,0.0,No Access Control,3.0,No Access Conrtol,14.0,BRANFORD,2022,e515a0f0-beef-454e-a8fd-6fb084ce99e9,3132.10948968445
11060.0,0060096,0.0,0.42,0.0,No Access Control,3.0,No Access Conrtol,6.0,BEACON FALLS,2022,20a94932-6949-4fcd-827e-0f6b9aa47ef2,2167.41337818208
11061.0,0070126,0.0,2.13,0.0,No Access Control,3.0,No Access Conrtol,7.0,BERLIN,2022,4a0dd1e5-1d32-49df-8f61-862f15c8f6ea,11240.8926342533
11062.0,0070142,0.0,0.34,0.0,No Access Control,3.0,No Access Conrtol,7.0,BERLIN,2022,0d9a6ce2-4f49-4ba9-99cd-4dde6fe67d19,1833.58212631578
11063.0,0070145,0.0,1.51,0.0,No Access Control,3.0,No Access Conrtol,7.0,BERLIN,2022,1f53292f-2a99-4e68-aab3-983ed25999ab,7927.21603439018
11064.0,0070162,0.0,0.3,0.0,No Access Control,3.0,No Access Conrtol,7.0,BERLIN,2022,f891c6f3-1624-491d-964b-d897a2c1255a,1621.84151244797
11065.0,0070189,0.0,1.31,0.0,No Access Control,3.0,No Access Conrtol,7.0,BERLIN,2022,8756e713-f312-4db0-ad9a-332183844a8d,6892.91115943248
11066.0,0070206,0.0,0.57,0.0,No Access Control,3.0,No Access Conrtol,7.0,BERLIN,2022,81dccf33-b60e-4f49-ba13-48f52cb776e6,2959.3977964538
11067.0,0070212,0.0,3.6,0.0,No Access Control,3.0,No Access Conrtol,7.0,BERLIN,2022,eda52ae7-2bf5-4b85-96c5-bc35877c9cd8,18937.5466038292
11068.0,0070214,0.0,1.34,0.0,No Access Control,3.0,No Access Conrtol,7.0,BERLIN,2022,f0d241e3-2b18-4bae-961b-eeba8cb97a91,7032.70635039668
11069.0,0070217,0.0,0.37,0.0,No Access Control,3.0,No Access Conrtol,7.0,BERLIN,2022,ce8dbd31-cc1f-4866-94e8-7fadd62a1480,1934.96076316132
11070.0,0080006,0.0,3.15,0.0,No Access Control,3.0,No Access Conrtol,8.0,BETHANY,2022,e1ad4241-61ef-4c5d-8522-e4c7e24fc7d8,16639.8307567286
11071.0,0090006,0.0,0.11,0.0,No Access Control,3.0,No Access Conrtol,9.0,BETHEL,2022,3cc9043d-308a-4096-9605-048598db8c4e,614.507869172758
11072.0,0110028,0.0,0.86,0.0,No Access Control,3.0,No Access Conrtol,11.0,BLOOMFIELD,2022,10985031-7dba-4ae2-a32f-ab781f5b9308,4519.3434826617
11073.0,0110053,0.0,4.03,0.0,No Access Control,3.0,No Access Conrtol,11.0,BLOOMFIELD,2022,b26fdc3c-3ce1-4a99-958b-6a08d97aa5bd,21389.2740969901
11074.0,0110188,0.0,1.35,0.0,No Access Control,3.0,No Access Conrtol,11.0,BLOOMFIELD,2022,0d1bd4a6-323b-49fd-9b64-5966631f58e7,7026.96354174839
11075.0,0170127,0.0,0.53,0.0,No Access Control,3.0,No Access Conrtol,17.0,BRISTOL,2022,0b46b2a2-acaf-4bce-91f3-4b0f75250eeb,2871.55620746406
11076.0,0170400,0.0,1.08,0.0,No Access Control,3.0,No Access Conrtol,17.0,BRISTOL,2022,9bd92874-a2fd-454a-ad72-738afa8732e8,5699.0957502699
11077.0,0170455,0.0,0.64,0.0,No Access Control,3.0,No Access Conrtol,17.0,BRISTOL,2022,7ed2dade-f13c-4fd5-a073-580b59607f2b,3369.95270922618
11078.0,0170460,0.0,1.56,0.0,No Access Control,3.0,No Access Conrtol,17.0,BRISTOL,2022,bc441c70-be14-455c-a0db-094d9a09930f,8251.39073261634
11079.0,0170624,0.0,0.48,0.0,No Access Control,3.0,No Access Conrtol,17.0,BRISTOL,2022,e5e1eedc-902c-4fd6-9f91-27e8459a4433,2540.69402245629
11080.0,0190018,0.0,2.12,0.0,No Access Control,3.0,No Access Conrtol,19.0,BROOKLYN,2022,4043184d-abb0-4323-b8c5-7c0a7b4628b7,11203.7044209435
11081.0,0190063,0.0,0.51,0.0,No Access Control,3.0,No Access Conrtol,19.0,BROOKLYN,2022,19e28ad6-e1bc-42b1-9b3d-5595eaf7e6b0,2691.42827544007
11082.0,0190118,0.0,3.64,0.0,No Access Control,3.0,No Access Conrtol,19.0,BROOKLYN,2022,7e973940-2243-41cc-ba4a-eaee18b4766f,19216.6511330212
