ObjectId,WEEKENDINGDATE,DOSE_1,DOSE_2,BOOSTER,LOADED
1,2020/12/12 05:00:00+00,,,,2022/10/10 10:04:00+00
2,2020/12/19 05:00:00+00,2144,1,,2022/10/10 10:04:00+00
3,2020/12/26 05:00:00+00,5451,5,,2022/10/10 10:04:00+00
4,2021/01/02 05:00:00+00,7889,81,,2022/10/10 10:04:00+00
5,2021/01/09 05:00:00+00,12616,2233,,2022/10/10 10:04:00+00
6,2021/01/16 05:00:00+00,14889,4497,,2022/10/10 10:04:00+00
7,2021/01/23 05:00:00+00,18178,4738,1,2022/10/10 10:04:00+00
8,2021/01/30 05:00:00+00,17916,10234,3,2022/10/10 10:04:00+00
9,2021/02/06 05:00:00+00,17772,13231,2,2022/10/10 10:04:00+00
10,2021/02/13 05:00:00+00,14546,14118,4,2022/10/10 10:04:00+00
11,2021/02/20 05:00:00+00,10678,16620,10,2022/10/10 10:04:00+00
12,2021/02/27 05:00:00+00,18182,19365,8,2022/10/10 10:04:00+00
13,2021/03/06 05:00:00+00,25842,13001,10,2022/10/10 10:04:00+00
14,2021/03/13 05:00:00+00,32209,13035,17,2022/10/10 10:04:00+00
15,2021/03/20 03:59:59+00,35349,13824,4,2022/10/10 10:04:00+00
16,2021/03/27 03:59:59+00,36924,17921,5,2022/10/10 10:04:00+00
17,2021/04/03 03:59:59+00,34111,24403,18,2022/10/10 10:04:00+00
18,2021/04/10 03:59:59+00,28855,31413,17,2022/10/10 10:04:00+00
19,2021/04/17 03:59:59+00,30572,35443,20,2022/10/10 10:04:00+00
20,2021/04/24 03:59:59+00,13263,33146,16,2022/10/10 10:04:00+00
21,2021/05/01 03:59:59+00,8769,24352,19,2022/10/10 10:04:00+00
22,2021/05/08 03:59:59+00,9105,27938,17,2022/10/10 10:04:00+00
23,2021/05/15 03:59:59+00,11968,13712,12,2022/10/10 10:04:00+00
24,2021/05/22 03:59:59+00,15379,8462,13,2022/10/10 10:04:00+00
25,2021/05/29 03:59:59+00,8998,7175,19,2022/10/10 10:04:00+00
