38.communityarea,62.0,68
415.longitude,-106.6395945406739,-87.6694195956
433.storename,MOROLEON FOODS 2 INC.,MOROLEON FOODS #2 INC.
34.storename,SAVE-A-OLT # 866,SAVE-A-LOT # 866
28.communityareaname,PORTAGE PARK,EDGEWATER
11.licenseid,1353385.0,48663.0
247.address,10800 S WETSERN AVE,10800 S WESTERN AVE
22.address,1340 S CANAL ST,900 N FRANCISCO AVE
468.locationvalue,"(41.8416044818, -87.q6319155034)","(41.8416044818, -87.6319155034)"
82.communityareaname,WEST GARFIELD dPARK,WEST GARFIELD PARK
60.communityareaname,CALUMET HIGHTS,CALUMET HEIGHTS
104.communityareaname,ALBANYm PARK,ALBANY PARK
132.xcoordinate,1778965.8294624165,1160464.1704940535
462.ycoordinate,1923498.7895809808,1923401.7895809808
56.buffersize,***,A
504.buffersize,bB,B
67.longitude,-44.60358417175304,-87.5257124268
354.locationvalue,"(41.7833341838, -87.657432794)","(41.7833341838, -87.6547432794)"
286.communityareaname,AUBURN GESHAM,AUBURN GRESHAM
43.ycoordinate,1910159.1206884224,1918165.8803331624
26.xcoordinate,1155046.9425476384,1167456.9338636997
164.communityareaname,BELMONT CRAGNI,BELMONT CRAGIN
41.address,1340 S CANAL ST,821 W 115TH ST
13.locationvalue,"(42.0047500731, -87.6994227766)","(41.8688897111, -87.6390989281)"
487.longitude,-45.64811286465052,-87.7106047774
1.latitude,41.9205964582,41.8802960895
41.locationvalue,"(41.9977473006, -87.6952511581)","(41.6849606404, -87.6430223096)"
500.longitude,-117.23080306208688,-87.55286024
33.locationvalue,"(41.9977473006, -87.6952511581)","(41.8818156316, -87.647214717)"
320.buffersize,,A
14.squarefeet,68000.0,2500.0
24.address,5069 W MADISON ST,4660 W IRVING PARK RD
106.xcoordinate,678107.7797140854,1166221.8718805332
239.xcoordinate,1712305.6689707704,1144086.2047966304
462.buffersize,wB,B
31.longitude,-87.7236192485,-87.654674059
160.communityareaname,HYDE PAmRK,HYDE PARK
409.address,112 pW 87TH ST,112 W 87TH ST
496.buffersize,xA,A
346.buffersize,iB,B
477.communityareaname,EDGEAWTER,EDGEWATER
320.storename,JEWEL FOOD sSTORE #3181,JEWEL FOOD STORE #3181
367.longitude,-123.92004533000005,-87.6158666457
152.address,3350 NW ESTERN AVE,3350 N WESTERN AVE
58.buffersize,,B
30.locationvalue,"(41.8645211937, -87.6393040996)","(41.9263716974, -87.6408000783)"
445.ward,36,32
32.address,5701 N SHERIDAN RD,4733 N KEDZIE AVE
11.communityareaname,IRVING PARK,GRAND BOULEVARD
25.squarefeet,3000.0,10001.0
33.longitude,-87.785694824,-87.647214717
7.locationvalue,"(41.8645211937, -87.6393040996)","(41.8910492873, -87.7597328373)"
30.ycoordinate,1916208.3653716687,1916520.7436412969
369.locationvalue,"(41.7925559281, -87.6550576698)","(41.9725559281, -87.6550576698)"
199.storename,"TONY'S FINER FOODS ETERPRISES, INC.","TONY'S FINER FOODS ENTERPRISES, INC."
22.locationvalue,"(41.8009692763, -87.6887220987)","(41.8981068159, -87.6993783779)"
490.communityareaname,NEAR NROTH SIDE,NEAR NORTH SIDE
318.xcoordinate,901328.4763597343,1191459.6594881737
170.address,2857 W DIVERSYE AVE,2857 W DIVERSEY AVE
22.ycoordinate,1931689.479330876,1906097.6996694184
33.xcoordinate,1181566.4243909956,1171090.9679868314
2.longitude,-87.6625846787,-87.6994227766
84.xcoordinate,713729.933113955,1196899.785259481
