objectid,unitid,unitname,polygon_id,polygon_id_alt_c,mtrx_conservation_score,mtrx_consump_use_score,mtrx_signal,rac_hydro_final_rating,rac_veg_category,rac_calc_adjac,rac_model_recommend,rac_edge_desig,no_action_recommend,gis_acres_wiu,alternative_b_recommend,mtrx_recommnd,poly_desg,polygon_id_alt_a,polygon_id_alt_b,polygon_id_alt_d,contig_wsa,polygon_idmce,mce_proposed,paltlwcfeis,contig_wsa_alt_a,shape_length,shape_area
1.0,OR-02-17,Rocky Basin Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,64.81295427061,Not Applicable,Not Applicable,Road Boundary Setback,Rocky Basin,Not Applicable,Not Applicable,No,Rocky Basin,Not Considered,Not Applicable,No,7051.408803897,262288.720244736
2.0,OR-034-024,Burnt Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,397.619713628744,Not Applicable,Not Applicable,Road Boundary Setback,Burnt Mountain,Not Applicable,Not Applicable,No,Burnt Mountain,1,Not Applicable,No,42187.3379942883,-1609022.38281782
3.0,OR-034-043,Rufino Butte Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,138.202569598097,Not Applicable,Not Applicable,Road Boundary Setback,Rufino Butte,Not Applicable,Not Applicable,No,Rufino Butte,1,Not Applicable,Yes,14973.9597601009,-559280.68984434
4.0,OR-034-058,Steamboat Ridge Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,226.400840755992,Not Applicable,Not Applicable,Road Boundary Setback,Steamboat Ridge,Not Applicable,Not Applicable,No,Steamboat Ridge,2,Not Applicable,Yes,24201.9724761335,-916202.227908202
5.0,OR-034-073,Slaughter Gulch Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,50.976979057897,Not Applicable,Not Applicable,Road Boundary Setback,Slaughter Gulch,Not Applicable,Not Applicable,No,Slaughter Gulch,2,Not Applicable,No,5668.57330183991,-206292.360431611
6.0,OR-034-075,Granite Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,108.859012178759,Not Applicable,Not Applicable,Road Boundary Setback,Granite Creek,Not Applicable,Not Applicable,No,Granite Creek,2,Not Applicable,No,11718.4910894834,-440526.902543493
7.0,OR-034-107,Selle Gap Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,111.894505234196,Not Applicable,Not Applicable,Road Boundary Setback,Selle Gap,Not Applicable,Not Applicable,No,Selle Gap,2,Not Applicable,No,12013.1840503895,-452800.744265914
8.0,OR-034-119,Sperry Creek Cont Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,25.363479974405,Not Applicable,Not Applicable,Road Boundary Setback,Sperry Creek Cont,Not Applicable,Not Applicable,No,Sperry Creek Cont,2,Not Applicable,Yes,2844.98889132736,102642.361828835
9.0,OR-036-002,Twin Butte Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,452.881128445642,Not Applicable,Not Applicable,Road Boundary Setback,Twin Butte,Not Applicable,Not Applicable,No,Twin Butte,1,Not Applicable,No,48902.5812476324,-1832692.03602169
10.0,OR-036-003,"Cairn ""C"" Setback",Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,330.562757775809,Not Applicable,Not Applicable,Road Boundary Setback,"Cairn ""C""",Not Applicable,Not Applicable,No,"Cairn ""C""",1,Not Applicable,No,35251.2232356781,-1337711.35708885
11.0,OR-036-047,Red Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,202.404400323406,Not Applicable,Not Applicable,Road Boundary Setback,Red Mountain,Not Applicable,Not Applicable,No,Red Mountain,Not Considered,Not Applicable,No,21755.2325050528,-819090.56938296
12.0,OR-036-077,Lower Owyhee Cont Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,103.879681732821,Not Applicable,Not Applicable,Road Boundary Setback,Lower Owyhee Cont,Not Applicable,Not Applicable,No,Lower Owyhee Cont,1,Not Applicable,Yes,11283.3903226042,-420367.646684345
13.0,OR-036-093,Alvord Desert Cont A Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,14.5710865831727,Not Applicable,Not Applicable,Road Boundary Setback,Alvord Desert Cont A,Not Applicable,Not Applicable,No,Alvord Desert Cont A,2,Not Applicable,Yes,1751.67839519436,-58966.6058298601
14.0,OR-036-094,Disaster Peak Cont Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,13.9877355204546,Not Applicable,Not Applicable,Road Boundary Setback,Disaster Peak Cont,Not Applicable,Not Applicable,No,Disaster Peak Cont,2,Not Applicable,Yes,1717.13978531513,-56604.1421215993
15.0,OR-036-047,Red Mountain,Red Mountain,Red Mountain,16.4,25.0,Divergent,3,II,III,2,Not Considered,1,9579.12457292299,1,2,WIU,Red Mountain,Red Mountain,Red Mountain,No,Red Mountain,Not Considered,2,No,29043.1243480696,-38765352.7768909
16.0,OR-036-050,Oregon Canyon Mountain,Oregon Canyon Mountain,Oregon Canyon Mountain,15.9,22.6,Strong,1,II,I,1,Not Considered,1,8102.79936940761,1,2,WIU,Oregon Canyon Mountain,Oregon Canyon Mountain,Oregon Canyon Mountain,Yes,Oregon Canyon Mountain,1,1,Yes,26974.4200001864,-32790877.3915729
17.0,OR-034-053,McNulty,McNulty,McNulty,18.799999,25.5,Strong,NR,I,I,1,Not Considered,1,19240.7714310725,1,1,WIU,McNulty,McNulty,McNulty,Yes,McNulty,2,1,Yes,54038.3422155795,-77864694.3938097
18.0,OR-034-058,Steamboat Ridge,Steamboat Ridge,Steamboat Ridge,24.799999,29.299999,Strong,2,III,I,2,2,1,3680.60048444929,1,1,WIU,Steamboat Ridge,Steamboat Ridge,Steamboat Ridge,Yes,Steamboat Ridge,2,2,Yes,21154.5361505571,-14894871.1773241
19.0,OR-034-057,Schnable Creek,Schnable Creek,Schnable Creek,16.299999,24.4,Weak,ND,II,II,2,Not Considered,1,14303.9329093967,1,2,WIU,Schnable Creek,Schnable Creek,Schnable Creek,No,Schnable Creek,2,2,No,50128.0543148263,-57886024.2359834
20.0,OR-034-019,Rookie Creek,Rookie Creek,Rookie Creek,20.6,28.299999,Strong,ND,II,I,2,Not Considered,1,783.06551167466,1,1,WIU,Rookie Creek,Rookie Creek,Rookie Creek,Yes,Rookie Creek,1,2,Yes,8189.4350734305,-3168995.01595683
21.0,OR-034-063,Hog Creek,Hog Creek,Hog Creek,16.9,23.299999,Moderate,2,II,II,2,Not Considered,1,31734.4785045511,1,2,WIU,Hog Creek,Hog Creek,Hog Creek,No,Hog Creek,2,2,No,58235.814960854,-128424922.097395
22.0,OR-034-043,Rufino Butte,Rufino Butte,Rufino Butte,15.9,22.299999,Strong,2,II,I,2,2,1,15945.6913091471,1,2,WIU,Rufino Butte,Rufino Butte,Rufino Butte,Yes,Rufino Butte,1,2,Yes,53942.4634461693,-64529928.5505556
23.0,OR-034-040,Double Mountain,Double Mountain,Double Mountain,17.5,21.9,Divergent,1,II,III,2,Not Considered,1,27363.6585869813,1,2,WIU,Double Mountain,Double Mountain,Double Mountain,No,Double Mountain,2,2,No,58622.2809761322,-110736900.885534
