Rank,Country,STOCK OF NARROW MONEY,Date of Information
1,European Union,"$6,736,000,000,000",31 December 2013
2,China,"$5,846,000,000,000",31 December 2014 est.
3,Japan,"$5,403,000,000,000",31 December 2014 est.
4,United States,"$2,943,000,000,000",31 December 2014 est.
5,Germany,"$2,236,000,000,000",31 December 2014 est.
6,Italy,"$1,185,000,000,000",31 December 2014 est.
7,France,"$979,700,000,000",31 December 2014 est.
8,Spain,"$876,900,000,000",31 December 2014 est.
9,Canada,"$661,500,000,000",31 December 2014 est.
10,Switzerland,"$567,700,000,000",31 December 2014 est.
11,"Korea, South","$539,700,000,000",31 December 2014 est.
12,Taiwan,"$483,200,000,000",31 December 2014 est.
13,Netherlands,"$387,000,000,000",31 December 2014 est.
14,India,"$364,000,000,000",31 December 2014 est.
15,Venezuela,"$356,000,000,000",31 December 2014 est.
16,Saudi Arabia,"$301,100,000,000",31 December 2014 est.
17,Australia,"$269,900,000,000",31 December 2014 est.
18,Sweden,"$256,900,000,000",31 December 2014 est.
19,Austria,"$222,600,000,000",31 December 2014 est.
20,Mexico,"$215,100,000,000",31 December 2014 est.
21,Luxembourg,"$209,600,000,000",31 December 2014 est.
22,Hong Kong,"$204,800,000,000",31 December 2014 est.
23,Belgium,"$202,400,000,000",31 December 2014 est.
24,Poland,"$181,700,000,000",31 December 2014 est.
25,Brazil,"$160,400,000,000",31 December 2014 est.
26,Russia,"$158,600,000,000",1 December 2014 est.
27,Denmark,"$155,600,000,000",31 December 2014 est.
28,Ireland,"$146,200,000,000",31 December 2014 est.
29,Norway,"$146,100,000,000",31 December 2014 est.
30,Finland,"$136,700,000,000",31 December 2014 est.
31,Singapore,"$136,100,000,000",31 December 2014 est.
32,Czech Republic,"$126,800,000,000",31 December 2014 est.
33,United Arab Emirates,"$126,100,000,000",31 December 2014 est.
34,Greece,"$124,300,000,000",31 December 2014 est.
35,Turkey,"$118,300,000,000",31 December 2014 est.
36,Algeria,"$115,200,000,000",31 December 2014 est.
37,United Kingdom,"$114,200,000,000",31 December 2014 est.
38,Malaysia,"$113,100,000,000",31 December 2014 est.
39,South Africa,"$112,200,000,000",31 December 2014 est.
40,Portugal,"$91,400,000,000",31 December 2014 est.
41,Indonesia,"$78,700,000,000",31 December 2014 est.
42,Morocco,"$77,750,000,000",31 December 2014 est.
43,Pakistan,"$76,420,000,000",31 October 2014 est.
44,Iraq,"$66,170,000,000",31 December 2014 est.
45,Egypt,"$60,180,000,000",31 December 2014 est.
46,Philippines,"$55,730,000,000",31 December 2014 est.
47,Argentina,"$54,130,000,000",31 December 2014 est.
48,Thailand,"$53,710,000,000",31 December 2014 est.
49,Vietnam,"$52,390,000,000",31 December 2014 est.
50,Libya,"$49,210,000,000",31 December 2014 est.
51,Colombia,"$47,310,000,000",31 December 2014 est.
