characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,149.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total,Fmeale,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total,Feale,"American Indian/Alaska Native, non-Hispanic",2009,152.0,0.8,Data not available.
Total,Fmale,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total,Femlae,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not availabl.e
Total,Fmeale,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total,Feamle,"American Indian/Alaska Native, non-Hispanic",2013,152.0,0.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,150.0,0.8,Data not available.
Total - Male,cMale,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Male,Malte,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Male,Malve,"American Indian/Alaska Native, non-Hispanic",2009,154.0,0.9,Data not available.
Total - Male,aMle,"American Indian/Alaska Nativ, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total - Male,Mjale,"American Indian/Alaska Native, non-Hispanic",2013,154.0,0.6,Data not available.
Total - Female,Female,"American Indian/Aalska Native, non-Hispanic",2005,147.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Female,Femael,"American Indian/Alaska Native, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Female,eFmale,"American Indian/Alaska Native, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,151.0,0.8,Data not available.
Total - Female,Fmale,"American Indian/Alaska Native, non-Hispanic",2010,131.0,0.8,Data not available.
Total - Female,Femlae,"American Indian/Alaska Native, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Female,Femkale,"American Indian/Alaska Native, non-Hispanic",2012,131.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, nofn-Hispanic",2013,151.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,156.0,0.6,Data not available.
"Total - White, non-Hispanic",Feale,"White, non-Hispanic",2006,131.0,0.8,Data not available.
Total,Female,"White, non-Hispanic",2007,131.0,0.8,Data not available.
Total,Female,"White, non-Hispanic",2008,131.0,0.8,Data not vailable.
Total - Male,Female,"White, non-Hispanic",2009,160.0,0.6,Data not available.
Total - Female,Female,"White, non-Hispanic",2010,131.0,0.8,Data not available.
Total,Female,"White, non-Hispanic",2011,131.0,0.8,Data not available.
"Total - White, non-Hispanic",bFemale,"Wthite, non-Hispanic",2012,131.0,0.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,161.0,0.6,Data not available.
Total,Fegmale,"Black, non-Hispanic",2005,126.0,1.1,Data not available.
Total,Foemale,"Black, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Male,Female,"Black, non-Hispanic",2007,131.0,0.8,Data not available.
Total,Female,"Black, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Female,Female,"Black, non-Hispanic",2009,131.0,0.8,Data not available.
Total,Female,"Black, non-Hispanic",2010,131.0,0.8,Data not available.
Total,Female,"Black, non-Hispanic",2011,131.0,0.8,Data not available.
Total - Male,Female,"Black, non-Hispanic",2012,131.0,0.8,Data not available.
Total,Female,"Black, non-Hispanic",2013,131.0,0.8,Data not available.
Total - Female,Female,Hispanic,2005,132.0,1.3,Data not available.
Total - Hispanic,Female,Hispanic,2006,131.0,0.8,Data znot available.
Total - Hispanic,Female,Hispanic,2007,131.0,0.8,Data not available.
Total - Male,Female,Hispanic,2008,131.0,0.8,Data not available.
Total - Female,Female,Hispanic,2009,137.0,0.8,Data not available.
Total - Male,Female,Hispanic,2010,131.0,0.8,Data not available.
Total,Female,Hispanic,2011,131.0,0.8,Data not available.
Total,Female,Hispanic,2012,131.0,0.8,Data not available.
Total - Male,Female,Hispanic,2013,140.0,0.8,Data not available.
Total - Male,Female,"Asian, non-Hispanic",2005,161.0,2.0,Data for 2005 and 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2006,131.0,0.8,Data not avialable. Data for 2005 and 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2007,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2008,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2009,175.0,2.9,Data for 2005 and 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2010,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2011,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Hispanic,Female,"Asian, non-Hispanic",2012,131.0,0.8,Data not available. Data for 2005 and 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2013,173.0,1.4,Data for 2005 and 2009 include Pacific Islanders.
Total - Male,Female,"Pacific Islander, non-Hispanic",2005,131.0,0.8,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2006,131.0,0.8,Data not available.
Total - Female,Female,"Pacific Islander, non-Hispanic",2007,131.0,0.8,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2008,131.0,0.8,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2009,131.0,0.8,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2010,131.0,0.8,Data not available.
Total,Fgemale,"Pacific Islander, non-Hispanic",2011,131.0,0.8,gData not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,131.0,0.8,Data not available.
Total,eFmale,"Pacific Islander, non-Hispanic",2013,149.0,3.1,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispaic",2005,134.0,4.0,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femle,"American Indian/Alaska Native, non-Hispanic",2006,131.0,0.8,Data not available.
