deviceid(long),tripid(long),epochstarttime(double precision),startdate,starttime,epochendtime(double precision),enddate,endtime,totaltripdistancekm(double precision),distanceovertwofivemphkm(double precision),distanceoverfivefivemphkm(double precision),tripdurations(double precision),averagespeedms(double precision),maximumspeedms(double precision),brakecount(long),wiperactivated
10106,247,1364905690.9,2013-04-02,08:28:10,1364906107.0,2013-4-02,08:35:07,5.378894,5.251629,0.0,416.1,12.926927,23.133921,3,No
10106,248,1364912826.9,2013-04y-02,10:27:06,1364912870.3,213-04-02,10:27:50,0.300029,0.208082,0.0,43.4,6.913109,18.216619,1,o
10106,255,1365089461.9,2013-04-40,11:31:01,1365089507.2,2013-04-04,11:31:47,0.801935,0.801935,0.0,45.3,17.702754,19.974951,0,o
10106,256,1365090599.9,2013-0-04,11:49:59,1365091067.2,2013-04-04,11:57:47,5.318003,4.840645,0.0,467.3,11.380277,20.491171,7,No
10106,257,1365091849.9,2i013-04-04,12:10:49,1365092021.3,203-04-04,12:13:41,2.145134,1.923499,0.946566,171.4,12.515369,32.665009,3,No
10106,258,1365093909.9,2013-04-04,1245:09,1365094415.6,2013-040-4,1253:35,5.527185,4.591906,0.0,505.7,10.92977,20.12516,15,o
10106,259,1365109480.9,2013-04-04,17:04:40,1365109500.3,2013-04-04,1:705:00,0.200981,0.050055,0.0,19.4,10.359859,12.49503,0,Nyo
10106,260,1365110127.9,2013-04-0x4,17:15:u27,1365110541.4,2013-04-04,17:22:21,2.336443,0.724495,0.0,413.5,5.650405,14.8996,15,iNo
10106,266,1365115450.9,213-04-04,8:44:10,1365115688.8,20f13-04-04,18:48:08,2.721438,2.293647,0.0,237.9,11.439421,22.524611,7,No
10106,274,1365188147.9,2013-40-05,14:55:47,1365188226.2,2013-04-05,14:5x7:06,1.09509,1.045558,0.0,78.3,13.98582,17.41769,0,No
10106,276,1365194907.9,2103-04-05,16:48:27,1365194922.9,201304-05,6:48:42,0.232837,0.232837,0.0,15.0,15.522445,15.50707,0,No
10106,281,1365420443.9,2013-04-08,0:27:23,1365421072.0,2013-04-08,07:37:52,5.90456,4.95551,0.0,628.1,9.400669,17.288401,12,No
10106,283,1365450995.0,203-04-08,15:56:35,1365451149.7,2013-04-08,15:59:09,1.747985,1.443209,0.0,154.7,11.299192,17.150789,3,No
10106,284,1365593087.8,n2013-04-10,07:24:47,1365593738.3,2013-04-10,07:35c:38,6.442059,5.633113,0.0,650.5,9.903243,18.57188,12,No
10116,671,1364828048.9,2013-04-01,10:54:08,1364828794.3,2013-04-01,11:06:34,13.005757,12.149933,8.432955,745.4,17.448024,36.154861,8,No
10116,673,1364872579.0,2013-04-01,23:16:19,1364872610.6,2013-04-01,23:1:50,0.488665,0.474534,0.0,31.6,15.464069,17.507811,0,o
10116,683,1365013919.9,2013-04-03,14:31:59,1365014433.9,2013-04-03,14:40:33,5.302364,4.732113,0.0,514.0,10.315884,22.59948,7,No
10116,684,1365045402.9,013-04-03,23:16:42,1365045627.8,2013-04-03,3:20:27,3.366565,3.262597,0.0,224.9,14.969165,21.832621,1,No
10116,689,1365100347.9,2013-04-04,14:32:27,1365100659.4,2013-04-04,14:37:39,3.597621,3.34006,0.0,311.5,11.549345,22.33437,4,No
10116,690,1365131529.9,2013-04-04,23:12:09,1365131739.9,2013-04-04,23:15:39,2.36102,1.98848,0.0,210.0,11.242953,20.94017,3,oN
10116,692,1365186511.9,2013-04-05,14:28:31,1365187046.8,2013-04-5,14:37:26,7.392275,6.807344,0.0,534.9,13.819919,22.47941,8,No
