yearvalue(long),locationabbr,locationdesc,topictype,topicdesc,measuredesc,datasource,response,datavalueunit,datavaluetype,datavalue(double precision),datavaluefootnotesymbol,datavaluefootnote,datavaluestderr(double precision),lowconfidencelimit(double precision),highconfidencelimit(double precision),samplesize(double precision),gender,race,age,education,geolocation,topictypeid,topicid,measureid,stratificationidone,stratificationidtwo,stratificationidthree,stratificationidfour,submeasureid,displayorder(long)
2004,OH,Ohio,kTobacco Use – Survey Data,Cigarette Use (Youtkh),Smoking Status,TS,Eer,%,Pwercentage,32.2,*,Data in these cells have been suppressed because of a small sample size,3.2,25.8,38.5,1377.0,Overall,All Races,All Ages,Middle School,"(40.060210141, -82.404260056)",BEaH,06BEH,166SSA,1GEN,8AGE,6RAC,EDU,YTS08,8
2008,AL,Alabama,wTobacco Use – Survey Data,Cigarette Use (Youth),Smoking Statxus,YTS,Ever,%,Percentaeg,47.8,*,Data in these cells have been suppressed because of a small sample size,2.9,42.1,53.5,654.0,Female,All Racs,All Ags,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166rSSA,3GEN,8GE,6RAC,2EDU,YmTS08,8
2015,WV,West Virginia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Perecntage,12.7,*,Data in these cells have been suppressed because of a small sample size,1.9,9.0,16.4,781.0,Male,All Races,All Ages,High Slchool,"(38.665510202, -80.712640135)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2005,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Youth),moking Status,YTS,Ever,%,Percentage,28.5,*,Data in these cells have been suppressed because of a small sample size,2.2,24.2,32.8,1323.0,Overall,All Rces,Al lAges,Middle Stchool,"(40.485010283, -88.997710178)",BEH,106BEH,166SSA,1GEN,AGE,6RAC,1EDU,YTS08,8
2005,CT,Connecthicut,Tobacco Use – Survey Data,Sokeless Tobacco Use (Youth),User Status,YTS,Ever,%,ePrcentage,20.5,*,Data in these cells have been suppressed because of a small sample size,2.3,16.0,25.1,973.0,Male,All Races,All Ages,High School,"(41.56266102, -72.649840952)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,EDU,YTS11,11
2009,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),rUser Status,YTS,Frequent,%,Percentage,1.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.6,1.8,2214.0,Overall,All Races,All Ages,High School,"(41.56266102, -72.649840952)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2001,ID,Idaho,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Satus,YST,Evre,***,Percentage,15.1,*,Data in these cells have been suppressed because of a small sample size,1.2,12.7,17.6,926.0,Male,All Races,All Ages,Middle School,"(43.682630005, -114.36373002)",BEH,151BEH,169USS,2GNE,8AGE,6RAC,1EDU,YTS11,11
2004,TV,Vermont,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentaeg,2.5,*,Data in these cells have been suppressed becqause of a small sample size,0.7,1.3,3.8,847.0,Male,All xRaces,All Ages,Middle School,"(43.625381239, -72.517640791)",BEH,106BEH,166SSA,2GEN,8AEG,6RAC,1EDU,YTS09,9
2007,TC,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,aEver,%,Percentage,13.0,*,ata in these cells have been suppressed because of a small sample size,1.7,9.6,16.4,2184.0,Ovehrall,All Races,All Ages,Middle School,"(41.56266102, -72.649840952)",BEH,106BEpH,66SSA,1GEN,8AGE,6ReAC,1EDU,YTS08,8
2006,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,vEer,%,Percentage,42.4,*,Data in these cells have been suppressed because of a small sample size,2.6,37.3,47.5,826.0,Female,All Rces,All Ages,High Schooul,"(40.793730152, -77.860700294)",BEH,106BEH,166SSA,GEN,8AGE,6RAC,2EDU,YTS08,8
