OBJECTID,SPECINTMGTAREAID,CASENAME,LOCALCASEID,AREANAME,AREATYPE,FS_STATUS_METHOD,ACTIONDATE,EXPIRATIONDATE,BOUNDARYSTATUS,BLM_SERIALNO_EXT,OFFICIALACRES,GIS_ACRES,COMMENTS,REGION,SHAPEAREA,SHAPELEN
65789,449eba60-633b-47a0-9ba4-177d6d069f3c,Camp Hale FUDS,NONE,East Fork Valley Range Complex,CERCLA SITE,,2015/09/10 00:00:00+00,,"Provisional, Subject to Change",,382,611.296,,02,0.00025876116256035,0.130705768971657
65790,241946f0-9b3c-4e3b-ac03-830c0d05df98,Camp Hale FUDS,NONE,Ruby Gulch Range Complex,CERCLA SITE,,2013/09/25 00:00:00+00,,"Provisional, Subject to Change",,1944,1901.282,,02,0.0008055786968907,0.183555830437241
65791,bad2f4e7-d81f-419e-8b84-8884a9bf677f,Nelson Tunnel NPL,NONE,Nelson Tunnel NPL Site,CERCLA SITE,,2008/09/03 00:00:00+00,,"Provisional, Subject to Change",,36.69,36.697,Operable Unit 1 (Waste Rock Pile) and Operable Unit 2 (Draining Mine Tunnel),02,1.520816543755e-05,0.0851268905152626
65792,a7a69566-3ff2-4326-b541-57986a4eed0a,Minnie Mine Cap,CERCLA001,Minnie Mine,CERCLA SITE,,2006/06/05 00:00:00+00,,Final,,4.13,4.13,,06,2.02474050995e-06,0.00601893419135681
65793,8e090a56-75ae-4553-8cda-79c43be016aa,Wildcat/Addison Branch Mines,DBN9001,Wildcat Branch Area B - Phase I Bioreactor,CERCLA SITE,,2008/09/03 00:00:00+00,,"Provisional, Subject to Change",,,0.022,,08,9.0131054e-09,0.000381106942776154
65794,d9dcef13-3c66-4977-9ac4-9edcfbe781ea,Barren Fork Mines,DBN9000,Pigeon Roost Branch and Tributary,CERCLA SITE,,2008/09/03 00:00:00+00,,"Provisional, Subject to Change",,,116.608,,08,4.763044434005e-05,0.0298455781697105
65795,bcc764b6-cbd7-4240-b31a-8434efb6be87,Rock Creek Mines,DBN9002,Water Fork Mine,CERCLA SITE,,2008/09/03 00:00:00+00,,"Provisional, Subject to Change",,,53.132,,08,2.16861798742e-05,0.018437000134271
65796,76ebad65-b061-4845-8d2c-c8e309eee28a,Wildcat/Addison Branch Mines,DBN9001,Wildcat Branch Area B - Blue Pond Lowering and Repair,CERCLA SITE,,2008/09/03 00:00:00+00,,"Provisional, Subject to Change",,,0.313,,08,1.2815181765e-07,0.00145781650117562
65797,70d7381f-c516-4ee9-89ad-ad7028308c61,Barren Fork Mines,DBN9000,Middle Barren Fork Area,CERCLA SITE,,2008/09/03 00:00:00+00,,"Provisional, Subject to Change",,,443.008,,08,0.0001809664729748,0.0544330465009382
65798,2f5e4964-0145-43b9-a397-6bd4cd6bcb9c,Rock Creek Mines,DBN9002,Cabin Branch and Unnamed Branch Mine,CERCLA SITE,,2008/09/03 00:00:00+00,,"Provisional, Subject to Change",,,124.274,,08,5.07116011778e-05,0.0311549715719944
