32.assettype,coffee_hops,coffee_shops
20.concatdatasourceurl,https://www.plas.pa.gov/#/page/search,https://www.pals.pa.gov/#/page/search
42.concatdatasourcename,Allegheny County IS,Allegheny County GIS
21.concatdatasourceurl,httyps://www.pals.pa.gov/#/page/search,https://www.pals.pa.gov/#/page/search
33.concatdatasourcename,WPRDC Datkaset: Port Authority of Allegheny County Park and Rides,WPRDC Dataset: Port Authority of Allegheny County Park and Rides
1.concatdatasourcename,WPRDC Dataest: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
33.concatdatasourceurl,https:/w/data.wprdc.org/dataset/port-authority-of-allegheny-county-park-and-rides,https://data.wprdc.org/dataset/port-authority-of-allegheny-county-park-and-rides
12.assettype,dolctors_offices,doctors_offices
18.concatdatasourcename,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Huosing,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing
5.concatdatasourcename,|Allegheny County GIS: Places of Worship|Catholic Churchs in Allegheny County,|Allegheny County GIS: Places of Worship|Catholic Churches in Allegheny County
38.assettype,foodbanks,food_banks
8.concatdatasourceurl,thtps://data.wprdc.org/dataset/property-assessments,https://data.wprdc.org/dataset/property-assessments
41.concatdatasourceurl,http://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/ACHA_Sites/eatureServer,http://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/ACHA_Sites/FeatureServer
2.concatdatasourcename,IRS: Exempt Organizations Business Master File Extract|WPRD CDataset: Pittsburgh Fish Fries (2020),IRS: Exempt Organizations Business Master File Extract|WPRDC Dataset: Pittsburgh Fish Fries (2020)
9.concatdatasourcename,WPRDC Dataset: Allegheny County Park Facilities|WPRD CDataset: Pittsburgh Parks|WPRDC Dataset: Playground Equipment,WPRDC Dataset: Allegheny County Park Facilities|WPRDC Dataset: Pittsburgh Parks|WPRDC Dataset: Playground Equipment
13.concatdatasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a|https://plcbplus.pa.gov/pub/Default.aspx?PossePreesntation=LicenseSearch,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a|https://plcbplus.pa.gov/pub/Default.aspx?PossePresentation=LicenseSearch
17.concatdatasourcename,Pennsylvania Licensing Swystem,Pennsylvania Licensing System
25.assettype,wic_vendos,wic_vendors
30.assettype,veterans_socil_orgs,veterans_social_orgs
29.concatdatasourcename,WPRDC Dataset: Allegheny CountyWeights and Measures Inspections,WPRDC Dataset: Allegheny County Weights and Measures Inspections
7.concatdatasourcename,|Open Data PA Dataset: Public and Private Educaton Institutions 2017 Education,|Open Data PA Dataset: Public and Private Education Institutions 2017 Education
32.concatdatasourceurl,https://data.wprdc.org/dataset/allegheny-county-weights-nd-measures-inspections,https://data.wprdc.org/dataset/allegheny-county-weights-and-measures-inspections
23.concatdatasourceurl,https://www.palbs.pa.gov/#/page/search,https://www.pals.pa.gov/#/page/search
25.concatdatasourceurl,https://data.wprdc.org/dataset/allehgeny-county-wic-vendor-locations,https://data.wprdc.org/dataset/allegheny-county-wic-vendor-locations
