Geographic_Area,Date,Unemployment_Rate,ObjectId
Mesa,2012/07/31 07:00:00+00,8.1,1
Scottsdale,2012/07/31 07:00:00+00,6,2
Gilbert ,2012/07/31 07:00:00+00,5.8,3
Chandler,2012/07/31 07:00:00+00,6.6,4
Phoenix,2012/07/31 07:00:00+00,8.5,5
Glendale ,2012/07/31 07:00:00+00,8.8,6
Goodyear,2012/07/31 07:00:00+00,8.1,7
Tempe,2012/07/31 07:00:00+00,7.4,8
Phoenix MSA,2012/07/31 07:00:00+00,8,9
Arizona,2012/07/31 07:00:00+00,8.3,10
US,2012/07/31 07:00:00+00,8.2,11
Mesa,2013/07/31 07:00:00+00,7.1,12
Scottsdale,2013/07/31 07:00:00+00,5.7,13
Gilbert ,2013/07/31 07:00:00+00,5.5,14
Chandler,2013/07/31 07:00:00+00,5.7,15
Phoenix,2013/07/31 07:00:00+00,7.2,16
Glendale ,2013/07/31 07:00:00+00,7.5,17
Goodyear,2013/07/31 07:00:00+00,7.2,18
Tempe,2013/07/31 07:00:00+00,6.5,19
Phoenix MSA,2013/07/31 07:00:00+00,7,20
Arizona,2013/07/31 07:00:00+00,7.8,21
US,2013/07/31 07:00:00+00,7.3,22
Mesa,2014/07/31 07:00:00+00,6.1,23
Scottsdale,2014/07/31 07:00:00+00,4.9,24
Gilbert ,2014/07/31 07:00:00+00,5,25
Chandler,2014/07/31 07:00:00+00,5.3,26
Phoenix,2014/07/31 07:00:00+00,6.5,27
Glendale ,2014/07/31 07:00:00+00,6.7,28
Goodyear,2014/07/31 07:00:00+00,6.2,29
Tempe,2014/07/31 07:00:00+00,5.7,30
Phoenix MSA,2014/07/31 07:00:00+00,6.2,31
Arizona,2014/07/31 07:00:00+00,6.7,32
US,2014/07/31 07:00:00+00,6.2,33
Mesa,2015/07/31 07:00:00+00,5.4,34
Scottsdale,2015/07/31 07:00:00+00,4.4,35
Gilbert ,2015/07/31 07:00:00+00,4.2,36
Chandler,2015/07/31 07:00:00+00,4.6,37
Phoenix,2015/07/31 07:00:00+00,5.6,38
Glendale ,2015/07/31 07:00:00+00,5.7,39
Goodyear,2015/07/31 07:00:00+00,5.6,40
Tempe,2015/07/31 07:00:00+00,5.1,41
Phoenix MSA,2015/07/31 07:00:00+00,5.5,42
Arizona,2015/07/31 07:00:00+00,6,43
US,2015/07/31 07:00:00+00,5.2,44
Mesa,2016/07/31 07:00:00+00,4.8,45
Scottsdale,2016/07/31 07:00:00+00,3.9,46
Gilbert ,2016/07/31 07:00:00+00,3.9,47
Chandler,2016/07/31 07:00:00+00,4.2,48
Phoenix,2016/07/31 07:00:00+00,5,49
Glendale ,2016/07/31 07:00:00+00,5.1,50
Goodyear,2016/07/31 07:00:00+00,5,51
Tempe,2016/07/31 07:00:00+00,4.6,52
Phoenix MSA,2016/07/31 07:00:00+00,4.9,53
Arizona,2016/07/31 07:00:00+00,5.3,54
US,2016/07/31 07:00:00+00,4.9,55
Mesa,2017/07/31 07:00:00+00,4.3,56
Scottsdale,2017/07/31 07:00:00+00,3.5,57
Gilbert ,2017/07/31 07:00:00+00,3.6,58
Chandler,2017/07/31 07:00:00+00,3.9,59
Phoenix,2017/07/31 07:00:00+00,4.4,60
Glendale ,2017/07/31 07:00:00+00,4.7,61
Goodyear,2017/07/31 07:00:00+00,4.3,62
Tempe,2017/07/31 07:00:00+00,4.1,63
Phoenix MSA,2017/07/31 07:00:00+00,4.3,64
Arizona,2017/07/31 07:00:00+00,4.7,65
US,2017/07/31 07:00:00+00,4.3,66
Mesa,2018/07/31 07:00:00+00,4.2,67
Scottsdale,2018/07/31 07:00:00+00,3.4,68
Gilbert ,2018/07/31 07:00:00+00,3.6,69
Chandler,2018/07/31 07:00:00+00,3.7,70
Phoenix,2018/07/31 07:00:00+00,4.3,71
Glendale ,2018/07/31 07:00:00+00,4.5,72
Goodyear,2018/07/31 07:00:00+00,4.2,73
Tempe,2018/07/31 07:00:00+00,4,74
Phoenix MSA,2018/07/31 07:00:00+00,4.3,75
Arizona,2018/07/31 07:00:00+00,4.6,76
US,2018/07/31 07:00:00+00,3.9,77
Mesa,2019/07/31 07:00:00+00,4.3,78
Scottsdale,2019/07/31 07:00:00+00,3.6,79
Gilbert ,2019/07/31 07:00:00+00,3.5,80
Chandler,2019/07/31 07:00:00+00,3.8,81
Phoenix,2019/07/31 07:00:00+00,4.4,82
Glendale ,2019/07/31 07:00:00+00,4.5,83
Goodyear,2019/07/31 07:00:00+00,4.5,84
Tempe,2019/07/31 07:00:00+00,4.1,85
Phoenix MSA,2019/07/31 07:00:00+00,4.4,86
Arizona,2019/07/31 07:00:00+00,4.7,87
US,2019/07/31 07:00:00+00,3.7,88
Mesa,2020/07/31 07:00:00+00,10,89
Scottsdale,2020/07/31 07:00:00+00,9.3,90
Gilbert ,2020/07/31 07:00:00+00,8.2,91
Chandler,2020/07/31 07:00:00+00,9,92
Phoenix,2020/07/31 07:00:00+00,11.2,93
Glendale ,2020/07/31 07:00:00+00,10.9,94
Goodyear,2020/07/31 07:00:00+00,9.8,95
Tempe,2020/07/31 07:00:00+00,10.2,96
Phoenix MSA,2020/07/31 07:00:00+00,10.3,97
Arizona,2020/07/31 07:00:00+00,10.6,98
US,2020/07/31 07:00:00+00,10.2,99
Mesa,2021/07/31 07:00:00+00,5.5,100
Scottsdale,2021/07/31 07:00:00+00,4.5,101
Gilbert ,2021/07/31 07:00:00+00,4.2,102
Chandler,2021/07/31 07:00:00+00,4.9,103
Phoenix,2021/07/31 07:00:00+00,6.2,104
Glendale ,2021/07/31 07:00:00+00,6.3,105
Goodyear,2021/07/31 07:00:00+00,6.2,106
Tempe,2021/07/31 07:00:00+00,5.4,107
Phoenix MSA,2021/07/31 07:00:00+00,5.8,108
Arizona,2021/07/31 07:00:00+00,6.6,109
US,2021/07/31 07:00:00+00,5.4,110
Mesa,2022/07/31 07:00:00+00,3.5,111
Scottsdale,2022/07/31 07:00:00+00,2.9,112
Gilbert ,2022/07/31 07:00:00+00,2.9,113
Chandler,2022/07/31 07:00:00+00,3.2,114
Phoenix,2022/07/31 07:00:00+00,3.5,115
Glendale ,2022/07/31 07:00:00+00,3.6,116
Goodyear,2022/07/31 07:00:00+00,3.6,117
Tempe,2022/07/31 07:00:00+00,3.2,118
Phoenix MSA,2022/07/31 07:00:00+00,3.4,119
Arizona,2022/07/31 07:00:00+00,3.5,120
US,2022/07/31 07:00:00+00,3.7,121
