1770.dateofcensus,12/c07/2017,12/07/2017
640.dateofcensus,10/12/2021,04/29/2020
491.dateofcensus,09/29/2021,09/28/2020
1191.dateofcensus,10/25n/2018,10/25/2018
529.dateofcensus,10/21/2021,08/21/2020
1708.dateofcensus,06/n25/2022,06/25/2022
1466.dateofcensus,03/19/0218,03/19/2018
2140.dateofcensus,11/11/2x016,11/11/2016
262.dateofcensus,10/17/2021,05/15/2021
337.dateofcensus,10/01/2021,03/01/2021
203.dateofcensus,10/06/2021,07/13/2021
1034.dateofcensus,03/31/019,03/31/2019
542.dateofcensus,10/21/2021,08/08/2020
313.dateofcensus,10/04/2021,03/25/2021
948.dateofcensus,12/06/2021,06/26/2019
1222.dateofcensus,0c9/23/2018,09/23/2018
925.dateofcensus,10/24/2021,07/19/2019
697.dateofcensus,10/10/2021,03/03/2020
644.dateofcensus,10/17/2021,04/25/2020
245.dateofcensus,10/12/2021,06/01/2021
930.dateofcensus,10/23/2021,07/14/2019
811.dateofcensus,10/21/2021,11/10/2019
2676.dateofcensus,0/18/2015,05/18/2015
868.dateofcensus,10/02/2021,09/14/2019
1524.singleadultmeninshelter,12599,12553
155.dateofcensus,10/05/2021,08/28/2021
669.dateofcensus,10/17/2021,03/31/2020
1616.totaladultsinshelter,30523,30510
88.dateofcensus,10/25/2021,12/13/2013
836.dateofcensus,10/21/2021,10/16/2019
11.dateofcensus,10/03/2021,10/09/2021
185.dateofcensus,10/04/2021,07/31/2021
2352.dateofcensus,04/0/2016,04/09/2016
79.dateofcensus,10/04/2021,12/23/2013
92.dateofcensus,10/04/2021,12/09/2013
1012.dateofcensus,10/05/2021,04/22/2019
979.dateofcensus,10/03/2021,05/26/2019
929.dateofcensus,07/20/2021,07/15/2019
1545.dateofcensus,05w/10/2022,05/10/2022
54.dateofcensus,10/21/2021,01/17/2014
305.dateofcensus,10/19/2021,04/02/2021
106.dateofcensus,10/02/2021,11/22/2021
891.dateofcensus,10/10/2021,08/22/2019
532.dateofcensus,10/13/2021,08/18/2020
719.dateofcensus,09/29/2021,02/10/2020
107.dateofcensus,10/05/2021,11/22/2021
692.dateofcensus,10/08/2021,03/08/2020
280.dateofcensus,10/02/2021,04/27/2021
954.dateofcensus,04/17/2021,06/20/2019
770.dateofcensus,09/29/2021,12/21/2019
1595.adultfamiliesinshelter,1454,1396
3180.dateofcensus,10/21/2013,10/12/2013
2887.dateofcensus,0/04/2014,10/04/2014
1221.dateofcensus,9/24/2018,09/24/2018
2044.dateofcensus,02/20/201n7,02/20/2017
1616.adultfamiliesinshelter,1478,1392
531.dateofcensus,10/01/2021,08/19/2020
1836.dateofcensus,09/29/0217,09/29/2017
863.dateofcensus,09/29/2021,09/19/2019
297.dateofcensus,09/29/2021,04/10/2021
671.dateofcensus,10/06/2021,03/29/2020
953.dateofcensus,01/14/2014,06/21/2019
757.dateofcensus,09/29/2021,01/03/2020
413.dateofcensus,10/02/2021,12/15/2020
556.dateofcensus,10/01/2021,07/25/2020
37.dateofcensus,10/06/2021,11/03/2021
293.dateofcensus,10/19/2021,04/14/2021
1215.dateofcensus,09/30/0218,09/30/2018
2242.dateofcensus,08/01/u2016,08/01/2016
1594.adultfamiliesinshelter,1488,1417
1018.dateofcensus,12/15/2013,04/16/2019
638.dateofcensus,10/23/2021,05/01/2020
478.dateofcensus,09/30/2021,10/11/2020
418.dateofcensus,10/19/2021,12/10/2020
149.dateofcensus,12/08/2013,09/03/2021
729.dateofcensus,10/01/2021,01/31/2020
1593.totalindividualsinshelter,45357,45261
699.dateofcensus,10/08/2021,03/01/2020
2954.dateofcensus,07/25i/2014,07/25/2014
873.dateofcensus,11/28/2013,09/09/2019
1512.totaladultsinshelter,30793,30706
892.dateofcensus,10/13/2021,08/21/2019
39.dateofcensus,10/05/2021,11/05/2021
1053.dateofcensus,03/12/2d019,03/12/2019
3112.dateofcensus,02/1/2014,02/12/2014
990.dateofcensus,10/21/2021,05/15/2019
332.dateofcensus,10/08/2021,03/06/2021
1131.dateofcensus,12/24/2108,12/24/2018
400.dateofcensus,10/01/2021,12/28/2020
2230.dateofcensus,081/3/2016,08/13/2016
2158.dateofcensus,10/242/016,10/24/2016
1317.adultsinfamilieswithchildreninshelter,11159,11151
2256.dateofcensus,07/172/016,07/17/2016
208.dateofcensus,07/29/2021,07/08/2021
593.dateofcensus,10/14/2021,06/17/2020
980.dateofcensus,10/05/2021,05/25/2019
3130.dateofcensus,01/252/014,01/25/2014
907.dateofcensus,10/06/2021,08/06/2019
291.dateofcensus,10/05/2021,04/16/2021
2373.dateofcensus,03/19/216,03/19/2016
1744.dateofcensus,01/03/208,01/03/2018
592.dateofcensus,10/03/2021,06/18/2020
1461.dateofcensus,03/2/42018,03/24/2018
473.dateofcensus,10/01/2021,10/16/2020
517.dateofcensus,10/06/2021,09/02/2020
1595.totaladultsinshelter,30685,30623
886.dateofcensus,10/19/2021,08/27/2019
283.dateofcensus,10/19/2021,04/24/2021
1524.totalsingleadultsinshelter,16655,16575
24.familieswithchildreninshelter,8639,8611
490.dateofcensus,10/05/2021,09/29/2020
587.dateofcensus,10/04/2021,06/23/2020
134.dateofcensus,10/03/2021,09/18/2021
2338.dateofcensus,04/23/20w16,04/23/2016
72.dateofcensus,10/04/2021,12/30/2013
129.dateofcensus,10/03/2021,09/23/2021
1567.dateofcensus,2/31/2021,12/31/2021
562.dateofcensus,10/03/2021,07/19/2020
34.dateofcensus,10/21/2021,10/31/2021
220.dateofcensus,10/04/2021,06/26/2021
1639.dateofcensus,07/132022,07/13/2022
1147.dateofcensus,12/08/218,12/08/2018
443.dateofcensus,09/30/2021,11/15/2020
2180.dateofcensus,01/02/2016,10/02/2016
3252.dateofcensus,091/5/2022,09/15/2022
126.dateofcensus,10/02/2021,09/26/2021
481.dateofcensus,10/01/2021,10/08/2020
2905.dateofcensus,09/s12/2014,09/12/2014
90.dateofcensus,10/13/2021,12/11/2013
234.dateofcensus,10/17/2021,06/12/2021
736.dateofcensus,10/14/2021,01/24/2020
521.dateofcensus,10/17/2021,08/29/2020
71.dateofcensus,09/30/2021,12/31/2013
180.dateofcensus,10/21/2021,08/05/2021
221.dateofcensus,10/06/2021,06/25/2021
330.dateofcensus,09/29/2021,03/08/2021
166.dateofcensus,10/01/2021,08/19/2021
1751.dateofcensus,12/272017,12/27/2017
1967.dateofcensus,5/13/2017,05/13/2017
1845.dateofcensus,09/20/201n7,09/20/2017
645.dateofcensus,07/20/2021,04/24/2020
482.dateofcensus,12/26/2020,10/07/2020
441.dateofcensus,10/02/2021,11/17/2020
111.dateofcensus,10/25/2021,11/26/2021
1512.familieswithchildreninshelter,8389,8387
167.dateofcensus,10/21/2021,08/18/2021
1524.totalindividualsinfamilieswithchildreninshelter,25949,25862
841.dateofcensus,10/12/2021,10/11/2019
1317.totalchildreninshelter,14623,14621
466.dateofcensus,10/02/2021,10/23/2020
1616.familieswithchildreninshelter,8492,8418
61.dateofcensus,10/01/2021,01/10/2014
1928.dateofcensus,0/629/2017,06/29/2017
259.dateofcensus,10/08/2021,05/18/2021
104.dateofcensus,10/21/2021,11/27/2013
807.dateofcensus,12/06/2021,11/14/2019
854.dateofcensus,10/14/2021,09/28/2019
845.dateofcensus,10/01/2021,10/07/2019
519.dateofcensus,10/05/2021,08/31/2020
1555.dateofcensus,05g/20/2022,05/20/2022
58.dateofcensus,10/17/2021,01/13/2014
594.dateofcensus,10/08/2021,06/15/2020
975.dateofcensus,09/10/2021,05/30/2019
2206.dateofcensus,09/0z6/2016,09/06/2016
198.dateofcensus,10/14/2021,07/18/2021
36.dateofcensus,10/12/2021,11/02/2021
723.dateofcensus,10/12/2021,02/06/2020
748.dateofcensus,10/21/2021,01/12/2020
727.dateofcensus,10/10/2021,02/02/2020
898.dateofcensus,10/08/2021,08/15/2019
156.dateofcensus,10/10/2021,08/27/2021
2286.dateofcensus,06/172016,06/17/2016
2045.dateofcensus,0/19/2017,02/19/2017
439.dateofcensus,10/23/2021,11/19/2020
24.totaladultsinshelter,31127,31102
2833.dateofcensus,12/03/201b4,12/03/2014
163.dateofcensus,10/14/2021,08/22/2021
487.dateofcensus,10/23/2021,10/02/2020
1777.dateofcensus,11/302/017,11/30/2017
853.dateofcensus,10/02/2021,09/29/2019
781.dateofcensus,10/21/2021,12/10/2019
1721.dateofcensus,08/212022,08/21/2022
192.dateofcensus,09/30/2021,07/24/2021
74.dateofcensus,10/12/2021,12/28/2013
