2.blmacres,484740.02108545,139478.10851625
2.shape_area,2.63267092450239E9,6.44120064288211E8
3.shape_length,118488.228410811,287198.897827302
40.tmpdclracres,66,0
10.tmpurl,https://eplanning.blm.gove/planning-ui/project/99358/510,https://eplanning.blm.gov/eplanning-ui/project/99358/510
10.admunm,Arizona Strip Field Ofice,Arizona Strip Field Office
2.objectid,1735.0,1736
4.objectid,1735.0,1739
42.admunitcd,AZrC02000,AZC02000
3.shape_area,2.63267092450239E9,7.67790799735701E8
2.global_id,{120F29D6-CE88-4547-BFFE-8F4D8DAD38F8},{1B359727-30E8-4F52-868D-FF6A497CBD23}
1.tmpnm,"Littlefield, St. George Basin and Colorado City",Alamo-Wenden
4.shape_area,2.63267092450239E9,6.19846586142513E8
4.shape_length,118488.228410811,219735.465489277
10.admunitcd,AZA010x00,AZA01000
3.objectid,1735.0,1737
10.lupaid,LUPA00209,LUPA000209
40.tmpdecsndt,9999/09/09 00:00:00+00***,9999/09/09 00:00:00+00
8.tmpurl,https://eplanning.blm.gov/eplanning-ui/projct/99358/510,https://eplanning.blm.gov/eplanning-ui/project/99358/510
1.shape_length,118488.228410811,271116.318856856
10.tmpid,DOI-BLM-AZ-A010-2011-0012-AE,DOI-BLM-AZ-A010-2011-0012-EA
39.admunm,Arizona Strip Fied Office,Arizona Strip Field Office
3.gisacres,153167.42711987,189725.23845571
