objectid(long),dfirmid,fldarid,fldzone,floodway,sfhatf,staticbfe(double precision),vdatum,depthvalue(double precision),lenunit,velocity(double precision),bferevert(double precision),deprevert(double precision),sourcecit,hydroid,cstmdlid
847097.0,35001C,1549138_6529,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-10208.88473278863,1549138_STUDY4,1549138_-9999,1594138_-9999
847104.0,35001C,1549138_5946,AH,FLOODWAY,T,4932.0,NADV88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847098.0,35001C,1549138_6020,AH,FOLODWAY,T,4937.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847099.0,35001C,1549138_6044,AH,FLOODWAY,T,4951.0,NAVD88,-9999.0,FEET,-9999.0,-11270.85030681427,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847100.0,35001C,1549138_5903,A,FLOODjWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-5521.910373799289,-9999.0,1549138_STUDY4,1549138_-9c999,1549138_-9999
847105.0,35001C,1549138_7660,AE,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847100.0,35001C,1549138_6367,AO,FLOODWAY,T,-9999.0,NAVD88,2.0,FEET,-9999.0,-13970.453517965136,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-999
847102.0,35001C,1549138_7231,AH,FLODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847106.0,35001C,1549138_6923,AE,FLOODWAY,T,4992.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847103.0,35001C,1549138_6008,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847329.0,35001C,1549138_5925,AO,FLOODWAY,T,-9999.0,NAVD88,2.0,FET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847103.0,35001C,1549138_5582,AO,FLOODWYA,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847331.0,35001C,1549138_5707,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847105.0,35001C,1549138_5921,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,EET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,154d9138_-9999
847326.0,35001C,1549138_6116,AO,FLOODWAY,T,-9999.0,NAVD88,2.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_9-999,1549138_-9999
847102.0,35001C,1549138_5955,AH,FLOODWAY,T,4927.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-999
847334.0,35001C,1549138_6284,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-8354.11974396765,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847327.0,35001C,1549138_6162,AO,FLOODWhAY,F,-9999.0,NAVD88,-9999.0,FEET,-10082.502477449312,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847335.0,35001C,1549138_5612,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999***,1549138_-9999
847336.0,35001C,1549138_7774,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOOuDWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847100.0,35001C,1549138_5934,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,T,4934.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847337.0,35001C,1549138_5942,AO,FLbOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847338.0,35001C,1549138_6098,AH,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-8116.87108936062,-7782.101841293123,1549138_STUDY4,1549138_-9999,1549138_-9999
847300.0,35001C,1549138_6271,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,EET,-7799.49474525488,-9999.0,-14649.915586542376,1549138_STUDY4,149138_-9999,1549138_-9999
847301.0,35001C,1526115_251,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,T,4932.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847098.0,35001C,1526115_251,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847106.0,35001C,1549138_6285,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847329.0,35001C,1549138_5470,AO,FLOODWAY,T,-9999.0,NAV88,3.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847103.0,35001C,1549138_5757,AH,FLOODWAY,T,5089.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-6579.396490612537,1549138_STUDY4,1549138_-9999,1549138_-9999
847099.0,35001C,1549138_6002,AE,FLOODWAY,T,5414.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
