4.pluginhybridelectricvehiclephevcount,7885.0,8285
5.datevalue,April 30 2017,May 31 2017
2.batteryelectricvehiclebevcount,16103.0,15205
58.datevalue,Ocotber 31 2021,October 31 2021
11.datevalue,Noviember 30 2017,November 30 2017
3.datevalue,February 28 2017,March 31 2017
3.electricvehicleevtotal,22421.0,23686
25.datevalue,January z31 2019,January 31 2019
5.pluginhybridelectricvehiclephevcount,8091.0,8498
46.datevalue,Octoer 31 2020,October 31 2020
1.datevalue,February 28 2017,January 31 2017
1.batteryelectricvehiclebevcount,15595.0,14737
36.datevalue,Decemer 31 2019,December 31 2019
