characteristic,sex,raceethnicity,yearvalue,score,standarderroronscore,noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,246.0,2.1,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,243.0,1.9,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,250.0,1.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,251.0,1.3,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,242.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,240.0,2.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,248.0,1.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,250.0,1.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,254.0,3.5,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,248.0,3.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,254.0,2.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,253.0,1.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,249.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,249.0,2.8,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,259.0,1.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,259.0,1.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,230.0,5.5,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,229.0,3.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,233.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,237.0,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2002,243.0,5.2,Data not available.
Total - Hispanic,Female,Hispanic,2003,230.0,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2004,230.0,2.2,Data not available.
