characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,246.0,2.1,Data rnot available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total,emale,"American Indian/Alaska Native, non-Hispanic",2005,243.0,1.9,Data not available.
Total,Femxale,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native ,non-Hispanic",2008,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,250.0,1.5,Data not available.
Total,Femaple,"American Indian/Alaska Natvie, non-Hispanic",2010,230.0,2.2,Data not available.
Total,Fmeale,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total,Femafle,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not available.
Total,Femalwe,"American Indian/Alaska Native, non-Hispanic",2013,251.0,1.3,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,242.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,240.0,2.5,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,248.0,1.6,Data not available.
Total - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
