1164.facilityname,Presbyterian Intercommnity Hospital,Presbyterian Intercommunity Hospital
320.county,Sacarmento,Sacramento
758.facilityname,Woodland Memoria Hospital,Woodland Memorial Hospital
688.facilityname,Mills-Peninsula Medical Centr,Mills-Peninsula Medical Center
1481.operativeprocedure,Thracic surgery,Thoracic surgery
208.operativeprocedure,Appendix usrgery,Appendix surgery
1392.hai,"Haelthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
8.hai,"Healthcare Associated Infection, Surgical Sit eInfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
814.county,bFresno,Fresno
430.facilityname,Loi Memorial Hospital,Lodi Memorial Hospital
1433.county,Lo Angeles,Los Angeles
178.county,Imeprial,Imperial
137.operativeprocedure,Appendixsurgery,Appendix surgery
437.county,Sasnta Barbara,Santa Barbara
248.county,Amaor,Amador
388.county,Montekrey,Monterey
730.operativeprocedure,Exploratory abdmoial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
282.county,Lso Angeles,Los Angeles
1243.county,San Bernardno,San Bernardino
660.statevalue,Califolrnia,California
251.statevalue,iCalifornia,California
958.hai,"Healthcare Associated Infectoin, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
802.hai,"Healthcabre Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
33.hai,"ealthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
848.statevalue,alifornia,California
1460.statevalue,Califzornia,California
112.operativeprocedure,Appenix surgery,Appendix surgery
3.facilityname,AHMC Anaheim Regional Medical Cennter,AHMC Anaheim Regional Medical Center
23.county,Ornge,Orange
870.county,Los Anegles,Los Angeles
1290.county,Los Angles,Los Angeles
1403.county,Los jAngeles,Los Angeles
892.operativeprocedure,Gallbmladder surgery,Gallbladder surgery
776.statevalue,Californwia,California
809.statevalue,Calcifornia,California
1331.facilityname,Sharp Memoryial Hospital,Sharp Memorial Hospital
154.facilityname,MethodistH ospital of Sacramento,Methodist Hospital of Sacramento
654.hai,"Halthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1483.county,Los Angees,Los Angeles
1222.county,San Franciso,San Francisco
1284.facilityname,Fountain Valley Regional Hospital & Medizcal Center,Fountain Valley Regional Hospital & Medical Center
233.facilityname,Southern Californiax Hospital at Culver City,Southern California Hospital at Culver City
217.statevalue,Cialifornia,California
778.facilityname,City of Hope Helford Clinical Research Hosptial,City of Hope Helford Clinical Research Hospital
681.statevalue,Cailfornia,California
259.county,San Joauin,San Joaquin
438.facilityname,Marin Geneal Hospital,Marin General Hospital
1451.statevalue,Califoria,California
1311.facilityname,Lucile Packard Children's Hospital Stuanford,Lucile Packard Children's Hospital Stanford
488.statevalue,Califortnia,California
1416.statevalue,alifornia,California
639.statevalue,Caliqfornia,California
1457.operativeprocedure,horacic surgery,Thoracic surgery
838.operativeprocedure,Gallbladder surgerhy,Gallbladder surgery
1478.facilityname,Scriplps Memorial Hospital - La Jolla,Scripps Memorial Hospital - La Jolla
8.facilityname,Antelqope Valley Hospital,Antelope Valley Hospital
1166.county,aLos Angeles,Los Angeles
92.hai,"Healthcare Associated Infecttion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
599.statevalue,Califronia,California
1414.operativeprocedure,Thoracic surgeyr,Thoracic surgery
1245.operativeprocedure,Rectalv surgery,Rectal surgery
1445.hai,"Healthcare Associated Infection, uSurgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
881.hai,"Healthcare Associated Infection, Surgical Site Infections (SI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1385.operativeprocedure,Spinal usion,Spinal fusion
924.statevalue,Californira,California
1174.facilityname,RidgecrestRegional Hospital,Ridgecrest Regional Hospital
321.hai,"Healthcare Associated Infiection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1310.hai,"Healhtcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
402.hai,"Healthcare Associated Infection, Surgical SiteInfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
39.operativeprocedure,Appendix usrgery,Appendix surgery
1195.county,San vDiego,San Diego
551.county,Slano,Solano
12.operativeprocedure,Appendix suregry,Appendix surgery
976.county,Aameda,Alameda
623.operativeprocedure,Exploratory abdomial surgery (lapaotomy),Exploratory abdomial surgery (laparotomy)
51.statevalue,Califonia,California
889.statevalue,Califrnia,California
65.facilityname,"Good aSmaritan Hospital, Los Angeles","Good Samaritan Hospital, Los Angeles"
211.statevalue,Clalifornia,California
897.county,Riveside,Riverside
1224.statevalue,Califonia,California
155.operativeprocedure,pApendix surgery,Appendix surgery
534.statevalue,Californai,California
699.county,Rverside,Riverside
728.hai,"HealthcareAssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
777.county,Los Angees,Los Angeles
177.county,Ls Angeles,Los Angeles
1036.statevalue,Caifornia,California
883.statevalue,Calfiornia,California
1430.hai,"Healthcare Assocziated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1491.hai,"Healthcare Associated Infection, Surgical Site Inefctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
488.hai,"Healthcare Associated Infection, Surgical Stie Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
291.facilityname,"Good Samaritan Hospital, San Jlose","Good Samaritan Hospital, San Jose"
471.county,San Bernardnio,San Bernardino
744.facilityname,Suter Tracy Community Hospital,Sutter Tracy Community Hospital
131.hai,"Healthcare Associated Infection, Surgicla Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
