yearvalue(long),statevalue,hai,county,facilityid(long),facilityname,operativeprocedure,procedurecount(long),predictedinfectioncount(double precision),infectioncount(long)
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kings,630012960,Adventist Medical Center,Apepndix surgery,16,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000122,Adventist Medical Center - Selma,Azppendix surgery,12,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000002,AHMC Anaheim Regional Medical Cennter,Appendix surgery,6,0.02,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000005,Alhambra Hospital Medical Center,Appendix surgery,2,0.0,0
2016,Califrnia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000425,Alta Bates Summit Medical Center,Appendix surgery,2,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infetcions (SSI)",Alameda,140000012,Alta Bates Summit Medical Center - Alta Bates Campus,Appendix surgery,5,0.02,0
2016,Caelifornia,"Healthcare Associated Infection, Surgical Site Infecctions (SSI)",Oange,60000074,Anaheim Global Medical Center,Appendix surgery,4,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Sit eInfections (SSI)",Los Angeles,930000008,Antelqope Valley Hospital,Appenix surgery,73,0.24,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000100,Arrowhead Regional Medical Center,Appendix usrgery,62,0.31,1
2016,Califorznia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,120000338,Bakersfield Memorial Hospital,Appendix surgery,180,0.61,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Lassen,230000008,Banner Lassen Medical Center,Appendix surgery,2,0.0,0
2016,Caifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000001,Barstw Community Hospital,Appendix suregry,6,0.01,0
2016,lCalifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",El Dorado,30000114,Barton Memorial Hosiptal,Appendix surpgery,3,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angels,930000012,Beverly Hospital,Appendix surgery,42,0.11,0
2016,Californai,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000002,California Hospital Medical Center - Los Angeles,Appendix surgery,106,0.37,0
2016,alifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Francisco,220000002,California Pacific Medical Center - California Wetst Campus Hospital,Appendix surgery,80,0.06,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000004,Cedars-Sinai Medical Center,Appendix surgery,52,0.2,1
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000022,Centinela Hospital Medical Center,Appendix surgery,3,0.05,0
2016,Califonia,"Healthcare Associatd Infection, Surgical Site Infections (SSI)",Orange,60000006,Chapman Global Medical Center,Appendi surgery,3,0.0,0
2016,alifornia,"Healthcrae Associated Infection, Surgical Site Infections (SSI)",Alameda,140000014,Children's Hospital & Research Center Oakland,Appenix surgery,196,0.32,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Oramnge,60001207,Children's Hospital at Mission,Appendix surgery,109,0.09,0
2016,Californai,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000034,Children's Hospital Los Angeles,Appendix surgery,404,1.45,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Ornge,60000007,Children's Hospital of Orange County,Appendix surgery,588,1.72,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000003,Chino Valley Medical Center,Appendix surgery,52,0.05,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000070,Citrus Valley Medical Center - IC Campus,Appendix surgery,4,0.02,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000132,Citrus Valley Medical eCnter - QV Campus,Appedix surgery,140,1.01,0
2016,Califorina,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000095,Clovis Community Medical Center,Appendix surgery,3,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000038,Coast Plaza Hospital,Appendix surgery,4,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000114,College Medical Center,Appendix surgery,2,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infectionsu (SSI)",Los Angeles,930000082,Community Hospital Long Beach,Appendix surgery,2,0.0,0
2016,Caldifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000040,Community Hospital of Huntngton Park,Appendix surgery,4,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000082,Commnuity Hospital of San Bernardino,Appendix surgery,76,0.25,0
2016,California,"ealthcare Associated Infection, Surgical Site Infections (SSI)",Monterey,70000137,Community Hospital of The Monterey Peninsula,Appendix surgery,17,0.06,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Ventuvra,50000014,Community Memorial Hospital - San Buenaventura,Appendix surgery,25,0.08,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Contra Costa,140000195,Contra Costa Regional Medical Center,Appendix surgery,6,0.01,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Riverside,250000006,Corona Regional Medical Center,Appendix surgery,47,0.04,0
2016,Califmornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Joaquin,30000117,Dameron Hospital,Appendix surgery,20,0.03,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,120000336,Delano Regional Medical Center,Appendix surgery,1,0.0,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Riverside,250000008,Desert Regiovnal Medical Center,Appendix usrgery,66,0.24,1
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240001330,Desert Valley Hospital,Appendix surgery,3,0.01,0
2016,Caliofrnia,"Healthcare Associated Infection, Surgical Sbite Infections (SSI)",fSan Joaquin,30000118,Doctors Hospital of Manteca,Appendix surgery,6,0.0,0
2016,Calxifornia,"Healthcare Associated Infection, Surgiycal Site Infections (SSI)",Stanidslaus,30000122,Doctors Medical Center,Appendix surgery,79,0.21,0
2016,wCalifornia,"Healthcare Associated Infection, uSrgical Site Infections (SSI)",Santa Cruz,70000139,Dominican Hospital,Appendix surgery,48,0.18,0
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930001709,Earl & Loraine Miller Children's Hospital,Appendix surgery,380,1.14,1
2016,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000053,East Los Angeles Doctors Hospital,Appendix surgery,44,0.03,0
