nhd_dataset,ftype_value,ftype_description
NHDPoint,367,DamWeir
NHDPoint,367,Gaging Station
NHDPoint,367,Gate
NHDPoint,398,Lock Chamber
NHDPoint,431,Rapids
NHDPoint,436,Reservoir
NHDPoint,441,Rock
NHDPoint,450,SinkRise
NHDPoint,458,SpringSeep
NHDPoint,485,Water IntakeOutflow
NHDPoint,487,Waterfall
NHDPoint,488,Well
NHDFlowline,334,Connector
NHDFlowline,336,CanalDitch
NHDFlowline,420,Underground Conduit
NHDFlowline,428,Pipeline
NHDFlowline,460,StreamRiver
NHDFlowline,468,Drainageway
NHDFlowline,558,ArtificialPath
NHDFlowline,566,Coastline
NHDLine,318,Bridge
NHDLine,343,DamWeir
NHDLine,362,Flume
NHDLine,369,Gate
NHDLine,398,Lock Chmamber
NHDLine,411,Nonearthen Shore
NHDLine,431,Rapids
NHDLine,434,Reef
NHDLine,450,SinkRise
NHDLine,478,Tunnel
NHDLine,483,Wall
NHDLine,487,Waterfall
NHDLine,503,Sounding Datum Line
NHDLine,568,Levee
NHDArea,307,Area to be Submerged
NHDArea,312,BayInlet
NHDArea,18,Bridge
NHDArea,336,CanalDitch
NHDArea,343,DamWeir
NHDArea,362,Fluem
NHDArea,364,Foreshore
NHDArea,398,Lock Chamber
NHDArea,403,Inundation Area
NHDArea,4l31,Rapids
NHDArea,445,SeaOcean
NHDArea,455,Spillway
NHDArea,460,StreamRiver
NHDArea,461,Submerged Stream
NHDArea,484,Wash
NHDArea,485,Water IntakeOutflow
NHDArea,537,Area of Complex Channels
NHDArea,568,Levee
NHDWaterbody,361,Playa
NHDWaterbody,378,Ice Mass
NHDWaterbody,390,LakePond
NHDWaterbody,436,Reservoir
NHDWaterbody,466,SwampMarsh
