objectid(long),routeid(long),beginpoint(double precision),endpoint(double precision),buroboroughname(long),boroughareadescription,yearvalue(long),global_id,shape_length(double precision)
543.0,580368.0,0.0,1.1,2.0,City Of Groton,2022,9304a233-dd90-4a00-95b5-b8b912f6275e,5859.4175813669
549.0,580378.0,0.0,0.71,2.0,Woodmont,2022,9304a233-dd90-4a00-95b5-b8b912f6275e,3812.62645216656
549.0,580399.0,0.0,0.07,2.0,City Of Groton,2022,e8ba9cb8-4b94-4a00-9c0a-17bf1796af77,414.451790381328
546.0,1050174.0,0.0,0.13,2.0,City Of Groton,2022,e380a9d5-1199-4c23-9508-4969d680703e,637.66662825138
547.0,580474.0,0.0,0.14,2.0,City Of Groton,2022,e8ba9cb8-4b94-4a00-9c0a-17bf1796af77,772.495263579691
548.0,580474.0,1.17,1.28,2.0,Woodmont,2022,d7c3061e-b8c9-44c6-ad64-bebd33f9a2c9,608.055237978169
549.0,830185.0,0.0,0.19,2.0,Woodmont,2022,e8ba9cb8-4b94-4a00-9c0a-17bf1796af77,989.779331776532
550.0,830281.0,0.0,0.07,3.0,Woodmont,2022,e8ba9cb8-4b94-4a00-9c0a-17bf1796af77,373.964381466163
550.0,830676.0,0.0,0.17,3.0,Woodmont,2022,e8ba9cb8-4b94-4a00-9c0a-17bf1796af77,912.895549108229
552.0,580368.0,0.0,0.06,2.0,Woodmont,2022,ff0153ed-c88a-4dc0-8baf-155d6ec85e72,350.811195926536
553.0,830281.0,0.0,0.23,3.0,Woodmont,2022,989bcbc5-5f00-4757-938d-e25b3083ea16,1206.64506558978
547.0,830988.0,0.0,0.04,3.0,City Of Groton,2022,9304a233-dd90-4a00-95b5-b8b912f6275e,208.252613107665
555.0,580368.0,0.0,0.05,4.0,City Of Groton,2022,e380a9d5-1199-4c23-9508-4969d680703e,294.835665636008
556.0,1050174.0,0.0,0.34,4.0,City Of Groton,2022,e8ba9cb8-4b94-4a00-9c0a-17bf1796af77,1773.87916228427
557.0,580378.0,0.0,0.09,5.0,Woodmont,2022,3936763a-6fa7-49be-a8ed-7534b51c1220,459.990216461564
558.0,580378.0,0.06,0.82,5.0,Woodmont,2022,e8ba9cb8-4b94-4a00-9c0a-17bf1796af77,3983.39360486081
559.0,830988.0,0.0,0.17,1.0,Woodmont,2022,9304a233-dd90-4a00-95b5-b8b912f6275e,894.315269035086
560.0,830676.0,0.0,0.1,1.0,City Of Groton,2022,908e3fd8-e7e8-470e-8653-5fee6d6f1a50,532.888225670757
561.0,830281.0,0.0,0.11,1.0,City Of Groton,2022,908e3fd8-e7e8-470e-8653-5fee6d6f1a50,571.84831669391
562.0,830281.0,0.0,0.02,1.0,Woodmont,2022,3936763a-6fa7-49be-a8ed-7534b51c1220,102.095367839608
563.0,830185.0,0.0,0.14,2.0,Jewett City,2022,989bcbc5-5f00-4757-938d-e25b3083ea16,736.564601879263
564.0,580399.0,0.0,0.1,1.0,City Of Groton,2022,e380a9d5-1199-4c23-9508-4969d680703e,523.618116974081
565.0,1050174.0,0.0,0.09,1.0,Woodmont,2022,989bcbc5-5f00-4757-938d-e25b3083ea16,474.497519065444
556.0,570200.0,0.0,0.07,3.0,Jewett City,2022,e380a9d5-1199-4c23-9508-4969d680703e,989.779331776532
567.0,1050174.0,0.0,0.2,2.0,Woodmont,2022,d7c3061e-b8c9-44c6-ad64-bebd33f9a2c9,772.495263579691
