#,GUILD,REALM,KILL DATE,PROGRESS,RATING
,Method,Twisting Nether-EU,19 days ago,T18M 13/13,4.0/5
,Paragon,Lightning's Blade-EU,17 days ago,T18M 13/13,0.0/5
,Экзорсус,Howling Fjord-EU,12 days ago,T18M 13/13,0.0/5
4.0,From Scratch,Sargeras-EU,8 days ago,T18M 13/13,4.5/5
5.0,Pwnanza,Kazzak-EU,5 days ago,T18M 13/13,2.7/5
6.0,Rapid Eye Movement,Tarren Mill-EU,4 days ago,T18M 13/13,4.0/5
7.0,Limit,Illidan-US,3 days ago,T18M 13/13,0.0/5
8.0,AFK R,Azshara-KR,2 days ago,T18M 13/13,0.0/5
9.0,Impact,Onyxia-EU,2 days ago,T18M 13/13,0.0/5
10.0,Right,Azshara-KR,about one day ago,T18M 13/13,0.0/5
11.0,Midwinter,Sargeras-US,22 days ago,T18M 12/13,4.0/5
12.0,Престиж Гейминг,Gordunni-EU,14 days ago,T18M 12/13,4.0/5
13.0,Открытость,Howling Fjord-EU,13 days ago,T18M 12/13,0.0/5
14.0,즐거운공격대,Azshara-KR,13 days ago,T18M 12/13,4.0/5
15.0,Ascension,Barthilas-US,12 days ago,T18M 12/13,4.0/5
16.0,Envy,Kazzak-EU,12 days ago,T18M 12/13,0.0/5
17.0,Ascendance,Draenor-EU,11 days ago,T18M 12/13,0.0/5
18.0,Ðanish Terrace,Sylvanas-EU,11 days ago,T18M 12/13,0.0/5
19.0,Entropy,Frostmourne-US,10 days ago,T18M 12/13,4.0/5
20.0,ScrubBusters,The Maelstrom-EU,9 days ago,T18M 12/13,0.0/5
21.0,set sail for fail,Nathrezim-EU,9 days ago,T18M 12/13,4.0/5
22.0,Nihilum,Tarren Mill-EU,8 days ago,T18M 12/13,4.0/5
23.0,FatSharkYes,Shattered Hand-EU,8 days ago,T18M 12/13,4.5/5
24.0,vodka,Stormrage-US,7 days ago,T18M 12/13,2.0/5
25.0,WHATEVER WERE AWESOME,Magtheridon-US,4 days ago,T18M 12/13,3.1/5
26.0,Reckoning,Mannoroth-US,one day ago,T18M 12/13,4.0/5
27.0,Promethean,Stormreaver-US,12 days ago,T18M 11/13,4.0/5
28.0,Фьюжн,Soulflayer-EU,9 days ago,T18M 11/13,0.0/5
29.0,critical luders,Thrall-EU,9 days ago,T18M 11/13,0.0/5
30.0,Punishment of Asia,Spirestone-TW,8 days ago,T18M 11/13,4.5/5
31.0,Consequence,Nordrassil-EU,7 days ago,T18M 11/13,3.4/5
32.0,NollTvåTre,Tarren Mill-EU,7 days ago,T18M 11/13,4.0/5
33.0,Embody,Drak'thul-EU,7 days ago,T18M 11/13,4.0/5
34.0,CATASTROPHE,Twisting Nether-EU,7 days ago,T18M 11/13,0.0/5
35.0,Encore,Illidan-US,5 days ago,T18M 11/13,4.2/5
36.0,Huge in Japan,Kil'jaeden-US,5 days ago,T18M 11/13,3.6/5
37.0,Honestly,Frostmourne-US,5 days ago,T18M 11/13,4.7/5
38.0,DarkStorm,Zenedar-EU,5 days ago,T18M 11/13,0.0/5
39.0,Би Негатив,Razuvious-EU,5 days ago,T18M 11/13,0.0/5
40.0,untitled spreadsheet,Eredar-EU,5 days ago,T18M 11/13,3.3/5
41.0,The Fallen,Ysondre-EU,4 days ago,T18M 11/13,4.9/5
42.0,Рассвет,Booty Bay-EU,2 days ago,T18M 11/13,4.9/5
43.0,Gambit,Thrall-EU,2 days ago,T18M 11/13,0.0/5
44.0,Ecology,Kazzak-EU,2 days ago,T18M 11/13,3.5/5
45.0,WarLegend,Ysondre-EU,about one day ago,T18M 11/13,0.0/5
46.0,In flagrantì,Aegwynn-EU,about one day ago,T18M 11/13,4.0/5
47.0,Schwingen des Phoenix,Zirkel des Cenarius-EU,about one day ago,T18M 11/13,0.0/5
48.0,Чёрный Лотос,Gordunni-EU,about one day ago,T18M 11/13,4.1/5
49.0,GoodGame,Frostmane-EU,about one day ago,T18M 11/13,4.0/5
50.0,Error Code,Burning Legion-EU,about one day ago,T18M 11/13,4.0/5
51.0,Memento,Frostwhisper-EU,about one day ago,T18M 11/13,4.5/5
52.0,Wiping As Intended,Draenor-EU,about one day ago,T18M 11/13,4.9/5
53.0,MCO,Shadowsong-EU,about one day ago,T18M 11/13,4.2/5
54.0,Ambition,Kirin Tor-EU,about one day ago,T18M 11/13,0.0/5
55.0,Accidentally,Burning Legion-EU,about one day ago,T18M 11/13,3.9/5
56.0,Echoes,Laughing Skull-EU,one day ago,T18M 11/13,0.0/5
57.0,Enraged Revolution,Ragnaros-EU,one day ago,T18M 11/13,4.0/5
58.0,eXample,Ravencrest-EU,7 days ago,T18M 10/13,4.5/5
59.0,Hope n Despair,Blackmoore-EU,7 days ago,T18M 10/13,4.7/5
60.0,Pathogen,Lightbringer-US,5 days ago,T18M 10/13,4.0/5
61.0,DNOgaming,Kil'jaeden-US,4 days ago,T18M 10/13,2.5/5
62.0,Fate,Frostmourne-US,2 days ago,T18M 10/13,4.0/5
63.0,Аннигиляция,Howling Fjord-EU,2 days ago,T18M 10/13,4.0/5
64.0,Innominatum,Twisting Nether-EU,2 days ago,T18M 10/13,4.5/5
65.0,Энерджайзер,Deathguard-EU,2 days ago,T18M 10/13,4.5/5
66.0,Pie Chart,Bleeding Hollow-US,about one day ago,T18M 10/13,4.0/5
67.0,Easy,Zul'jin-US,about one day ago,T18M 10/13,0.0/5
68.0,Elevation,Frostmourne-US,about one day ago,T18M 10/13,4.0/5
69.0,Akatemia,Stormreaver-EU,about one day ago,T18M 10/13,4.0/5
70.0,Asgard,Nightsong-TW,about one day ago,T18M 10/13,4.0/5
71.0,Northwind,Mannoroth-EU,about one day ago,T18M 10/13,0.0/5
72.0,The Unnamed,Blackrock-EU,about one day ago,T18M 10/13,4.0/5
73.0,aNc,Pozzo dell'Eternità-EU,one day ago,T18M 10/13,4.0/5
74.0,Vigil,Mal'Ganis-US,one day ago,T18M 10/13,4.0/5
75.0,stalk and kill,Sargeras-US,16 hours ago,T18M 10/13,4.0/5
76.0,Pieces,Grim Batol-EU,9 days ago,T18M 9/13,4.0/5
77.0,Центури Трайб,Soulflayer-EU,9 days ago,T18M 9/13,4.9/5
78.0,Ингениум,Eversong-EU,8 days ago,T18M 9/13,0.0/5
79.0,TF,Hyjal-US,8 days ago,T18M 9/13,4.1/5
80.0,Antisocial Club,Hyjal-US,8 days ago,T18M 9/13,3.6/5
81.0,Tempest,Blackmoore-EU,8 days ago,T18M 9/13,4.7/5
82.0,Grim Harvest,The Maelstrom-EU,8 days ago,T18M 9/13,4.0/5
83.0,Алый Рассвет,Blackscar-EU,7 days ago,T18M 9/13,4.0/5
84.0,Dread,Korgath-US,7 days ago,T18M 9/13,3.9/5
85.0,Bugiset Mätisilakat,Ragnaros-EU,7 days ago,T18M 9/13,4.0/5
86.0,У нас есть план,Borean Tundra-EU,7 days ago,T18M 9/13,4.2/5
87.0,Sense,Archimonde-EU,7 days ago,T18M 9/13,4.0/5
88.0,Kolikolla Kultaa,Doomhammer-EU,7 days ago,T18M 9/13,4.0/5
89.0,Flawless,Frostwolf-EU,6 days ago,T18M 9/13,4.0/5
90.0,КрашТест,Razuvious-EU,6 days ago,T18M 9/13,0.0/5
91.0,雲淡风輕,Sundown Marsh-TW,6 days ago,T18M 9/13,4.0/5
92.0,Bad Luck,Stormrage-EU,6 days ago,T18M 9/13,4.0/5
93.0,Strawberry Puppy Kisses,Area 52-US,5 days ago,T18M 9/13,4.0/5
94.0,Might,Zul'jin-US,5 days ago,T18M 9/13,4.7/5
95.0,Vulgar,Sargeras-US,5 days ago,T18M 9/13,3.8/5
96.0,Incarnate,Ner'zhul-US,5 days ago,T18M 9/13,4.5/5
97.0,AK,Cenarius-US,5 days ago,T18M 9/13,0.0/5
98.0,The Penguins Mafia,C'Thun-EU,4 days ago,T18M 9/13,4.0/5
99.0,AwoL,Stormscale-EU,4 days ago,T18M 9/13,4.5/5
100.0,Fast Forward,Stormrage-US,4 days ago,T18M 9/13,0.0/5
