330.fips,8123.0,12009
27.fips,2150.0,2275
2413.countytwo,alhoun ,Calhoun 
268.statevalue,OC,CO
112.county,Matanuska-Susitna Borough,Craighead 
1698.statecounty,NC_Forstyh,NC_Forsyth
2040.county,Senca ,Seneca 
2574.countytwo,Maur ,Maury 
317.statevalue,lCT,CT
3007.statecounty,VA_Rusell,VA_Russell
2013.statecounty,NY_Herykimer,NY_Herkimer
631.statefips,43,19
256.fips,2122.0,8013
2498.statevalue,SdD,SD
2378.countytwo,Pneuelas Municipio,Penuelas Municipio
614.fipstwo,f19131,f19113
2065.countytwo,Clar ,Clark 
1916.statevalue,H,NH
59.fipstwo,f02282,f01059
459.statefips,66,13
370.statevalue,L,FL
354.statecounty,AK_Dillingham Census Area,FL_Holmes
2999.county,Radofrd city,Radford city
3083.statecounty,WA_Whatcqom,WA_Whatcom
125.statefips,2.0,5
1548.statecounty,MS_Grenaad,MS_Grenada
2186.fipstwo,4f0095,f40095
733.statecounty,oIL_Hamilton,IL_Hamilton
1771.fipstwo,f83013,f38013
512.statevalue,tGA,GA
2458.countytwo,Bufkfalo ,Buffalo 
323.fipstwo,f01077,f10001
1527.countytwo,dams ,Adams 
238.statecounty,AK_Wade Hampton Census Area,CA_Siskiyou
359.statecounty,AK_Anchorage Municipality,FL_Lake
791.fipstwo,f1781,f17181
2903.statecounty,AV_Arlington,VA_Arlington
281.statecounty,AK_Yakutat City and Borough,CO_Kiowa
1391.statecounty,MN_Sbley,MN_Sibley
153.fipstwo,f02170,f05113
426.statevalue,A,GA
529.statevalue,A,GA
1496.statecounty,MO_Raxy,MO_Ray
42.county,Dillingham Census Area,Clarke 
159.statefips,2.0,5
173.county,North Slope Borough,Manu'a District
292.fips,1023.0,8083
262.statevalue,O,CO
59.county,Bethel Census Area,Franklin 
2902.countytwo,Appomattx ,Appomattox 
239.fips,2020.0,6095
2448.fipstwo,f4507,f45087
2077.countytwo,Faette ,Fayette 
2417.fipstwo,f450e25,f45025
344.statevalue,L,FL
1403.county,Watonawn ,Watonwan 
1954.county,Hidalog ,Hidalgo 
246.county,Anchorage Municipality,Tuolumne 
107.statevalue,R,AR
2571.fipstwo,f41713,f47113
339.fips,2013.0,12029
821.county,Dubozis ,Dubois 
1186.county,Bistol ,Bristol 
1648.countytwo,Prariie ,Prairie 
125.county,Kenai Peninsula Borough,Hempstead 
1880.statevalue,EN,NE
1698.county,Fosyth ,Forsyth 
462.statefips,109,13
1189.countytwo,Frankin ,Franklin 
305.fips,2150.0,8109
980.countytwo,wScott ,Scott 
65.statevalue,L,AL
