gross,net,conventionalaccounting,economicsector,sector,category,subcategoryone,subcategorytwo,subcategorythree,yearvalue(long),gas,mtcotwoearfivetwozeroyr(long),mtcotwoearfouronezerozeroyr(long)
Yse,Ys,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,1990,CH4,0,0
oN,Yes,es,rNet Emissions,AFOLU,Net mEission Removals,Land Uise,Forest,Forests Remaining Forests,1990,OC2,-27910000,-27910000
oN,Yes,eYs,Net Emissons,FOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1991,C2O,-27810000,-27810000
Nno,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remainnig Forests,1992,OC2,-27700000,-27700000
No,Yes,Yes,Ne tEmissions,FAOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Fyorests,1993,OC2,-27570000,-27570000
No,Yecs,Yes,Net Emissions,AFOLU,Net fEmission Removals,Land Use,Forest,Forests Remaining Forests,1994,C2O,-27450000,-27450000
o,Ys,Yse,Net Emissions,AOFLU,Net Emission Removals,Land Use,Forest,Foresets Remaining Forests,1995,C2O,-27320000,-27320000
wNo,Yes,Yoes,tNet Emissions,AFjOLU,Net Emission Removals,Land se,Forest,Forest Remaining Forests,1996,CO2,-27200000,-27200000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Rempovals,Land bUse,Forets,Fqorests Remaining Forests,1997,CO2,-27070000,-27070000
No,Yes,Yes,Ne Emissions,AFOLU,NetEmission Removals,Land Use,Forest,Forets Remaining Forests,1998,CO2,-26950000,-26950000
No,Yes,Yes,Net missions,AFOLU,Net Emission Rmeovals,Land Usye,orest,Forests Remaining Forests,1999,CO2,-26820000,-26820000
No,Yes,Yes,Net Emissions,AFLOU,Net Emission Ruemovals,Land Use,Forest,Forests Remaining Forests,2000,CO2,-26680000,-26680000
No,Yes,Yes,Net Emsissions,AFOLU,Nfet Emission Removals,Land Use,Forest,Forests Remaining Forests,2001,CO2,-26550000,-26550000
No,Yes,Yes,Nte Emissions,AFOLU,Net Emission Removals,Laond Use,Forest,Forests Remaining Forests,2002,CO2,-26420000,-26420000
No,Yes,es,Netg Emissions,AFOLU,Net Emision Removals,and Use,Foorest,Forests Remaining Forsets,2003,COo2,-26280000,-26280000
o,Yes,Yes,Net Emissions,AFOU,Net Emission Removals,Land Upse,Forest,Forests Remainign Forests,2004,CO2,-26150000,-26150000
