objectid,segmenttx,segment,highway,descriptio,zone,tier,length_mi,gisprcdt,effectvdt,shape_leng,shape_length
1,1,1.0,I-5,WA Border to I-405,Portland Metro,1,5.29221271503,6/15/2012,2012,27942.9390212,12185.4261046559
2,2,2.0,I-5,I-405 to I-84,Portland Metro,2,1.44068002899,6/15/2012,2012,7606.80576669,3313.28025770974
3,3,3.0,I-5,I-84 to I-405/OR 43/US-26,Portland Metro,2,1.89198327252,6/15/2012,2012,9989.69171393,4349.49450213655
4,4,4.0,I-5,I-405/OR 43/US-26 to OR-99W,Portland Metro,1,6.01070530805,6/15/2012,2012,31736.5874072,13795.0719752838
5,7,7.0,I-5,I-205 to OR-214,Valley,1,16.5586286729,6/15/2012,2012,87429.7342523,37898.946999031
6,8,8.0,I-5,OR-214 to OR-99E Bus.,Valley,1,12.1569408659,6/15/2012,2012,64188.7761867,27733.8363493075
7,11,11.0,I-5,OR-22 to OR-99E,Valley,1,19.9282761347,6/15/2012,2012,105221.508586,45256.8168409575
8,13,13.0,I-5,OR-34 to OR-569,Valley,1,32.5555451662,6/15/2012,2012,171893.622155,73380.9142877106
9,15,15.0,I-5,OR-126 to OR-58,South I-5,1,4.52040553142,6/15/2012,2012,23867.7889415,10126.4232860779
10,16,16.0,I-5,OR-58 to OR-38,South I-5,1,25.8640352709,6/15/2012,2012,136562.379355,57761.1709568159
11,17,17.0,I-5,OR-38 to OR-42,South I-5,1,42.940484733,6/15/2012,2012,226726.212843,95310.6743603682
12,18,18.0,I-5,OR-42 to OR-199,South I-5,1,61.2297199888,6/15/2012,2012,323293.568128,134439.295886958
13,19,19.0,I-5,OR-199 to OR-140,South I-5,1,27.8626478515,6/15/2012,2012,147115.074886,60696.9831538507
14,20,20.0,I-5,OR-140 to CA Border,South I-5,1,30.3930590687,6/15/2012,2012,160475.672834,66040.8561019985
15,21,21.0,I-84,I-5 to I-205,Portland Metro,2,5.76178340511,6/15/2012,2012,30422.2771508,13223.9692962617
16,22,22.0,I-84,I-205 to US-197,Cascades,1,79.0111554729,6/15/2012,2012,417179.735329,181632.035892958
17,23,23.0,I-84,US-197 to US-97,Central,1,17.8595712072,6/15/2012,2012,94298.7245714,41076.2858223278
18,24,24.0,I-205,WA Border to I-84,Portland Metro,1,5.13580867297,6/15/2012,2012,27117.1240275,11816.3955536886
19,25,25.0,I-205,I-84 to US-26,Portland Metro,1,2.43606262709,6/15/2012,2012,12862.4363959,5603.63442257624
20,26,26.0,I-205,US-26 to OR-224,Portland Metro,1,5.46806242857,6/15/2012,2012,28871.4273657,12562.8104532618
21,27,27.0,I-205,OR-224 to OR-212,Portland Metro,1,0.928113434411,6/15/2012,2012,4900.44873459,2130.85966391902
22,30,30.0,I-205,OR-43 to I-5,Portland Metro,1,8.82324538647,6/15/2012,2012,46586.8288799,20193.5491005276
23,31,31.0,I-405,I-5 to US-30,Portland Metro,1,1.21313877062,6/15/2012,2012,6405.38551966,2789.05290917414
24,32,32.0,I-405,US-30 to US-26,Portland Metro,1,1.37701482407,6/15/2012,2012,7270.6528124,3167.52938879135
25,33,33.0,I-405,US-26 to I-5/OR-43/US-26,Portland Metro,1,1.56706200943,6/15/2012,2012,8274.103958,3599.73223364639
26,34,34.0,OR-217,US-26 to OR-99W,Portland Metro,3,5.91578465098,6/15/2012,2012,31235.405428,13587.3836545107
27,35,35.0,OR-217,OR-99W to I-5,Portland Metro,3,1.63182907671,6/15/2012,2012,8616.0747572,3744.06139627441
28,42,42.0,OR-99W,OR-22 to US-20,Valley,2,26.6216256606,6/15/2012,2012,140562.464613,60427.9696186946
29,43,43.0,OR-99W,US-20 to 99E/99W merge,Valley,2,24.7364652229,6/15/2012,2012,130608.797594,55790.9850208678
30,44,44.0,OR-99,99E/99W merge to OR-569,Valley,2,9.49022372984,6/15/2012,2012,50108.4815105,21326.3837334228
31,45,45.0,OR-99,OR-569 to I-5,Valley,2,9.86976296567,6/15/2012,2012,52112.45217,22093.305024547
32,49,49.0,OR-99E,OR-43 to OR-214,Valley,2,19.3567466081,6/15/2012,2012,102203.826467,44268.7135548766
33,50,50.0,OR-99E,OR-214 to I-5,Valley,2,14.7238944631,6/15/2012,2012,77742.31825,33573.5760891301
34,54,54.0,OR-212,I-205 to US-26,Cascades,2,12.4976224423,6/15/2012,2012,65987.5783809,28618.7179635461
35,57,57.0,OR-18,OR-99W to OR-22,Coast,1,17.0349473385,6/15/2012,2012,89944.7019907,38833.021902625
36,58,58.0,OR-18,OR-22 to US-101,Coast,1,27.3996860031,6/15/2012,2012,144670.631438,62354.6747542565
37,59,59.0,OR-43,US-26 to I-205,Portland Metro,3,11.0761698307,6/15/2012,2012,58482.2937084,25420.6632720991
38,61,61.0,US-30,US-101 to I-405,Coast,1,95.3191054604,6/15/2012,2012,503285.883401,220634.979843399
39,64,64.0,US-101,OR-202 to US-26,Coast,3,19.0297146955,6/15/2012,2012,100477.094546,44167.1432595779
40,65c,65.0,US-101,US-26 to OR-18,Coast,1,40.3797021834,6/15/2012,2012,213205.253791,92354.2092607353
41,66,66.0,US-101,OR-18 to US-20,Coast,1,29.5627558018,6/15/2012,2012,156091.662817,67172.8242270569
42,67,67.0,US-101,OR-126 to OR-38,Coast,3,49.9343793975,6/15/2012,2012,263654.050527,112471.982331451
43,68,68.0,US-101,OR-38 to OR-42,Coast,1,21.2868400181,6/15/2012,2012,112394.740085,47557.6440787065
44,69,69.0,US-101,OR-38 to OR-42,Coast,1,33.014743943,6/15/2012,2012,174318.196655,73356.7637898659
45,70,70.0,US-101,OR-42 to CA Border,Coast,2,106.329666613,6/15/2012,2012,561421.762559,232925.510734646
46,71,71.0,US-197,I-84 to US-197,Central,3,59.4096425702,6/15/2012,2012,313683.540138,135932.569970369
