OBJECTID,MTRS,MIN_YEAROBS,MAX_YEAROBS,LAST_COUNTY,Shape__Area,Shape__Length
1,H 19N 01W 32,2020,2020,Del Norte,2632872.171875,6590.11872227298
2,H 19N 01W 33,2015,2018,Del Norte,3493841.1953125,7550.68015432668
3,H 19N 01W 34,2014,2022,Del Norte,3429785.765625,7499.86135306724
4,H 19N 01W 35,2001,2022,Del Norte,3404185,7507.42408359252
5,H 19N 01W 36,2015,2021,Del Norte,3333356.6171875,7438.90034140759
6,H 19N 01E 31,2016,2017,Del Norte,3540097.6484375,7716.79214104256
7,H 19N 01E 32,2014,2017,Del Norte,3057980.5546875,7146.9416701143
8,H 19N 01E 33,2020,2020,Del Norte,3009164.546875,7145.2297581263
9,H 19N 01E 34,2020,2021,Del Norte,2898423.625,7006.0817932786
10,H 19N 01E 35,2020,2021,Del Norte,2740887.5390625,6878.4261270704
11,H 19N 01E 36,2020,2020,Del Norte,2968192.1015625,7075.62223599658
12,H 18N 01W 03,2014,2021,Del Norte,4745832.796875,8715.85835117403
13,H 18N 01W 02,2013,2018,Del Norte,4679673.921875,8653.71216682674
14,H 18N 01W 01,2013,2022,Del Norte,4759331.703125,8731.25246317359
15,H 18N 01E 06,2021,2021,Del Norte,5316095.1640625,9235.36580585384
16,H 18N 01E 05,2003,2021,Del Norte,4647989.453125,8632.05145825307
17,H 18N 01E 04,2020,2021,Del Norte,4811347.2421875,8785.20036593591
18,H 19N 05E 34,2007,2007,Del Norte,3877710.140625,7797.50235523559
19,H 18N 01E 03,2020,2021,Del Norte,4636699.9140625,8614.74435365155
20,H 18N 01E 02,2020,2021,Del Norte,4653303.5,8629.73656860767
21,H 19N 04E 34,2013,2014,Del Norte,2710178.546875,6830.92715927361
22,H 19N 04E 36,2018,2018,Del Norte,2361991.90625,6469.95398413903
23,H 18N 04E 03,2014,2014,Del Norte,4802829.7578125,8767.63373684704
24,H 18N 04E 02,2013,2013,Del Norte,4561707.5,8545.5372287098
25,H 18N 04E 01,2017,2017,Del Norte,4559713.4921875,8543.01559519338
26,H 18N 01W 10,2013,2021,Del Norte,4679073.859375,8654.90495465123
27,H 18N 01W 11,2001,2019,Del Norte,4764089.3671875,8736.87924895084
28,H 18N 01W 12,2012,2022,Del Norte,4535088.8828125,8523.4102572667
29,H 18N 01E 07,2013,2021,Del Norte,5142167.1953125,9092.26196198031
30,H 18N 01E 08,2017,2017,Del Norte,4593217.7421875,8589.58032398677
31,H 18N 01E 09,2017,2021,Del Norte,4732724.6484375,8720.15055724263
32,H 18N 01E 10,2020,2020,Del Norte,4299122.796875,8296.82535842051
33,H 18N 01E 11,2020,2021,Del Norte,4381238.0078125,8375.61693326832
34,H 18N 06E 03,2014,2014,Siskiyou,4487675.9453125,8482.18322864264
35,M 48N 08W 22,2007,2007,Siskiyou,4537914.4453125,8524.38507483061
36,M 48N 08W 23,2007,2011,Siskiyou,4513974.3125,8498.17010413144
37,H 18N 01W 15,2013,2021,Del Norte,4777172.2265625,8745.90547347715
38,H 18N 01W 14,2018,2021,Del Norte,4832866.046875,8794.59849267259
39,H 18N 01W 13,2021,2021,Del Norte,4431479.5859375,8437.33922008901
40,H 18N 01E 17,2003,2021,Del Norte,4638227.859375,8625.95344310832
41,H 18N 01E 16,2013,2022,Del Norte,4810680.34375,8790.62068865043
42,H 18N 01E 18,2005,2020,Del Norte,5063944.796875,9016.90128936085
43,H 18N 01E 15,2015,2020,Del Norte,4479843.9921875,8475.26468012608
44,H 18N 06E 10,2020,2020,Siskiyou,4773341.53125,8740.21349148432
45,M 48N 08W 26,2007,2009,Siskiyou,4422728.625,8417.05248710443
46,H 18N 04E 15,2019,2019,Del Norte,3923377.0546875,7944.18853941248
47,H 18N 01W 22,2017,2020,Del Norte,4702421.234375,8672.43375734717
