station(long),datevalue,latitude(double precision),longitude(double precision),elevation(double precision),namevalue,tempvalue(double precision),tempattributes(long),dewp(double precision),dewpattributes(long),slp(double precision),slpattributes(long),stp(double precision),stpattributes(long),visib(double precision),visibattributes(long),wdsp(double precision),wdspattributes(long),mxspd(double precision),gust(double precision),maxvalue(double precision),maxattributes,minvalue(double precision),minattributes,prcp(double precision),prcpattributes,sndp(double precision),frshtt(long)
91894714594,2018-01-01,39.8328,-132.0024372036425,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",11.6,24,5.5,24,1030.9,24,839.1,24,7.1,24,5.0,24,9.9,999.9,28.0,,3.0,,0.0,G,999.9,1000
58283639305,2018-01-02,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",21.2,24,7.3,24,1517.4646356776368,24,839.0,24,7.7,24,5.6,24,9.9,999.9,43.0,,3.0,,0.0,G,999.9,0
77458092052,2018-01-03,40.064362831859874,-79.38562259274467,1141.8170371069407,"DENVER INTERNATIONAL AIRPORT, CO US",31.8,24,3.0,24,646.9924301308938,24,839.3,25,10.0,28,9.7,24,15.9,24.1,53.1,,10.9,,0.0,G,999.9,0
55731092271,2018-01-04,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",34.6,24,11.6,24,1022.0,24,836.5,24,10.0,24,6.5,24,8.9,999.9,53.1,,17.1,,0.0,G,999.9,0
72565003017,2018-01-05,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.3,29,11.4,24,1342.979234594568,24,835.9,24,10.0,14,6.7,16,14.0,999.9,55.9,,23.0,,0.0,G,999.9,0
72565003017,2018-01-06,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",40.2,14,18.1,26,1017.9,24,834.3,21,10.0,24,5.1,24,11.1,999.9,62.1,,25.0,,0.0,G,999.9,0
39258473079,2018-01-07,20.6666464841732,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",39.8,24,25.2,24,1013.0,24,830.5,24,9.8,20,5.0,24,11.1,999.9,62.1,,26.1,,0.01,G,999.9,11000
72565003017,2018-01-08,39.8328,-109.5936835355496,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",33.2,24,23.0,24,1017.6,24,832.9,24,10.0,24,6.1,24,13.0,999.9,48.9,,24.1,,0.0,I,999.9,0
98221283406,2018-01-09,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",48.2,24,24.9,24,1009.2,24,828.0,24,10.0,24,6.6,24,15.0,999.9,68.0,,24.1,,0.0,G,999.9,0
72565003017,2018-01-10,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",49.3,24,24.4,24,1357.304622991946,24,819.3,24,10.0,24,9.8,24,17.1,27.0,68.0,,34.0,,0.0,G,999.9,10000
