X,Y,OBJECTID,ACCESS_ID,LAUNCHNAME,LAUNCHTYPE,LINK
901311.818808138,635662.562971979,1,349,Housatonic River Boat Launch,Trailered,https://portal.ct.gov/DEEP/Boating/Boat-Launches/Housatonic-River-Boat-Launch
1211373.59500881,749924.030642807,2,309,Amos Lake Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382792&deepNav_GID=1620
1234762.22375639,747086.120308146,3,277,Anderson Pond Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382804&deepNav_GID=1620
1211006.73485014,742292.77818881,4,312,Avery Pond Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382806&deepNav_GID=1620
1097161.09836864,760678.100013897,5,358,Babcock Pond Boat Launch,Car Top/Carry-In,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382808&deepNav_GID=1620
1109505.46409981,676850.502249479,6,318,Baldwin Bridge Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=381770&deepNav_GID=1620
788373.873096555,728383.744983315,7,307,Ball Pond Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382826&deepNav_GID=1620
868447.379287809,814057.810839564,8,313,Bantam Lake Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382828&deepNav_GID=1620
1240103.95421463,684873.917633057,9,302,Barn Island Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382832&deepNav_GID=1620
1095058.05369022,737132.749466896,10,288,Bashan Lake Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382638&deepNav_GID=1620
988434.326977476,817980.602534637,11,373,Batterson Park Pond Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382842&deepNav_GID=1620
1189999.28834805,678305.036413893,12,317,Bayberry Lane Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382854&deepNav_GID=1620
1258356.36127931,774831.6071399,13,281,Beach Pond Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=383708&deepNav_GID=1620
1244798.19384189,775019.752432898,14,282,Beachdale Pond Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382996&deepNav_GID=1620
1170327.27618296,827439.095100567,15,270,Beaver Brook Pond Boat Launch,Car Top/Carry-In,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=383712&deepNav_GID=1620
1005747.3330338,749016.792627886,16,274,Beseck Lake Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382680&deepNav_GID=1620
1169404.24456447,923864.120754063,17,320,Bigelow Pond Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=383570&deepNav_GID=1620
1239373.44123997,748357.472752303,18,310,Billings Lake Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=383602&deepNav_GID=1620
1028057.58893813,856999.567147478,19,261,Bissell Bridge Boat Launch (Connecticut River),Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=383716&deepNav_GID=1620
1001988.22473839,752886.005033806,20,273,Black Pond Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=382682&deepNav_GID=1620
1184752.46222755,913891.401854396,21,258,Black Pond Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=383770&deepNav_GID=1620
1196428.77942605,684052.556742981,22,316,Bluff Point Boat Launch,Car Top/Carry-In,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=383778&deepNav_GID=1620
1087611.51576181,851697.607935146,23,264,Bolton Lake (Lower) Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=384086&deepNav_GID=1620
1089177.75344297,859542.707730472,24,263,Bolton Lake (Middle) Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=384116&deepNav_GID=1620
1089164.47131731,859610.737121969,25,324,Bolton Lake (Upper) Boat Launch,Car Top/Carry-In,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=384346&deepNav_GID=1620
981688.5504428,657469.885827065,26,319,Branford River Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=383784&deepNav_GID=1620
906073.820110887,879507.366948053,27,260,Burr Pond Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=383788&deepNav_GID=1620
813717.77778922,724219.297931641,28,325,Candlewood Lake (Lattins Cove) Boat Launch,Trailered,http://www.ct.gov/deep/cwp/view.asp?a=2686&q=383792&deepNav_GID=1620
