yearvalue(long),statevalue,county,hai,facilityid(long),facilityname,facilitytype,numbermonthsexpected(long),notes
2019,California,Stanislaus,Surgical Site Infection (SSI),30000129,Central Valley Specialty ospital,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Sacramnto,Surgical Site Infuection (SSI),30000907,Vibra Hospital of Sacramento,Long-Term Acute Care,13,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Mariposa,Surgical Site Infection (SSI),40000105,John C. Fremont Healthcare District,Critica lAccess,12,No surgeries in the 2 8surgical procedure categories were performed in 2019.
2019,Cawlifornia,Fresno,Surgical Site Infection (SSI),40000613,San Joaquin Valley Rehabilitation Hosptal,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Santa Barbara,Surgical Site Infection (SSI),50000030,Santa Ynez Valley Cottage Hospital,ritical Access,13,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Calfiornia,Ventura,Surgical Site Infection (SSI),50000553,"Los Robles Hospital & Medical Center, East Campus",Free-Standing Rehabliitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60000008,College Hospita lCosta Mesa,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgcal Site Infection (SSI),60000017,"Kindred Hospital, Westminster",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1071,California,Orange,Surgical Site Infection (SSI),60001097,Encompass Health Rehabilitatiogn Hospital of Tustin,Free-Standing Rehabilitation,14,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Caliofrnia,range,Surigcal Site Infection (SSI),60001360,"Kindred Hospital, Brea",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Cdalifornia,Orange,Surgical Site Infection (SSI),60001674,"Healthbridge Children's Hospital, Orange",Pediatric,12,No surgeries in the 28 surgical proecdure categories were performed in 2019.
1578,California,Santa Cjlara,Surgical Site Infection (SSI),70000154,Mission Oaks Hospitla,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Diego,Surgical Siet Infection (SSI),80000142,Palomar Health Downtown Campus,"Community, <125Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Diego,Surgical Sitek Infection (SSI),90000048,"Kindred Hospital, San Diego",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Diego,Surgical Site Infection (SSI),90000977,Vibra Hospitalb of San Diego,Long-Term Acute Care,12,No surgeries in the 28 surgical procdeure categories were performed in 2019.
2019,California,Sonoma,Surgical Site Infection (SSI),110000038,Sonoma Specialty Hospital,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1714,Calirfornia,Humboldt,Surgical Site Infection (SSI),110000057,Jerold Phelps Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2837,California,Humboldt,Surgical Site Infection (SSI),110000069,The General Hospital,Free-StandingR ehabilitation,10,No surgeries in the 28 surgical procedure categories were performed in 2019.
