Last Name,First Name,Company,Grade,Discharge Grade
Tapley,J. L.,A,Private,Private
Tarplay,L.,A,Private,Private
Tarpley,A. B.,G,Private,Private
Tarpley,Algernon B.,G,Private,Private
Tarpley,Henry C.,A,Private,Private
Tarpley,Joel F.,A,Private,Private
Tarpley,L.,A,Private,Private
Tarpley,Lucius,A,Private,Private
Tarpley,William H.,A,Private,Private
Tarply,H. C.,A,Private,Private
Tatum,N. J.,H,~,~
Tatum,Thomas S.,D,Second Lieutenant,Second Lieutenant
Taylor,Augustus,F&S,Surgeon,Surgeon
Taylor,E.L.,H,Private,Private
Taylor,J. M,D,Private,Private
Taylor,L.E.,H,Private,Private
Taylor,Ludlin E.,H,Private,Private
Tedders,C.M,B,Private,Private
Tedders,Charles M,B,Private,Private
Terry,W.E.,I,Private,Private
Thayer,T.N.,G,Private,Private
Thomas,John E.,C,Private,Private
Thomas,R. Daniel,D,Brevet Second Lieutenant,Brevet Second Lieutenant
Thomas,Willis A.,G,Private,Private
Thomesheed,J.W.,A,Private,Private
Thompson,A.H.,C,Private,Private
Thompson,Alfred,A,Private,Private
Thompson,Benj. S.,C,Sergeant,~
Thompson,S.J.,G,Private,Private
Thompson,T.,A,Private,Private
Thompson,Thomas J.,C,Private,Private
Thompson,Wiley,A,Private,Private
Thompson,Willis A.,G,Private,Private
Thornton,George W.,G,Private,Private
Thornton,J.W.,F,Private,Private
Thornton,William J.,B,Private,Private
Thurmon,Richd. O.,C,~,~
Tiller,Gilmore,C,Private,Private
Tilman,Richard,B,Private,Private
Tilmon,Richard,B,Private,Private
Tilton,G.,C,Private,Private
Tinsley,Asa B.,G,Private,Private
Tomlin,A.J.,I,Private,Private
Tomlin,M.J.,I,Private,Private
Tomlin,Milton L.,I,Private,Private
Tomlin,Newton J.,I,Private,Private
Tomlin,W.J.,I,Private,Private
Tomlinson,Thomas M.,E,Private,~
Toney,Doctor F.,D,Private,Private
Toney,James M.,D,Private,Private
Towns,Absalom G.,H,Private,Private
Tramell,Jackson P.,D,Private,Private
Trammell,Jackson P.,D,Private,Private
Trommerhouser,Joseph,K,Private,Private
Truman,Richard W.,F&S,Adjutant,First Lieutenant/Adjutant
Tucker,E.C.,B,Private,Private
Tucker,Green C.,B,Private,Private
Tucker,T.C.,B,Private,Private
Tucker,T.W.,H,Private,Private
Tucker,William F.,H,Private,Private
Tuller,G.,C,Private,Private
Turk,Jonathan,B,Private,Private
Turner,A.N.,K,~,~
Turner,Archibald W.,K,Private,Private
Turner,Daniel C.,H,Private,Private
Turner,David T.,A,Private,Private
Turner,Hilliard A.,A,Private,Private
Turner,Irby H.,K,Sergeant,Sergeant
Turner,J.H.,K,Sergeant,Sergeant
Turner,J.P.,F,Private,Private
Turner,J.S.,A,Private,Private
Turner,James,D,Private,Private
Turner,James M.,H,Private,Private
Turner,John J.,A,Private,Private
Turner,John W.,D,Private,Private
Turner,M.T.,A,Private,Private
Turner,Manson,G,~,~
Turner,Peyton S.,A,Private,Private
Turner,Samuel L.,E,Private,Private
Turnipseed,Jesse C.,A,Private,~
Turnipseed,John W.,A,Private,Private
Turnipseed,Nathaniel C.,A,Private,Private
Turnipseed,W.J.,A,Private,Private
Turquet,W.,G,Private,Private
Tyson,William A.,E,Private,Private
Underwood,J.N.,A,Private,Private
Upchurch,James M.,A,Private,Private
Upchurch,Jasper,A,Private,Private
Upchurch,L.A.,A,Private,Private
Upchurch,L.H.,B,Private,Private
Upchurch,Lloyd H.,A,Private,Private
Vaughan,W. D.,G,Private,Private
Vaughn,John,F,Private,Private
Vaughn,William H.,G,Private,Private
Venson,N. B.,F,Private,Private
Veser,James,G,Private,Private
Vessels,James H.,G,Private,Private
