123.block_group,"Block Group 3, Census Tract 5147, Hartford County, oCnnecticut","Block Group 3, Census Tract 5147, Hartford County, Connecticut"
48.namelsad,Block Grou 3,Block Group 3
218.mtfcc,5030,G5030
66.namevalue,Stadmford,Stamford
259.namelsad,Block Gproup 1,Block Group 1
42.namevalue,tFairfield,Fairfield
183.funcstat,,S
274.namelsad,lBock Group 3,Block Group 3
202.namevalue,Newf Haven,New Haven
283.block_group,"Block Group 3, Census Tract 7001, New ondon County, Connecticut","Block Group 3, Census Tract 7001, New London County, Connecticut"
127.namelsad,Block Gdroup 4,Block Group 4
116.namelsad,Block Group q3,Block Group 3
8.mtfcc,G030,G5030
310.funcstat,dS,S
2.mtfcc,G503q0,G5030
23.funcstat,rS,S
192.namevalue,New aven,New Haven
182.namevalue,New aven,New Haven
214.funcstat,***,S
59.namelsad,Block Gruop 2,Block Group 2
30.block_group,"Block Group 1, Census Tract 2102, FairfieldCounty, Connecticut","Block Group 1, Census Tract 2102, Fairfield County, Connecticut"
167.block_group,"Block Group 1, Cemnsus Tract 1657, New Haven County, Connecticut","Block Group 1, Census Tract 1657, New Haven County, Connecticut"
50.funcstat,,S
45.mtfcc,G5w030,G5030
175.namevalue,Mansfeld,Mansfield
283.funcstat,***,S
222.namevalue,New Hvaven,New Haven
108.mtfcc,G5r030,G5030
159.block_group,"Block Group 2, Census Tract 7011, New Lodnon County, Connecticut","Block Group 2, Census Tract 7011, New London County, Connecticut"
144.mtfcc,Gw5030,G5030
16.mtfcc,G030,G5030
34.mtfcc,Gk5030,G5030
67.funcstat,,S
61.mtfcc,5G030,G5030
64.mtfcc,5G030,G5030
242.funcstat,***,S
236.mtfcc,Gn5030,G5030
112.mtfcc,bG5030,G5030
45.namelsad,lBock Group 1,Block Group 1
243.mtfcc,5G030,G5030
41.block_group,"Block Group 2, Census Trayct 610, Fairfield County, Connecticut","Block Group 2, Census Tract 610, Fairfield County, Connecticut"
36.block_group,"Block Group 4, Census Tract k2106, Fairfield County, Connecticut","Block Group 4, Census Tract 2106, Fairfield County, Connecticut"
195.funcstat,uS,S
142.block_group,"Block Group 4, Censu Tract 4923, Hartford County, Connecticut","Block Group 4, Census Tract 4923, Hartford County, Connecticut"
296.namelsad,Block Group6 ,Block Group 6
91.block_group,"Block Group 3, Census Tract 4711, Hartford County, Colnnecticut","Block Group 3, Census Tract 4711, Hartford County, Connecticut"
9.mtfcc,G500,G5030
146.mtfcc,G503q0,G5030
130.namevalue,Sotuhington,Southington
309.namevalue,Broolkyn,Brooklyn
259.mtfcc,Gw5030,G5030
275.block_group,"Block Group 2, Census Tract 5502.02, Middlesex County, Conncticut","Block Group 2, Census Tract 5502.02, Middlesex County, Connecticut"
297.namelsad,Block Gropu 3,Block Group 3
240.mtfcc,G503p0,G5030
257.mtfcc,G530,G5030
263.namevalue,New Havne,New Haven
116.block_group,"Block Group 3, Census Tract 5144, Hartfor County, Connecticut","Block Group 3, Census Tract 5144, Hartford County, Connecticut"
105.namevalue,xEnfield,Enfield
238.mtfcc,G0530,G5030
89.block_group,"Block Grou 3, Census Tract 2901, Litchfield County, Connecticut","Block Group 3, Census Tract 2901, Litchfield County, Connecticut"
204.namevalue,New Hven,New Haven
