zonename_eight_three,fipszone_eight_three,zone,statezo,abbrev,datum
HI_1,5101,5876.0,"Hawaiian Islands, Zone 1",HI_1,
HI_2,5102,5901.0,"Hawaiian Islands, Zone 2",HI_2,
HI_3,5103,5926.0,"Hawaiian Islands, Zone 3",HI_3,
HI_4,5104,5951.0,"Hawaiian Islands, Zone 4",HI_4,
HI_5,5105,5976.0,"Hawaiian Islands, Zone 5",HI_5,
AK_6,5006,6226.0,"Alaska, Zone 6",AK_6,
AK_7,5007,6251.0,"Alaska, Zone 7",AK_7,
AK_9,5009,6301.0,"Alaska, Zone 9",AK_9,
AK_10,5010,6326.0,"Alaska, Zone 10",AK_10,
AK_1,5001,6101.0,"Alaska, Zone 1",AK_1,
AK_4,5004,6176.0,"Alaska, Zone 4",AK_4,
AK_3,5003,6151.0,"Alaska, Zone 3",AK_3,
AK_2,5002,6126.0,"Alaska, Zone 2",AK_2,
AK_5,5005,6201.0,"Alaska, Zone 5",AK_5,
AK_8,5008,6276.0,"Alaska, Zone 8",AK_8,
IN_E,1301,3826.0,"Indiana, East",IN_E,
IN_W,1302,3851.0,"Indiana, West",IN_W,
IA_N,1401,3876.0,"Iowa, North",IA_N,
IA_S,1402,3901.0,"Iowa, South",IA_S,
KS_N,1501,3926.0,"Kansas, North",KS_N,
AZ_E,201,3151.0,"Arizona, East",AZ_E,
KS_S,1502,3951.0,"Kansas, South",KS_S,
AZ_C,202,3176.0,"Arizona, Central",AZ_C,
KY_N,1601,3976.0,"Kentucky, North",KY_N,
AZ_W,203,3201.0,"Arizona, West",AZ_W,
KY_S,1602,4001.0,"Kentucky, South",KY_S,
AR_N,301,3226.0,"Arkansas, North",AR_N,
LA_N,1701,4026.0,"Louisiana, North",LA_N,
AR_S,302,3251.0,"Arkansas, South",AR_S,
LA_S,1702,4051.0,"Louisiana, South",LA_S,
CA_1,401,3276.0,"California, Zone I",CA_I,
CA_2,402,3301.0,"California, Zone II",CA_II,
ME_E,1801,4076.0,"Maine, East",ME_E,
CA_3,403,3326.0,"California, Zone III",CA_III,
ME_W,1802,4101.0,"Maine, West",ME_W,
CA_4,404,3351.0,"California, Zone IV",CA_IV,
MD,1900,4126.0,Maryland,MD,
CA_5,405,3376.0,"California, Zone V",CA_V,
CA_6,406,3401.0,"California, Zone VI",CA_VI,
MA_I,2002,4176.0,"Massachusetts, Island",MA_I,
CO_N,501,3451.0,"Colorado, North",CO_N,
CO_C,502,3476.0,"Colorado, Central",CO_C,
CO_S,503,3501.0,"Colorado, South",CO_S,
MI_N,2111,6351.0,"Michigan, North",MI_N,New
CT,600,3526.0,Connecticut,CT,
MI_C,2112,6376.0,"Michigan, Central",MI_C,New
DE,700,3551.0,Delaware,DE,
MI_S,2113,6401.0,"Michigan, South",MI_S,New
FL_N,903,3576.0,"Florida, North",FL_N,
MN_N,2201,4276.0,"Minnesota, North",MN_N,
FL_E,901,3601.0,"Florida, East",FL_E,
MN_C,2202,4301.0,"Minnesota, Central",MN_C,
FL_W,902,3626.0,"Florida, West",FL_W,
MN_S,2203,4326.0,"Minnesota, South",MN_S,
GA_E,1001,3651.0,"Georgia, East",GA_E,
MS_E,2301,4351.0,"Mississippi, East",MS_E,
GA_W,1002,3676.0,"Georgia, West",GA_W,
MS_W,2302,4376.0,"Mississippi, West",MS_W,
MO_E,2401,4401.0,"Missouri, East",MO_E,
MO_C,2402,4426.0,"Missouri, Central",MO_C,
MO_W,2403,4451.0,"Missouri, West",MO_W,
SD_N,4001,5251.0,"South Dakota, North",SD_N,
SD_S,4002,5276.0,"South Dakota, South",SD_S,
TN,4100,5301.0,Tennessee,TN,
MT,2500,,Montana,MT,NAD83
TX_N,4201,5326.0,"Texas, North",TX_N,
TX_NC,4202,5351.0,"Texas, North Central",TX_NC,
TX_C,4203,5376.0,"Texas, Central",TX_C,
NE,2600,,Nebraska,NE,NAD83
TX_SC,4204,5401.0,"Texas, South Central",TX_SC,
NV_E,2701,4601.0,"Nevada, East",NV_E,
TX_S,4205,5426.0,"Texas, South",TX_S,
NV_C,2702,4626.0,"Nevada, Central",NV_C,
UT_N,4301,5451.0,"Utah, North",UT_N,
NV_W,2703,4651.0,"Nevada, West",NV_W,
UT_C,4302,5476.0,"Utah, Central",UT_C,
NH,2800,4676.0,New Hampshire,NH,
UT_S,4303,5501.0,"Utah, South",UT_S,
NJ,2900,4701.0,New Jersey,NJ,
VT,4400,5526.0,Vermont,VT,
NM_E,3001,4726.0,"New Mexico, East",NM_E,
VA_N,4501,5551.0,"Virginia, North",VA_N,
NM_C,3002,4751.0,"New Mexico, Central",NM_C,
VA_S,4502,5576.0,"Virginia, South",VA_S,
NM_W,3003,4776.0,"New Mexico, West",NM_W,
WA_N,4601,5601.0,"Washington, North",WA_N,
NY_E,3101,4801.0,"New York, East",NY_E,
NY_C,3102,4826.0,"New York, Central",NY_C,
WV_N,4701,5651.0,"West Virginia, North",WV_N,
NY_W,3103,4851.0,"New York, West",NY_W,
WV_S,4702,5676.0,"West Virginia, South",WV_S,
NY_LI,3104,4876.0,"New York, Long Island",NY_LI,
WI_N,4801,5701.0,"Wisconsin, North",WI_N,
NC,3200,4901.0,North Carolina,NC,
ND_N,3301,4926.0,"North Dakota, North",ND_N,
WI_S,4803,5751.0,"Wisconsin, South",WI_S,
ND_S,3302,4951.0,"North Dakota, South",ND_S,
WY_E,4901,5776.0,"Wyoming, Zone I, East",WY_E,
OH_N,3401,4976.0,"Ohio, North",OH_N,
WY_EC,4902,5801.0,"Wyoming, Zone II, East Centr",WY_EC,
OH_S,3402,5001.0,"Ohio, South",OH_S,
OK_N,3501,5026.0,"Oklahoma, North",OK_N,
WY_WC,4903,5826.0,"Wyoming, Zone III, West Cent",WY_WC,
OK_S,3502,5051.0,"Oklahoma, South",OK_S,
OR_N,3601,5076.0,"Oregon, North",OR_N,
WY_W,4904,5851.0,"Wyoming, Zone IV, West",WY_W,
OR_S,3602,5101.0,"Oregon, South",OR_S,
PA_N,3701,5126.0,"Pennsylvania, North",PA_N,
PA_S,3702,5151.0,"Pennsylvania, South",PA_S,
RI,3800,5176.0,Rhode Island,RI,
SC,3900,,South Carolina,SC,NAD83
AL_E,101,3101.0,"Alabama, East",AL_E,
AL_W,102,3126.0,"Alabama, West",AL_W,
ID_E,1101,3701.0,"Idaho, East",ID_E,
ID_C,1102,3726.0,"Idaho, Central",ID_C,
ID_W,1103,3751.0,"Idaho, West",ID_W,
IL_E,1201,3776.0,"Illinois, East",IL_E,
WA_S,4602,5626.0,"Washington, South",WA_S,
WI_C,4802,5726.0,"Wisconsin, Central",WI_C,
MA_M,2001,4151.0,"Massachusetts, Mainland",MA_M,
IL_W,1202,3801.0,"Illinois, West",IL_W,
