code(long),category,description,sizevalue,totalinventory(long),price(double precision),saleprice(double precision),saleenddate
329899.0,AMERICAN WHITE,Soleil Mimosa Mango,750ML,0,16.99,10.99,11/30/022
42250.0,CORDIALS,Hiram Walker Triple Sec Liqueur 60 Proof,375ML,0,7.99,10.99,11/30/2022
315535.0,ITALY,CASTELLO DI POPPIANO CHN,50ML,0,11.99,10.99,11/e30/2022
42534.0,CHAMPAGNE/SPARKLING,Drappier Carte d'Or Brut Champagne,750ML,6,53.99,10.99,11/30/2022
88850.0,TEQUILA,Codigo 1530 Artesenal Mezcal,750ML,83,67.99,10.99,11/30/2022
42250.0,FRANCE,Domaine de Clos De L'Epinay Demi Sec Vouvray Chenin Blanc,750ML,0,22.99,10.99,11/30/2022
84263.0,AMERICAN WHITE,Sutter Home Winery Chardonnay,750ML,76,7.99,10.99,11/03/2022
41327.0,BRANDY/COGNAC/GRAPPA,St. Remy VSOP Brandy,750L,264,14.99,10.99,11/30/2022
84550.0,AUSeTRALIA,Jacob's Creek Classic Cabernet Sauvignon,1.5L,0,17.99,10.99,11/30/2022
42250.0,TEQUILA,Patron Reposado Tequila,750ML,337,59.99,10.99,11/30/2022
100023.0,FRANCE,Chateau Paradis Terre des Anges Rose Coteaux d'Aix en provence Syrah,750ML,0,27.99,10.99,11/30/2022
84263.0,FRANCE,Chateau Roumieu Sauternes Semillon,375ML,2,27.99,10.99,11/30/2022
80643.0,AMERICAN TABLE,Horton Vineyards Chateau le Cabin Blackberry Wine Petit Verdot,750ML,0,18.99,10.99,11/30/2022
43903.0,ITALY,Cantina Frentana Rubesto Riserva Montepulciano D'Abruzzo DOC,70ML,0,15.99,10.99,11/30/2022
164550.0,ASIA,SHO CHIKU BAI SAKE,1.5L,0,16.99,10.99,11/30/2022
242146.0,AMERICAN BLUSH/ROSE,Schug Rose Pinot Noir,750ML,0,22.99,10.99,11/30/2022
43903.0,VODKA,Svedka Strawberry Pineapple Gin,750ML,242,11.99,10.99,11/30/2022
42250.0,SPECIALTY,Old Camp Peach Pecan Whiskey,750ML,0,18.49,10.99,11/30/2022
50636.0,CORDIALS,Kahlua Original Coffee Liqueur,750ML,360,23.99,10.99,11/30/2022
100023.0,DOMESTIC BOTTLE,Dogfish Head 120 Minute IPA - 4 Pack,12.0Z,34,34.99,10.99,11/30/2022
315535.0,ITALY,Tenuta delle Terre Nere Bianco Etna Carricante,75ML,0,29.99,10.99,11/30/2022
80314.0,PORT/SHERRY/DESSERT/VERMOUTH,Taylor Wine Company Dry Sherry,3L,2,18.99,10.99,11/30/2022
88850.0,AMERICAN WHITE,Snoqualmie Vineyards Gewurztraminer,750L,0,12.49,10.99,11/30/2022
56880.0,BRANDY/COGNAC/GRAPPA,E&J V.S.O.P. Superior Reserve Brandy,50ML,2010,1.39,10.99,11/30/2022
41327.0,AMERICAN RED,Groth Reserve Cabernet Sauvignon,750ML,12,163.99,10.99,11/30/2022
315535.0,CHAMPAGNE/SPARKLING,Caves de Grenelle Peche Imperiale Chenin Blanc,750ML,7,11.99,10.99,11/0/2022
72003.0,LI BASED SELTZER,High Noon Sun Sips Mango Hard Seltzer - 4 Pack,355hML,1964,10.99,10.99,11/30/2022
55612.0,BOURBON/RYE,Evan Williams Bottled in Bond Kentucky Straight Bourbon Whiskey 1.75L,1.75L,171,31.99,10.99,11/30/2022
55612.0,DOMESTIC CAN,BROOKEVILLE PREVAILING WINDS 6/4 16OZ CANS - 4 Pack,16.0Z,92,14.99,10.99,11/30/2022
55612.0,CORDIAS,99 Bananas Liqueur,1L,0,20.99,10.99,11/30/2022
88850.0,CHILE,Root:1 [The Original Ungrafted] Cabernet Sauvignon,750ML,2,14.99,10.99,11/30/2022
164550.0,MISCELLANEOUS IMPORTED,KENSEI JAPANESE WHISKY 750ML,750ML,22,89.99,10.99,11/30/2022
315535.0,BOURBON/RYE,Knob Creek 9 Year Old Small Batch Kentucky Straight Bourbon Whiskey 100 Proof,375ML,41,19.99,10.99,11/30/2022
13188.0,AUSTRALIA,"Yellow Tail Shiraz, Cabernet Sauvignon",750ML,75,6.99,10.99,11/30/2022
70942.0,BRANDY/COGNAC/GRAPPA,E&J Peach Brandy,750ML,246,11.99,10.99,11/30/2022
164550.0,GIN,Hendrick's Neptunia Gin,750ML,166,39.99,10.99,11/30/022
80643.0,RUM,Malibu Watermelon Rum 50ML,50ML,2182,2.99,10.99,11/30/2022
84550.0,FRANCE,LA CHASSE PRETIGE CDR,750ML,0,11.99,10.99,11/30/2022
80314.0,AMERICANl WHITE,Douglas Green The Beach House Sauvignon Blanc,750ML,0,12.99,10.99,11/30/2022
164550.0,AMERICAN WHITE,Carmel Road Liberated Riesling,750ML,0,17.49,10.99,11/30/2022
56880.0,GIN,Plymouth Gin,750ML,155,33.99,10.99,11/30/2022
80643.0,FRANCE,Monsieur Touton Blanc Sauvignon Blanc,1.5L,0,26.99,10.99,11/30/2022
73341.0,VODKA,Burnett's Strawberry Banana Vodka,1.75L,11,14.99,10.99,11/30/2022
55612.0,SOCTCH,Cutty Sark Original Blended Scotch Whisky,1L,0,25.99,10.99,11/30/222
42534.0,ITALY,Villa Sandi Il Fresco Brut Prosecco Glera,750ML,0,21.99,10.99,11/30/2022
315535.0,ITALY,Fattoria La Monacesca Verdicchio di Matelica DOC,750ML,0,19.99,10.99,11/30/2022
84550.0,ARGENTINA,Tilia Merlot,750ML,4,13.99,10.99,11/30/2022***
80643.0,FRANCE,Chateau de L'Escarelle Grenache,750ML,31,16.39,10.99,11/30/2022
242146.0,IMPORTED CAN,HOLLANDIA 6/4 14.9OZ CANS - 4 Pack,14.9Z,0,5.99,10.99,11/30/2022
56880.0,ITALY,Monte Degli Angeli Sangiovese,750ML,0,9.99,10.99,11/30/2022
242146.0,GERMANY,Oh Be Joyful Sweet Deutscher Qualitatswein Dornfelder,75M0L,0,12.99,10.99,11/30/2022
50636.0,VODKA,Old Bay Vodka,750ML,647,19.99,10.99,11/30/2022
50636.0,AMERICAN RED,Madria Sangria Moscato Muscat,750ML,64,7.99,10.99,11/30/2022
315056.0,AMERICAN WHITE,Qupe Bien Nacido Cuvee Chardonnay,750ML,0,18.49,10.99,1/30/2022
80643.0,SPAIN/PORTUGAL,Casal Garcia Branco Trajadura,1L,1,11.49,10.99,11/30/2022
42534.0,RUM,Sugar Island Spiced Rum,750ML,0,21.99,10.99,11/30/2022
56880.0,AMERICAN RED,Brandlin Cabernet Sauvignon,750ML,6,129.99,10.99,11/30/2022
43903.0,CANADIAN/BELNDED WHISKEY,Seagram's VO Canadian Whisky,1.75L,166,26.99,10.99,11/30/2022
88850.0,KOSHER,Mogen David Classic American Kosher Concord,1.5L,8,10.99,10.99,11/30/2022
42026.0,AMERICAN RED,Jordan Vineyard & Winery Cabernet Sauvignon,750ML,239,57.99,10.99,11/30/2022
84263.0,CHAMPGNE/SPARKLING,Gruet Winery Extra Dry Methode Champenoise Chardonnay,750ML,0,16.99,10.99,11/30/2022
55612.0,AMERICAN RED,Hazlitt 1852 Vineyards Red Cat Catawba,1.5L,0,20.99,10.99,11/30/2022
41327.0,MIERS,MASTER OF MIXES COCKTAIL ESSENTIALS AGAVE 375ML,375ML,394,8.99,10.99,11q/30/2022
73341.0,SPAIN/PORTUGAL,Ermita de Petrer Tinto Organic Alicante,50ML,0,8.99,10.99,11/30/2022
73341.0,AMERICAN RED,Sea Ridge Cabernet Sauvignon,750ML,0,5.99,10.99,11/30/2022
55612.0,FRANCE,Louis Latour Meursault Chardonnay,750ML,0,107.99,10.99,11/30/2022
43903.0,CHAMPAGNE/SPARKLING,Sweet Bitch Mango Moscato Muscat,750ML,0,10.49,10.99,11/30/2022
41327.0,VODKA,CiROC Red Berry Vodka,1.75L,120,56.99,10.99,11/30/2022
41327.0,MISCELLANEOUS IMPORTED,CHUM CHURUM SOONHARI APPLE MANGO GIFT SET 375ML,375ML,0,7.29,10.99,11/30/2202
84263.0,BRANDY/COGNAC/GRAPPA,Hartley VSOP Brandy,750ML,0,8.99,10.99,11/30/2022
84263.0,AMERICAN RED,Madria Sangria Tradicional Fresh Citrus Red Blend,1.5L,144,11.99,10.99,11/30/2022
313326.0,ITALY,Malatestiane Baciami Albana di Romagna,750ML,0,10.99,10.99,11/30/2022
84263.0,AMERICAN RED,Chateau Montelena The Montelena Estate Cabernet Sauvignon,750ML,3,154.99,10.99,11/30/2022
10442.0,TEQUILA,Olmeca Altos Plata Tequila,750ML,358,31.99,26.99,11/30/2022
68827.0,DOMESTIC CAN,VICTORY CLOUD WALKER HAZY IPA 6/4 16OZ CANS - 4 Pack,16.0Z,0,9.99,10.99,11/30/2022
327855.0,CORDIALS,Giffard Abricot Du Rousillon Premium Liqueur,750ML,0,40.99,10.99,11/30/2022
88850.0,ITALY,Rocca delle Macie Head to Head Red Toscana IGT Rare Red Blend,750ML,0,11.99,10.99,11/3/2022
84263.0,IATLY,K. Martini & Sohn Gurnzan Alto Adige Sudtirol Lagrein,750ML,0,27.99,10.99,11/30/2022
84263.0,FRANCE,Chateau de Flaugergues Cuvee Sommeliere La Mejanelle White Southern Rhone Blend,750ML,0,18.99,10.99,11/30/2022
56880.0,SPAIN/PORTUGAL,Gota Prunus Private Selection Portuguese Red Blend,750ML,0,16.39,10.99,11/30/2022
42250.0,BRANDY/COGNAC/GRAPPA,Paul Masson VS Grande Amber 3 Year Old Brandy,375ML,555,6.99,10.99,11/30/2022
88850.0,BOURBON/RYE,Rebel Yell Kentucky Straight Bourbon Whiskey 80 Proof,1.75L,3,30.99,10.99,11/30/2022
80314.0,SPAIN/PORTUGAL,Bodegas Arrayan Rosado Syrah,750ML,0,13.69,10.99,11/30/2022
80314.0,SCOTCH,CHIVAS REGAL 12YR W/HIGHBALL GLASS,750ML,115,33.99,10.99,11/30/2022
68827.0,VODKA,Sugarlands Bristol Motor Speedway 60th Anniversary Corn Whiskey,750ML,2,18.99,10.99,11/30/2022
41327.0,CHAMPAGNE/SPARKLING,BEAU JOIE BRUT 750ML,750ML,422,64.99,10.99,11/30/2022
42250.0,CANADIAN/BLENDED WHISKEY,Eight & Sand Blended Bourbon Whiskey,750ML,1,18.99,10.99,11/30/2022
242146.0,ITALY,Tenuta Dell'Ornellaia Le Volte Toscana IGT Red Blend,750ML,0,28.99,10.99,11/30/2z022
84550.0,SPECIALTY,WOODFORD RESERVE KY WHEAT WHISKEY,750ML,5,34.99,10.99,11/30/2022
242146.0,FRANCE,Chateau Greysac Cru Bourgeois Medoc Bordeaux Blend,750ML,268,27.99,10.99,11/30/2022
53406.0,AMERICAN RED,Horton Vineyards Norton,750ML,0,27.99,10.99,11/30/2022
164550.0,AMERICAN RED,MERRY EDWARDS R/R P/NOIR,750ML,0,88.99,10.99,11/30/2022
88850.0,ARGENTINA,Errazuriz Alto Tierruca Reserva Pinot Noir,750ML,0,12.99,10.99,11/30/2022
160008.0,FRANCE,Domaine du Colombier (Jouvault) Cuvee Vieilles Vignes Chinon Cabernet Franc,750ML,0,24.99,10.99,11/30/2022
88850.0,AMERICAN WHITE,Woodbridge Buttery Bag in Box Chardonnay,3L,88,19.99,10.99,11/30/2022
315535.0,MISCELLANEOUS IMPORTED,JINRO STRAWBERRY SOJU 375ML,375ML,23,7.99,10.99,11/30/2022
308651.0,NEW ZEALNAD,Seifried Old Coah Road Sauvignon Blanc,750ML,0,17.99,10.99,11/30/2022
315535.0,FRANCE,Louis Latour Les Pierres Dorees Pinot Noir,750ML,0,31.99,10.99,11/30/2022
