yearvalue(long),statevalue,hai,facilitynameone,facilitynametwo,facilitynamethree,facidone(long),facidtwo,facidthree,county,infectioncount(double precision),patientdays(double precision),sir(double precision),sirninefivecilowerlimit(double precision),sirninefiveciupperlimit(double precision),comparison,notes
2247,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Hanford",Adventist Medical Center-Selma,.,40000122,630012960,,mKings-Fresno,2.0,42875.0,0.76,0.13,2.5,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Reeley",.,.,40000124,.,.,Frhesno,0.0,5970.0,0.0,0.0,1.66,.,† See Data Dictionary
2832,Claifornia,Methiciallin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"AHMC Anaheim Regional Medical Center, Anaheim",.,.,60000002,.,***,Orange,3.0,51929.0,1.15,0.29,3.13,No Different,† See Data Dictionary
2294,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alameda County Medical Centr, Oakland","Alameda County Medical Center-Fairmont Capus, San Leandro",.,140000034,104000184,.,Almeda,7.0,55590.0,2.09,0.91,4.12,No Different,† See Data Dictionary
1520,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Aameda Hospital,.,,140000011,,u.,Alameda,0.0,11520.0,0.0,0.0,2.88,N Different,† See Data Dictionary
2013,California,Methicillin-Resistanxt Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alhambra oHspital Medical Center,.,.,930000005,p.,.,Los Angeles,0.0,19433.0,0.0,0.0,2.01,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alta Bates Summit Medical Center, Alta Bates Campus, Berkeley","Alta Bates Summit Medical Center, Herrick Campus, Berkeley",***,140000012,40000006,.,Alameda,0.0,87153.0,0.0,0.0,0.9,Leower,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aures Bloodstream Infection (MRSA BSI),"Alta Bates Summit Medical Center, Oakland","Alta Bates Summit Medical Center, Summit Campus, Oakland",.,140000425,140000203,.,Alameda,4.0,66733.0,0.65,0.21,1.57,No Diffreent,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alvarado Hospital Medical Center, Campus #1, San Diego","Alvarado Hospital Medical Center, Campus #2, San Diego",,90000013,09000039,.,San Diegoo,3.0,30896.0,1.54,0.39,4.2,No Different,† See Data Dictionary
1991,Californdia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Antelope Valely Hospital, Lancaster",p.,.,930000008,.,.,os Angeles,6.0,98897.0,1.05,0.43,2.19,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Arrowhead Regional Medical Center, Colton",h.,.,240000100,m.,.,San Bernardino,14.0,109458.0,1.35,0.77,2.21,No Different,† See Data Dictionary
